year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rang_du_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2010	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ECOLE POLYTECHNIQUE	699	15.0%	27.0%	92	7.0%	23.0%	50	6.0%	20.0%	45	45	4.0%	18.0%	45
2010	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS Cachan										276	39	15.0%	42.0%	39
2010	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS Cachan - Ker Lan										356	10	10.0%	20.0%	10
2010	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS Cachan	933	18.0%	30.0%	427	14.0%	26.0%	358	15.0%	27.0%		49			49
2010	PSI	CONCOURS COMMUN MINES-PONTS	MINES ParisTech										49	27	40.0%	12.0%	26
2010	PSI	CONCOURS COMMUN MINES-PONTS	MINES de NANCY										706	44	22.0%	16.0%	38
2010	PSI	CONCOURS COMMUN MINES-PONTS	MINES de SAINT-ETIENNE										846	38	21.0%	27.0%	40
2010	PSI	CONCOURS COMMUN MINES-PONTS	PONTS ParisTech										150	36	19.0%	14.0%	35
2010	PSI	CONCOURS COMMUN MINES-PONTS	SUPAERO (ISAE) Toulouse										299	46	10.0%	9.0%	42
2010	PSI	CONCOURS COMMUN MINES-PONTS	ENSTA ParisTech										351	33	24.0%	28.0%	31
2010	PSI	CONCOURS COMMUN MINES-PONTS	TELECOM ParisTech cursus Paris										308	20	20.0%	15.0%	20
2010	PSI	CONCOURS COMMUN MINES-PONTS	TELECOM ParisTech cursus Sophia										409	8	25.0%	25.0%	7
2010	PSI	CONCOURS COMMUN MINES-PONTS	TELECOM BRETAGNE										904	19	15.0%	16.0%	30
2010	PSI	CONCOURS COMMUN MINES-PONTS	Concours Commun Mines Ponts PSI	3255	20.0%	25.0%	979	16.0%	24.0%	904	17.0%	24.0%		271			269
2010	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE PARIS	2124	18.0%	25.0%	349	13.0%	23.0%	235	14.0%	20.0%	159	99	17.0%	22.0%	95
2010	PSI	BANQUE CENTRALE-SUPELEC	SUPELEC- Campus Gif										363	72	15.0%	21.0%	70
2010	PSI	BANQUE CENTRALE-SUPELEC	SUPELEC- Campus Metz										501	18	16.0%	45.0%	20
2010	PSI	BANQUE CENTRALE-SUPELEC	SUPELEC- Campus Rennes										438	21	4.0%	29.0%	19
2010	PSI	BANQUE CENTRALE-SUPELEC	Supélec	2245	18.0%	26.0%	678	16.0%	24.0%	586	16.0%	25.0%		111			109
2010	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE LYON	2624	19.0%	25.0%	553	17.0%	24.0%	470	17.0%	25.0%	433	85	21.0%	24.0%	82
2010	PSI	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	1381	22.0%	30.0%	681	23.0%	28.0%	549	22.0%	28.0%	549	16	31.0%	7.0%	30
2010	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE	2592	20.0%	27.0%	617	19.0%	27.0%	552	18.0%	27.0%	552	57	24.0%	20.0%	60
2010	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES	2899	20.0%	27.0%	747	20.0%	26.0%	691	20.0%	27.0%	627	81	23.0%	28.0%	75
2010	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE MARSEILLE	2336	21.0%	29.0%	731	20.0%	28.0%	656	21.0%	29.0%	656	38	23.0%	27.0%	51
2010	PSI	BANQUE CENTRALE-SUPELEC	ENSIIE (I.I.E. CNAM )				950	21.0%	29.0%	388	22.0%	30.0%	388	8	12.0%	38.0%	20
2010	PSI	BANQUE CENTRALE-SUPELEC	ENSEA Cergy				950	21.0%	29.0%	388	22.0%	30.0%	388	30	13.0%	30.0%	40
2010	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSMM Besançon										2282	55	27.0%	33.0%	50
2010	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSI Bourges MRI										2818	36	25.0%	39.0%	30
2010	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSI Bourges STI										2871	8	12.0%	50.0%	10
2010	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSEIRB-MATMECA Bordeaux Electronique										2341	20	15.0%	30.0%	18
2010	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSEIRB-MATMECA Bordeaux Informatique										2399	10	0.0%	10.0%	12
2010	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSEIRB-MATMECA Bordeaux Télecom.										2404	15	20.0%	14.0%	17
