year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rang_du_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2008	MP	CONCOURS ECOLE POLYTECHNIQUE	ECOLE POLYTECHNIQUE Info.	781	12.0%	28.0%	205	7.0%	23.0%	158	8.0%	22.0%	141	107	9.0%	24.0%	107
2008	MP	CONCOURS ECOLE POLYTECHNIQUE	ECOLE POLYTECHNIQUE P&SI	767	20.0%	33.0%	149	13.0%	32.0%	104	15.0%	30.0%	90	83	16.0%	29.0%	83
2008	MP	BANQUE ENS	ENS Ulm MPI	1174	19.0%	33.0%	126	8.0%	31.0%	81	11.0%	28.0%	68	40	12.0%	38.0%	40
2008	MP	BANQUE ENS	ENS Ulm Info.	209	8.0%	30.0%	36	8.0%	23.0%	19	5.0%	11.0%	9	8	0.0%	0.0%	8
2008	MP	BANQUE ENS	ENS Cachan MP										152	18	16.0%	67.0%	18
2008	MP	BANQUE ENS	ENS Cachan - Ker Lan MP										177	10	0.0%	30.0%	10
2008	MP	BANQUE ENS	Concours ENS Cachan groupe MP	1181	20.0%	32.0%	255	9.0%	37.0%	189	11.0%	39.0%		28			28
2008	MP	BANQUE ENS	ENS Cachan Info.										40	11	0.0%	37.0%	11
2008	MP	BANQUE ENS	ENS Cachan - Ker Lan Info.										60	11	0.0%	55.0%	11
2008	MP	BANQUE ENS	Concours ENS Cachan groupe Informatique	224	8.0%	30.0%	87	6.0%	35.0%	62	6.0%	34.0%		22			22
2008	MP	BANQUE ENS	ENS Lyon MPI	1189	19.0%	32.0%	219	9.0%	38.0%	141	11.0%	37.0%	122	24	8.0%	46.0%	24
2008	MP	BANQUE ENS	ENS Lyon Info.	246	9.0%	30.0%	86	5.0%	26.0%	52	7.0%	27.0%	52	18	22.0%	23.0%	18
2008	MP	CONCOURS COMMUN MINES-PONTS	MINES Paris										153	45	33.0%	9.0%	46
