year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
2020	PT	CENTRALE-SUPELEC	CentraleSup̩lec - cursus apprenti - Campus Metz										11	0,0%	9,1%	124	126	10
2020	PT	CENTRALE-SUPELEC	CENTRALE CASABLANCA										2	0,0%	0,0%	685	685	5
2020	PT	CENTRALE-SUPELEC	CentraleSup̩lec - cursus apprenti - Campus Rennes										10	10,0%	0,0%	75	72	10
2020	PT	CENTRALE-SUPELEC	CentraleSup̩lec - statut ̩tudiant										20	5,0%	10,0%	26	26	20
2020	PT	CENTRALE-SUPELEC	CENTRALE LYON										24	8,3%	4,2%	86	88	24
2020	PT	CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)										16	12,5%	12,5%	718	663	10
2020	PT	CENTRALE-SUPELEC	CENTRALE LILLE										12	0,0%	16,7%	169	165	12
2020	PT	CENTRALE-SUPELEC	CENTRALE NANTES										8	12,5%	0,0%	56	58	20
2020	PT	CENTRALE-SUPELEC	CENTRALE MARSEILLE										5	0,0%	0,0%	257	226	5
2020	PT	CENTRALE-SUPELEC	Concours Centrale-Sup̩lec PT	1497	14,0%	15,9%				1482	14,2%	15,8%	108					116
2020	PT	CONCOURS COMMUN MINES-PONTS	ENSTA Paris										10	10,0%	20,0%	75	81	12
2020	PT	CONCOURS COMMUN MINES-PONTS	ENSTA Paris - apprentissage										3	0,0%	0,0%	148	158	4
2020	PT	CONCOURS COMMUN MINES-PONTS	IMT Atlantique cursus Brest-Nantes-Rennes-Toulouse										8	25,0%	12,5%	159	149	6
2020	PT	CONCOURS COMMUN MINES-PONTS	IMT Atlantique cursus Sophia Antipolis										0	0,0%	0,0%	0	0	1
2020	PT	CONCOURS COMMUN MINES-PONTS	ISAE - SUPAERO Toulouse										6	0,0%	0,0%	50	52	6
2020	PT	CONCOURS COMMUN MINES-PONTS	MINES de NANCY										4	25,0%	25,0%	170	172	4
2020	PT	CONCOURS COMMUN MINES-PONTS	MINES SAINT-ETIENNE										7	14,3%	0,0%	178	172	5
2020	PT	CONCOURS COMMUN MINES-PONTS	MINES ParisTech										5	0,0%	20,0%	10	12	5
2020	PT	CONCOURS COMMUN MINES-PONTS	PONTS ParisTech										5	40,0%	0,0%	49	42	5
2020	PT	CONCOURS COMMUN MINES-PONTS	TELECOM Paris cursus Paris										1	0,0%	0,0%	48	48	1
2020	PT	CONCOURS COMMUN MINES-PONTS	TELECOM Paris cursus Sophia										1	0,0%	100,0%	62	62	1
2020	PT	CONCOURS COMMUN MINES-PONTS	Concours commun Mines-Ponts PT	1290	14,6%	15,3%				246	11,8%	8,1%	50					50
2020	PT	Concours Mines - T̩l̩com	IMT Mines Albi										6	33,3%	16,7%	556	552	5
2020	PT	Concours Mines - T̩l̩com	IMT Mines Al̬s										23	26,1%	4,3%	641	585	23
2020	PT	Concours Mines - T̩l̩com	ENSTA Bretagne (fili̬re sous statut ̩tudiant)										15	26,7%	6,7%	208	206	15
2020	PT	Concours Mines - T̩l̩com	IMT Lille Douai										14	7,1%	7,1%	562	557	20
2020	PT	Concours Mines - T̩l̩com	Mines Saint Etienne-ISMIN										7	0,0%	0,0%	493	464	7
2020	PT	Concours Mines - T̩l̩com	TELECOM SudParis										7	14,3%	14,3%	229	217	7
2020	PT	Concours Mines - T̩l̩com	Concours Mines-T̩l̩com PT	1832	15,7%	16,7%				715	13,1%	16,8%	72					77
2020	PT	Concours Mines - T̩l̩com	ENSTA Bretagne (fili̬re sous statut IETA - Direction G̩n̩rale de l'Armement)	1832	15,7%	16,7%				602	12,5%	19,9%	3	33,3%	33,3%	59	60	3
2020	PT	Concours Mines - T̩l̩com	ENSG-G̩omatique Marne la Vall̩e Civil										3	66,7%	0,0%	952	966	2
2020	PT	Concours Mines - T̩l̩com	ENSSAT Lannion										2	0,0%	0,0%	880	880	5
2020	PT	Concours Mines - T̩l̩com	TELECOM Nancy										8	25,0%	37,5%	772	787	10
2020	PT	Concours Mines - T̩l̩com	TELECOM St Etienne - Statut ̩tudiant										4	50,0%	50,0%	739	750	5
2020	PT	Concours Mines - T̩l̩com	Concours Mines-T̩l̩com Sp̩cifique PT	1832	15,7%	16,7%				1184	14,5%	18,9%	17					22
2020	PT	CONCOURS COMMUN ENSAM	Arts et M̩tiers										549	11,8%	24,2%	535	529	540
2020	PT	CONCOURS COMMUN ENSAM	Arts et M̩tiers - ing̩nieurs militaires										7	0,0%	28,6%	717	645	10
2020	PT	CONCOURS COMMUN ENSAM	Arts et M̩tiers - voie de l'apprentissage										5	20,0%	40,0%	387	474	15
2020	PT	CONCOURS COMMUN ENSAM	ENSEA Cergy										17	5,9%	47,1%	1205	1137	20
