year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
2020	PSI	CONCOURS COMMUN MINES-PONTS	ENSTA Paris										59	15,3%	15,3%	559	525	55
2020	PSI	CONCOURS COMMUN MINES-PONTS	ENSTA Paris - apprentissage										4	0,0%	0,0%	661	661	2
2020	PSI	CONCOURS COMMUN MINES-PONTS	IMT Atlantique cursus Brest-Nantes-Rennes-Toulouse										79	25,3%	10,1%	932	896	71
2020	PSI	CONCOURS COMMUN MINES-PONTS	IMT Atlantique cursus Sophia Antipolis										4	25,0%	0,0%	966	970	3
2020	PSI	CONCOURS COMMUN MINES-PONTS	ISAE - SUPAERO Toulouse										83	13,3%	10,8%	346	337	75
2020	PSI	CONCOURS COMMUN MINES-PONTS	MINES de NANCY										44	15,9%	4,5%	754	758	45
2020	PSI	CONCOURS COMMUN MINES-PONTS	MINES SAINT-ETIENNE										44	22,7%	4,5%	862	843	45
2020	PSI	CONCOURS COMMUN MINES-PONTS	MINES ParisTech										36	22,2%	0,0%	59	61	36
2020	PSI	CONCOURS COMMUN MINES-PONTS	PONTS ParisTech										58	25,9%	1,7%	299	283	58
2020	PSI	CONCOURS COMMUN MINES-PONTS	TELECOM Paris cursus Paris										22	4,5%	4,5%	380	357	20
2020	PSI	CONCOURS COMMUN MINES-PONTS	TELECOM Paris cursus Sophia										9	11,1%	11,1%	576	563	8
2020	PSI	CONCOURS COMMUN MINES-PONTS	Concours CCMP PSI	3715	21,9%	16,9%				1292	17,1%	13,9%	449					428
2020	PSI	Concours Mines - T̩l̩com	IMT Mines Albi										47	25,5%	19,1%	1434	1389	50
2020	PSI	Concours Mines - T̩l̩com	IMT Mines Al̬s										58	31,0%	12,1%	1411	1380	57
2020	PSI	Concours Mines - T̩l̩com	ENSIIE Evry										20	25,0%	35,0%	1703	1644	17
2020	PSI	Concours Mines - T̩l̩com	ENSTA Bretagne (fili̬re sous statut ̩tudiant)										44	25,0%	22,7%	949	893	50
2020	PSI	Concours Mines - T̩l̩com	IMT Lille Douai										62	32,3%	17,7%	1754	1635	62
2020	PSI	Concours Mines - T̩l̩com	Mines Saint Etienne-ISMIN										28	25,0%	17,9%	1288	1284	28
2020	PSI	Concours Mines - T̩l̩com	T̩l̩com Physique Strasbourg Informatique et R̩seaux										10	30,0%	10,0%	2086	2013	8
