year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rang_du_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2009	BCPST	A BIO	AgroParisTech (cursus agronome) Paris-Grignon										666	184	70.0%	17.0%	182
2009	BCPST	A BIO	AgroParisTech (cursus IAA) Massy										1379	45	84.0%	36.0%	46
2009	BCPST	A BIO	AgroParisTech (cursus forestier) Nancy (fonctionnaire)										297	11	45.0%	0.0%	11
2009	BCPST	A BIO	AgroParisTech (cursus forestier) Nancy (civil)										856	19	47.0%	48.0%	19
2009	BCPST	A BIO	Montpellier Sup Agro (ENSAM)										901	97	73.0%	28.0%	97
2009	BCPST	A BIO	Agrocampus Ouest (cursus agronome) Rennes										1078	96	73.0%	38.0%	96
2009	BCPST	A BIO	ENSAT Toulouse										1202	96	67.0%	41.0%	96
2009	BCPST	A BIO	ENSAIA Nancy										1610	97	63.0%	32.0%	102
2009	BCPST	A BIO	Agrocampus Ouest (cursus horticole et paysage) Angers										1460	40	72.0%	40.0%	40
2009	BCPST	A BIO	ENSBANA - Agrosup Dijon										1985	33	84.0%	46.0%	39
2009	BCPST	A BIO	ENITAB Bordeaux (Fonctionnaire)										1588	13	46.0%	31.0%	13
2009	BCPST	A BIO	ENITAB Bordeaux (Civil)										1747	57	77.0%	46.0%	57
2009	BCPST	A BIO	ENITAC Clermont-Ferrand (Fonctionnaire)										1590	10	60.0%	30.0%	10
2009	BCPST	A BIO	ENITAC Clermont-Ferrand (Civil)										1985	37	70.0%	22.0%	40
2009	BCPST	A BIO	ENITIAA Nantes										1983	38	86.0%	27.0%	52
2009	BCPST	A BIO	ENESAD - Agrosup Dijon (Fonctionnaire)										1563	9	66.0%	45.0%	9
2009	BCPST	A BIO	ENESAD - Agrosup Dijon (Civil)										1813	35	82.0%	46.0%	36
2009	BCPST	A BIO	Concours commun A BIO	2744	71.0%	23.0%	2114	71.0%	28.0%	1983	71.0%	29.0%		917			945
2009	BCPST	A ENV	ENV Alfort										346	94	75.0%	44.0%	94
2009	BCPST	A ENV	ENV Lyon										385	94	78.0%	47.0%	94
2009	BCPST	A ENV	ENV Nantes										437	94	64.0%	53.0%	94
2009	BCPST	A ENV	ENV Toulouse										449	94	76.0%	53.0%	94
2009	BCPST	A ENV	Concours commun A ENV	1749	74.0%	28.0%	877	74.0%	40.0%	553	72.0%	44.0%		376			376
2009	BCPST	PC BIO	ESPCI ParisTech										146	5	40.0%	40.0%	5
2009	BCPST	PC BIO	ENSC Paris										185	2	50.0%	50.0%	3
2009	BCPST	PC BIO	ENSC Montpellier										262	3	66.0%	34.0%	5
2009	BCPST	PC BIO	ENSC Lille										408	4	100.0%	25.0%	5
2009	BCPST	PC BIO	ISTAB Bordeaux (rapprochement avec ENSCPB)										500	3	100.0%	67.0%	14
2009	BCPST	PC BIO	Concours commun A PC BIO	866	69.0%	31.0%	564	68.0%	39.0%	500	69.0%	40.0%		17			32
2009	BCPST	ENS	ENS Ulm	705	65.0%	24.0%	75	66.0%	18.0%	31	61.0%	17.0%	27	23	60.0%	14.0%	23
2009	BCPST	ENS	ENS Lyon	726	64.0%	24.0%	159	63.0%	19.0%	96	63.0%	17.0%	95	32	62.0%	10.0%	32
2009	BCPST	ENS	ENS Cachan	699	64.0%	24.0%	162	62.0%	20.0%	93	56.0%	17.0%	92	15	40.0%	20.0%	15
2009	BCPST	G2E	ENGEES Strasbourg Civil										372	22	63.0%	32.0%	19
2009	BCPST	G2E	ENGEES Strasbourg Fonctionnaire										114	6	66.0%	67.0%	6
2009	BCPST	G2E	concours ENGEES G2E-BCPST	1389	69.0%	24.0%	927	66.0%	30.0%	402	63.0%	34.0%		28			25
2009	BCPST	G2E	ENSG Nancy	1389	69.0%	24.0%	927	66.0%	30.0%	395	63.0%	34.0%	293	65	52.0%	30.0%	64
2009	BCPST	G2E	ENSIL Limoges EE	1389	69.0%	24.0%	927	66.0%	30.0%	490	62.0%	34.0%	434	7	14.0%	43.0%	6
