year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	integres_places
2020	pc	CONCOURS COMMUN MINES-PONTS	ISAE-SUPAERO Toulouse										30	20.0	20.0	403	393	35
2020	pc	CONCOURS COMMUN MINES-PONTS	MINES de NANCY										39	28.2	7.7	787	781	38
2020	pc	CONCOURS COMMUN MINES-PONTS	MINES SAINT-ETIENNE										42	35.7	23.8	874	850	41
2020	pc	CONCOURS COMMUN MINES-PONTS	MINES ParisTech										25	44.0	8.0	102	99	24
2020	pc	CONCOURS COMMUN MINES-PONTS	PONTS ParisTech										41	36.6	12.2	300	294	40
2020	pc	CONCOURS COMMUN MINES-PONTS	TELECOM Paris cursus Paris										20	25.0	10.0	447	419	20
2020	pc	CONCOURS COMMUN MINES-PONTS	TELECOM Paris cursus Sophia										10	50.0	40.0	556	556	8
2020	pc	CONCOURS COMMUN MINES-PONTS	Chimie ParisTech										68	48.5	10.3	756	737	65
2020	pc	CONCOURS COMMUN MINES-PONTS	¥Concours CCMP PC	3497	33.4	21.9				1351	29.2	23.4	404					387
2020	pc	Concours Mines - Télécom	TELECOM St Etienne-Statut apprenti	3680	35.1	22.4				2760	36.2	22.8	2	50.0	50.0	1582	1582	2
2020	pc	Concours Mines - Télécom	IMT Mines Albi										49	42.9	28.6	1362	1272	50
2020	pc	Concours Mines - Télécom	IMT Mines Alès										50	44.0	12.0	1294	1257	47
2020	pc	Concours Mines - Télécom	ENSIIE Evry										9	22.2	44.4	1547	1430	10
2020	pc	Concours Mines - Télécom	ENSTA Bretagne (filière sous statut étudiant)										22	36.4	22.7	728	719	21
2020	pc	Concours Mines - Télécom	IMT Lille Douai										57	43.9	21.1	1431	1376	52
2020	pc	Concours Mines - Télécom	Mines Saint Etienne-ISMIN										14	28.6	21.4	1295	1253	12
2020	pc	Concours Mines - Télécom	Télécom Physique Strasbourg Informatique et Réseaux										6	33.3	0.0	1771	1595	8
2020	pc	Concours Mines - Télécom	Télécom Physique Strasbourg TI-Santé										7	57.1	0.0	1724	1648	8
2020	pc	Concours Mines - Télécom	TELECOM SudParis										31	32.3	32.3	891	859	30
2020	pc	Concours Mines - Télécom	TELECOM SudParis-cursus Sophia-Antipolis										0	0.0	0.0	0	0	3
2020	pc	Concours Mines - Télécom	¥Concours Mines-Télécom PC	3680	35.1	22.4				2024	35.1	23.1	245					241
2020	pc	Concours Mines - Télécom	ENSTA Bretagne (filière sous statut IETA-Direction Générale de l'Armement)	3680	35.1	22.4				1778	34.5	25.3	8	25.0	75.0	639	630	8
2020	pc	Concours Mines - Télécom	ENSG-Géomatique Marne la Vallée Civil										5	40.0	40.0	2413	2336	6
2020	pc	Concours Mines - Télécom	ENSG Nancy										8	50.0	0.0	1364	1369	10
2020	pc	Concours Mines - Télécom	ENSSAT Lannion										14	35.7	14.3	2302	2278	14
2020	pc	Concours Mines - Télécom	TELECOM Nancy										7	42.9	14.3	1697	1518	5
2020	pc	Concours Mines - Télécom	TELECOM St Etienne-Statut étudiant										16	37.5	12.5	1947	1900	11
2020	pc	Concours Mines - Télécom	¥Concours Mines-Télécom Spécifique PC	3680	35.1	22.4				2760	36.2	22.8	50					46
2020	pc	CONCOURS COMMUN TPE	ENTPE Lyon Civil										22	50.0	22.7	1045	1029	21
2020	pc	CONCOURS COMMUN TPE	ENTPE Lyon Fonctionnaire										29	31.0	48.3	915	904	29
2020	pc	CONCOURS COMMUN TPE	¥Concours TPE-Candidats français et de l'Union européenne-filière PC	2104	35.9	24.6				1265	35.6	25.4	51					50
2020	pc	CONCOURS COMMUN TPE	ENTPE Lyon Etranger	2104	35.9	24.6				29	37.9	13.8	0	0.0	0.0	0	0	1
2020	pc	CONCOURS COMMUN TPE	EIVP Paris Civil	2104	35.9	24.6				1437	36.2	25.2	26	46.2	26.9	1262	1221	20
2020	pc	CONCOURS COMMUN TPE	EIVP Paris Fonctionnaire	2104	35.9	24.6				1405	36.2	25.4	4	50.0	50.0	873	874	4
2020	pc	CONCOURS COMMUN TPE	IMT Lille Douai Fonct.	2104	35.9	24.6				1265	35.6	25.4	2	50.0	0.0	585	585	2
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Bordeaux INP-ENSC Cognitique										9	44.4	11.1	2293	2053	6
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Bordeaux INP-ENSEIRB-MATMECA Electronique										20	15.0	25.0	2191	2149	13
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Bordeaux INP-ENSEIRB-MATMECA Informatique										6	16.7	50.0	1572	1482	5
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Bordeaux INP-ENSEIRB-MATMECA Mathématiques et Mécanique										11	36.4	54.5	1725	1534	6
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Bordeaux INP-ENSEIRB-MATMECA Télecom.										14	21.4	21.4	2050	2036	8
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	CPE LYON Sciences du numérique										12	8.3	16.7	3005	2948	12
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	EISTI Cergy-Pau										46	23.9	21.7	3255	3083	30
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENAC Toulouse Civil										23	17.4	30.4	983	928	20
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENAC Toulouse Fonctionnaire										3	0.0	66.7	153	147	3
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENGEES Strasbourg Civil (apprenti)										3	66.7	66.7	2746	2746	2
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENGEES Strasbourg Civil (étudiant)										13	46.2	23.1	2043	2067	10
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENGEES Strasbourg Fonctionnaire										3	66.7	33.3	1006	846	3
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSGTI Pau-Génie des Procédés										13	61.5	23.1	3185	3024	15
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSI Poitiers Energie										13	30.8	30.8	2821	2758	17
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSICAEN Electronique et Physique Appliquée										19	15.8	42.1	2760	2674	18
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSICAEN Informatique										8	0.0	50.0	2223	2189	8
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSMM Besançon										19	31.6	36.8	2659	2610	22
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP-ENSE3										54	24.1	24.1	1481	1427	60
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP-Pagora										21	52.4	23.8	2951	2794	18
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP-Phelma (Physique Electronique Télécoms)										31	25.8	29.0	1269	1190	34
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP-Phelma (Physique Matériaux Procédés)										58	37.9	27.6	960	893	65
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP-ENSIMAG										10	50.0	40.0	631	564	10
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP-Esisar										4	50.0	25.0	1995	1958	6
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ISAE-ENSMA Poitiers										31	12.9	32.3	1326	1195	28
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ISIMA Clermont-Ferrand										7	0.0	14.3	2695	2663	8
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Lorraine INP-ENSEM-Energie										29	24.1	24.1	2887	2771	24
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Lorraine INP-ENSEM-Spécialité des systèmes numériques										6	0.0	16.7	2753	2745	5
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	SeaTech Toulon										14	7.1	28.6	2445	2396	18
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	SUPMECA Paris										18	27.8	33.3	1997	1917	22
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	TELECOM PHYSIQUE Strasbourg										25	36.0	24.0	1871	1865	31
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Toulouse INP-ENSEEIHT-Electronique-Energie-Automatique (EEA)										18	16.7	22.2	1363	1337	20
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Toulouse INP-ENSEEIHT-Mécanique des Fluides-Energetique-Environnement (MFEE)										16	37.5	43.8	604	548	17
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Toulouse INP-ENSEEIHT-Sciences du Numérique										11	9.1	45.5	804	766	10
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Toulouse INP-ENSIACET-Génie des Procédés										15	20.0	40.0	2025	1992	16
