year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
2020	tsi	Concours Mines - Télécom	TELECOM Nancy										4	0.0	25.0	151	148	3
2020	tsi	Concours Mines - Télécom	TELECOM St Etienne-Statut étudiant										3	0.0	66.7	151	122	3
2020	tsi	Concours Mines - Télécom	TELECOM St Etienne-Statut apprenti										1	0.0	100.0	180	180	2
2020	tsi	Concours Mines - Télécom	¥Concours Mines-Télécom TSI	808	8.9	17.3				267	6.7	22.1	29					32
2020	tsi	CONCOURS COMMUN INP	Bordeaux INP-ENSEIRB-MATMECA Electronique										7	0.0	0.0	142	138	5
2020	tsi	CONCOURS COMMUN INP	Bordeaux INP-ENSEIRB-MATMECA Informatique										2	0.0	0.0	94	92	2
2020	tsi	CONCOURS COMMUN INP	Bordeaux INP-ENSEIRB-MATMECA Télecom.										2	0.0	0.0	125	125	1
2020	tsi	CONCOURS COMMUN INP	Bordeaux INP-ENSPIMA										1	0.0	100.0	116	116	1
2020	tsi	CONCOURS COMMUN INP	CPE LYON Sciences du numérique										0	0.0	0.0	0	0	2
2020	tsi	CONCOURS COMMUN INP	ENGEES Strasbourg Civil (étudiant)										1	0.0	0.0	202	202	2
2020	tsi	CONCOURS COMMUN INP	ENSGTI Pau-Energétique										2	0.0	0.0	296	296	2
2020	tsi	CONCOURS COMMUN INP	ENSI Poitiers Energie										0	0.0	0.0	0	0	4
2020	tsi	CONCOURS COMMUN INP	ENSICAEN Electronique et Physique Appliquée										3	0.0	0.0	283	252	4
2020	tsi	CONCOURS COMMUN INP	ENSICAEN Informatique										1	0.0	0.0	89	89	2
2020	tsi	CONCOURS COMMUN INP	ENSMM Besançon										13	0.0	23.1	228	218	12
2020	tsi	CONCOURS COMMUN INP	Grenoble INP-ENSE3										3	33.3	0.0	99	89	3
2020	tsi	CONCOURS COMMUN INP	Grenoble INP-Pagora										0	0.0	0.0	0	0	1
2020	tsi	CONCOURS COMMUN INP	Grenoble INP-Phelma (Physique Electronique Télécoms)										2	0.0	0.0	75	75	2
2020	tsi	CONCOURS COMMUN INP	Grenoble INP-Phelma (Physique Matériaux Procédés)										2	0.0	50.0	110	110	2
2020	tsi	CONCOURS COMMUN INP	ISAE-ENSMA Poitiers										2	0.0	0.0	69	69	2
2020	tsi	CONCOURS COMMUN INP	ISIMA Clermont-Ferrand										4	0.0	25.0	252	217	5
2020	tsi	CONCOURS COMMUN INP	Lorraine INP-ENSEM-Energie										3	33.3	33.3	252	237	4
2020	tsi	CONCOURS COMMUN INP	SeaTech Toulon										3	0.0	33.3	302	259	2
2020	tsi	CONCOURS COMMUN INP	SUPMECA Paris										2	0.0	0.0	104	104	3
2020	tsi	CONCOURS COMMUN INP	TELECOM PHYSIQUE Strasbourg										8	12.5	12.5	246	263	6
2020	tsi	CONCOURS COMMUN INP	Toulouse INP-ENSEEIHT-Electronique-Energie-Automatique (EEA)										3	33.3	0.0	44	37	2
2020	tsi	CONCOURS COMMUN INP	Toulouse INP-ENSEEIHT-Mécanique des Fluides-Energetique-Environnement (MFEE)										1	0.0	0.0	77	77	1
2020	tsi	CONCOURS COMMUN INP	Toulouse INP-ENSEEIHT-Sciences du Numérique										1	0.0	0.0	87	87	1
2020	tsi	CONCOURS COMMUN INP	Toulouse INP-ENSIACET-Génie Industriel										1	0.0	0.0	83	83	2
2020	tsi	CONCOURS COMMUN INP	SIGMA Clermont-Ferrand-spécialité mécanique avancée										8	0.0	12.5	194	179	8
2020	tsi	CONCOURS COMMUN INP	¥Concours CCINP TSI	1334	11.3	12.6				446	9.9	14.6	75					81
2020	tsi	BANQUE EPREUVES CCINP  Inter-Filière	Lorraine INP-ENSGSI	357	9.0	15.4				89	7.9	21.3	1	0.0	0.0	1210	1101	38
2020	tsi	BANQUE EPREUVES CCINP	ECAM Rennes	397	7.6	11.8				321	7.8	13.4	9	0.0	11.1	105	129	10
2020	tsi	BANQUE EPREUVES CCINP	EIL Côte d'Opale-Calais (informatique)										11	9.1	18.2	172	157	12
2020	tsi	BANQUE EPREUVES CCINP	EIL Côte d'Opale-Dunkerque (Génie Energétique et Environnement)										6	0.0	0.0	194	177	5
2020	tsi	BANQUE EPREUVES CCINP	EIL Côte d'Opale-Longuenesse (Génie Industriel)										11	45.5	0.0	192	189	18
2020	tsi	BANQUE EPREUVES CCINP	¥Concours EIL Côte d'Opale Longuenesse-Calais-Dunkerque TSI	455	10.5	10.3				334	9.9	11.7	28					35
2020	tsi	BANQUE EPREUVES CCINP	EIVP Paris Civil	1334	11.3	12.6				120	11.7	27.5	6	16.7	16.7	59	60	7
2020	tsi	BANQUE EPREUVES CCINP	ENS Paris-Saclay	828	12.6	14.1				21	4.8	9.5	1	0.0	0.0	18	18	1
2020	tsi	BANQUE EPREUVES CCINP	ENS Rennes	832	12.1	14.3				15	6.7	13.3	1	0.0	0.0	8	8	1
2020	tsi	BANQUE EPREUVES CCINP	ENSAIT Roubaix										4	25.0	25.0	171	169	5
2020	tsi	BANQUE EPREUVES CCINP	ENSAIT Roubaix-Formation en alternance										2	0.0	50.0	213	213	2
2020	tsi	BANQUE EPREUVES CCINP	¥Concours ENSAIT Roubaix TSI	428	10.7	15.4				266	8.6	20.3	6					7
2020	tsi	BANQUE EPREUVES CCINP	ENSISA Mulhouse Automatique et Systèmes Embarqués										3	0.0	0.0	94	91	4
2020	tsi	BANQUE EPREUVES CCINP	ENSISA Mulhouse Informatique et réseaux										1	0.0	0.0	55	55	3
2020	tsi	BANQUE EPREUVES CCINP	ENSISA Mulhouse Mécanique										3	0.0	33.3	88	88	5
2020	tsi	BANQUE EPREUVES CCINP	ENSISA Mulhouse Textile et Fibres										3	0.0	66.7	188	181	3
2020	tsi	BANQUE EPREUVES CCINP	¥Concours ENSISA TSI	550	9.1	11.3				252	7.9	13.9	10					15
2020	tsi	BANQUE EPREUVES CCINP	ENTPE Lyon Civil										2	0.0	50.0	41	41	2
2020	tsi	BANQUE EPREUVES CCINP	ENTPE Lyon Fonctionnaire										4	0.0	25.0	26	26	4
2020	tsi	BANQUE EPREUVES CCINP	¥Concours TPE-Candidats français et de l'Union européenne-filière TSI	455	9.2	17.6				141	6.4	27.0	6					6
2020	tsi	BANQUE EPREUVES CCINP	ESB Nantes	298	9.4	12.4				207	9.7	14.0	10	20.0	30.0	174	155	15
2020	tsi	BANQUE EPREUVES CCINP	ESIGELEC Rouen	570	7.2	14.6				457	6.3	16.6	33	3.0	27.3	291	294	35
2020	tsi	BANQUE EPREUVES CCINP	ESIPE Créteil-Technologie pour la santé	449	9.4	15.6				180	7.2	22.8	1	0.0	100.0	177	177	8
2020	tsi	BANQUE EPREUVES CCINP	ESIREM Dijon	425	11.3	12.7				70	7.1	10.0	4	25.0	0.0	69	61	12
2020	tsi	BANQUE EPREUVES CCINP	ESTIA Bidart	411	7.8	13.1				289	8.0	15.6	26	19.2	19.2	213	197	35
2020	tsi	BANQUE EPREUVES CCINP	Grenoble INP-Génie Industriel	515	10.9	15.5				150	10.0	24.0	3	0.0	33.3	37	43	2
2020	tsi	BANQUE EPREUVES CCINP	ISAT Nevers-département MIT (Mécanique et Ingénierie des Transports)										3	33.3	66.7	40	39	5
2020	tsi	BANQUE EPREUVES CCINP	ISAT Nevers-département EPEE (Energies et Moteurs)										4	25.0	25.0	81	81	4
2020	tsi	BANQUE EPREUVES CCINP	ISAT Nevers-Infrastructures et Réseaux de Transports										2	0.0	50.0	117	117	2
2020	tsi	BANQUE EPREUVES CCINP	¥Concours ISAT TSI	512	8.2	13.3				132	6.8	21.2	9					11
2020	tsi	BANQUE EPREUVES CCINP	ISEP Paris	296	7.1	13.9				223	6.7	16.1	12	8.3	16.7	91	98	10
2020	tsi	BANQUE EPREUVES CCINP	Lorraine INP-ENSTIB	367	11.4	15.0				243	11.5	15.6	14	14.3	28.6	152	126	7
2020	tsi	BANQUE EPREUVES CCINP	Toulouse INP-ENIT	591	10.7	13.2				216	11.1	19.4	8	0.0	12.5	72	78	6
2020	tsi	BANQUE EPREUVES CCINP	3IL Ingénieurs	301	8.6	13.3				180	6.7	13.9	13	15.4	15.4	138	127	15
2020	tsi	Réseau Polytech	Polytech Annecy-Chambéry-Environnement, Bâtiment, Énergie										4	0.0	25.0	132	136	3
2020	tsi	Réseau Polytech	Polytech Nice-Sophia-Génie de l'eau										3	33.3	33.3	369	334	3
2020	tsi	Réseau Polytech	Polytech Annecy-Chambéry-Instrumentation, Automatique, Informatique										2	0.0	0.0	368	315	2
2020	tsi	Réseau Polytech	Polytech Annecy-Chambéry-Mécanique, Matériaux										3	0.0	66.7	298	238	3
2020	tsi	Réseau Polytech	Polytech Clermont-Ferrand-Génie Electrique										2	0.0	0.0	249	249	2
2020	tsi	Réseau Polytech	Polytech Clermont-Ferrand-Génie Physique										2	0.0	0.0	321	321	2
2020	tsi	Réseau Polytech	Polytech Lille-Informatique, Microélectronique, Automatique										2	0.0	0.0	299	299	2
2020	tsi	Réseau Polytech	Polytech Lyon-Mécanique										3	0.0	0.0	189	176	2
2020	tsi	Réseau Polytech	Polytech Lyon-Systèmes industriels, Robotique										2	0.0	0.0	198	200	2
2020	tsi	Réseau Polytech	Polytech Marseille-Génie Civil										3	0.0	33.3	292	260	3
2020	tsi	Réseau Polytech	Polytech Marseille-Génie Industriel et Informatique										4	0.0	0.0	288	276	3
2020	tsi	Réseau Polytech	Polytech Marseille-Informatique										2	0.0	0.0	206	185	3
2020	tsi	Réseau Polytech	Polytech Marseille-Mécanique, Energétique										3	0.0	33.3	391	359	3
2020	tsi	Réseau Polytech	Polytech Marseille-Microélectronique,Télécommunications										3	33.3	0.0	356	330	2
2020	tsi	Réseau Polytech	Polytech Montpellier-Microélectronique et Automatique										3	0.0	0.0	190	204	3
2020	tsi	Réseau Polytech	Polytech Nantes-Énergie électrique										4	0.0	0.0	407	367	2
2020	tsi	Réseau Polytech	Polytech Orléans-Génie physique et systèmes embarqués										4	25.0	0.0	365	371	3
2020	tsi	Réseau Polytech	Polytech Orléans-Génie civil et géo-environnement										2	50.0	0.0	334	334	2
2020	tsi	Réseau Polytech	Polytech Orléans-Génie industriel										0	0.0	0.0	331	331	3
2020	tsi	Réseau Polytech	Polytech Orléans-Innovation en Conception et Matériaux										3	0.0	0.0	336	346	3
2020	tsi	Réseau Polytech	Polytech Orléans-Technologies pour l'Énergie, l'Aérospatial et la Motorisation										4	25.0	25.0	203	204	4
2020	tsi	Réseau Polytech	Polytech Tours-Électronique, Énergie électrique										0	0.0	0.0	370	372	2
2020	tsi	Réseau Polytech	Polytech Tours-Informatique										4	0.0	0.0	290	264	2
2020	tsi	Réseau Polytech	Polytech Tours-Mécanique, Conception de systèmes										2	0.0	50.0	369	369	2
2020	tsi	Réseau Polytech	Polytech Nancy-Energie, Mécanique, Matériaux, Environnement										2	0.0	50.0	163	163	2
2020	tsi	Réseau Polytech	Polytech Nancy-Ingénierie de l'Information et des Systèmes										2	0.0	0.0	282	282	2
2020	tsi	Réseau Polytech	Polytech Nancy-Management opérationnel, Maintenance, Maîtrise des risques										4	0.0	0.0	425	427	2
2020	tsi	Réseau Polytech	Polytech Tours-Génie de l'aménagement et de l'environnement										2	0.0	0.0	447	447	2
2020	tsi	Réseau Polytech	¥Concours Polytech TSI	1145	10.5	13.1				476	9.5	14.9	74					69
2020	tsi	Groupe INSA	INSA Hauts de France Informatique et Cybersécurité	462	10.2	16.0				162	8.6	19.8	4	0.0	0.0	94	90	3
2020	tsi	Groupe INSA	INSA Hauts de France Mécanique et Energétique										5	0.0	20.0	97	107	4
2020	tsi	Groupe INSA	INSA Hauts de France Génie Industriel										1	0.0	100.0	60	60	1
2020	tsi	Groupe INSA	INSA Hauts de France Mécatronique										8	12.5	37.5	137	139	7
2020	tsi	Groupe INSA	¥Concours INSA Domaine Génie mécanique, génie industriel et mécatronique TSI	619	9.7	15.5				264	8.3	19.3	14					12
2020	tsi	Groupe INSA	INSA Euro-Méditerranée Maroc Génie Electrique										1	0.0	0.0	171	171	1
2020	tsi	Groupe INSA	INSA Lyon Génie Electrique										2	0.0	0.0	7	7	2
2020	tsi	Groupe INSA	INSA Rennes Electronique et Informatique Industrielle										2	0.0	50.0	33	33	2
2020	tsi	Groupe INSA	INSA Rennes Système et Réseaux de Communication										5	0.0	0.0	59	97	5
2020	tsi	Groupe INSA	INSA Toulouse Automatique et Electronique										1	0.0	0.0	26	26	1
2020	tsi	Groupe INSA	¥Concours INSA Domaine Génie électrique, électronique, automatique TSI	496	10.9	15.7				207	6.8	18.8	11					11
2020	tsi	Groupe INSA	INSA Centre Val de Loire Sécurité et Technologies Informatiques										1	0.0	0.0	33	33	1
2020	tsi	Groupe INSA	INSA Euro-Méditerranée Maroc Systèmes d'Information et de Communication										0	0.0	0.0	0	0	1
2020	tsi	Groupe INSA	INSA Lyon Informatique										1	0.0	0.0	12	12	1
2020	tsi	Groupe INSA	INSA Lyon Télécommunications, services et usages										1	100.0	100.0	29	29	1
2020	tsi	Groupe INSA	INSA Toulouse Informatique et Réseaux										2	0.0	0.0	23	23	2
2020	tsi	Groupe INSA	¥Concours INSA Domaine Informatique, mathématique, modélisation TSI	462	10.2	16.0				162	8.6	19.8	5					6
2020	tsi	Groupe INSA	INSA Centre Val de Loire Génie des Systèmes Industriels										5	40.0	20.0	161	159	1
2020	tsi	Groupe INSA	INSA Euro-Méditerranée Maroc Génie Mécanique et Energétique										0	0.0	0.0	0	0	1
2020	tsi	Groupe INSA	INSA Lyon Génie Mécanique										0	0.0	0.0	5	5	1
2020	tsi	Groupe INSA	INSA Rennes Génie Mécanique et Automatique										1	0.0	0.0	37	37	1
2020	tsi	Groupe INSA	INSA Strasbourg Génie Mécanique										2	0.0	50.0	58	58	1
2020	tsi	Groupe INSA	INSA Strasbourg Mécatronique										1	0.0	0.0	66	66	1
2020	tsi	Groupe INSA	¥Concours INSA Domaine Génie mécanique, génie industriel et mécatronique TSI	619	9.7	15.5				264	8.3	19.3	9					6
2020	tsi	Groupe INSA Inter-Filière	INSA Hauts de France Informatique et Cybersécurité	3132	23.5	19.5				1047	22.4	21.7	2	0.0	0.0	750	811	3
2020	tsi	Groupe INSA Inter-Filière	INSA Hauts de France Génie civil et bâtiment	2396	25.2	17.7				1278	25.0	20.6	5	40.0	20.0	840	788	5
2020	tsi	Groupe INSA Inter-Filière	INSA Hauts de France Génie civil et bâtiment	2294	36.4	19.4				1186	38.2	18.7	8	37.5	0.0	925	919	8
2020	tsi	Groupe INSA Inter-Filière	INSA Hauts de France Mécanique et Energétique										28	32.1	21.4	1663	1640	35
2020	tsi	Groupe INSA Inter-Filière	INSA Hauts de France Mécatronique										19	0.0	10.5	1511	1428	16
2020	tsi	Groupe INSA Inter-Filière	INSA Hauts de France Génie Industriel										12	41.7	41.7	1511	1394	10
2020	tsi	Groupe INSA Inter-Filière	¥Concours INSA Domaine Génie mécanique, génie industriel et mécatronique PSI-PT	3281	21.0	17.7				1956	21.3	19.4	59					61
2020	tsi	Groupe INSA Inter-Filière	ESITech Rouen Technologies du Vivant										2	100.0	0.0	747	747	3
2020	tsi	Groupe INSA Inter-Filière	INSA Lyon Biosciences										5	80.0	20.0	230	211	6
2020	tsi	Groupe INSA Inter-Filière	INSA Toulouse Génie Biologique										2	100.0	0.0	153	153	2
2020	tsi	Groupe INSA Inter-Filière	ISIS Castres Informatique pour la Santé										13	46.2	15.4	1699	1667	2
