year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	integres_places
2020	psi	BANQUE ENS CACHAN/EC. POLYTECH	ENS Ulm PSI	1029	19.0	20.5				32	9.4	12.5	6	0.0	16.7	15	12	6
2020	psi	BANQUE ENS CACHAN/EC. POLYTECH	ECOLE POLYTECHNIQUE	1028	16.8	18.8				69	17.4	5.8	57	19.3	5.3	31	32	57
2020	psi	BANQUE ENS CACHAN/EC. POLYTECH	ENS Paris-Saclay	1428	19.6	19.9				375	15.7	14.9	39	12.8	25.6	197	187	39
2020	psi	BANQUE ENS CACHAN/EC. POLYTECH	ENS Rennes	1335	19.7	20.1				366	16.7	15.0	2	100.0	0.0	302	302	2
2020	psi	BANQUE CENTRALE-SUPELEC	CentraleSupélec-statut étudiant	2635	20.7	17.2				2040	20.3	16.5	189	14.3	13.2	189	187	190
2020	psi	BANQUE CENTRALE-SUPELEC	CentraleSupélec-statut étudiant-étr.	127	26.8	15.7				60	30.0	16.7	10	20.0	10.0	16	15	10
2020	psi	BANQUE CENTRALE-SUPELEC	CENTRALE LYON	3014	21.5	17.3				2307	21.4	16.8	81	28.4	23.5	432	434	82
2020	psi	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	1440	23.2	19.9				1048	23.3	19.3	32	28.1	21.9	577	558	28
2020	psi	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)-étr.	56	35.7	19.6				18	44.4	27.8	1	0.0	100.0	17	17	2
2020	psi	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE	3037	22.5	18.1				2242	22.5	17.4	60	16.7	20.0	598	592	60
2020	psi	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES	3109	22.3	17.6				2330	22.2	17.4	65	16.9	15.4	505	473	75
