year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	appeles	integres_nb	integres_filles	integres_cinq_demi	places
2003	PC	CONCOURS ECOLE POLYTECHNIQUE	Ecole Polytechnique	149	20 %	43 %	22	18 %	55 %	14	14 %	50 %	14	14	14	50	14
2003	PC	CONCOURS ECOLE POLYTECHNIQUE	Ecole Polytechnique	1323	23 %	37 %	306	13 %	39 %	213	13 %	42 %	192	170	14	42	170
2003	PC	CONCOURS ECOLE POLYTECHNIQUE	ESPCI	1262	27 %	37 %	395	15 %	43 %	357	15 %	41 %	357	51	27	57	58
2003	PC	CONCOURS ECOLE POLYTECHNIQUE	ESPCI etranger	118	23 %	43 %	29	24 %	66 %	25	20 %	68 %	21	6	17	83	5
2003	PC	BANQUE ENS	ENS Ulm etranger							2	0 %	100 %	0	0	0	0	0
2003	PC	BANQUE ENS	ENS Ulm							45	11 %	49 %	34	21	14	43	21
2003	PC	BANQUE ENS	ENS Cachan							141	22 %	52 %	103	19	37	53	19
2003	PC	BANQUE ENS	ENS Cachan etranger							3	0 %	100 %	81	1	0	100	0
2003	PC	BANQUE ENS	ENS Lyon	992	31 %	43 %	197	19 %	52 %	140	19 %	53 %	97	31	23	48	31
2003	PC	BANQUE ENS	ENS Lyon etranger							3	0 %	100 %	82	0	0	0	0
2003	PC	CONC. COMM. MINES-PONTS	Ponts et Chaussees										204	24	29	46	23
2003	PC	CONC. COMM. MINES-PONTS	SUPAERO										261	27	26	19	25
2003	PC	CONC. COMM. MINES-PONTS	Techniques Avancees										366	25	36	32	24
2003	PC	CONC. COMM. MINES-PONTS	ENST cursus Paris										377	13	23	46	15
2003	PC	CONC. COMM. MINES-PONTS	ENST Sophia Antipolis										437	5	20	0	6
2003	PC	CONC. COMM. MINES-PONTS	MINES Paris										81	16	25	6	18
2003	PC	CONC. COMM. MINES-PONTS	MINES Saint-Etienne										774	43	16	40	38
2003	PC	CONC. COMM. MINES-PONTS	MINES Nancy										600	38	21	34	40
2003	PC	CONC. COMM. MINES-PONTS	Telecom Bretagne										974	33	9	45	32
2003	PC	CONC. COMM. MINES-PONTS	Commun Mines Ponts PC	3207	27 %	31 %	1004	21 %	36 %	978	21 %	36 %					221
2003	PC	BANQUE CENTRALE-SUPELEC	CENTRALE Paris cycle international	16	19 %	31 %	2	0 %	50 %	1	0 %	0 %	1	0	0	0	5
2003	PC	BANQUE CENTRALE-SUPELEC	CENTRALE Paris etranger	130	22 %	39 %	24	21 %	50 %	19	26 %	53 %	19	2	50	100	2
2003	PC	BANQUE CENTRALE-SUPELEC	CENTRALE Paris handicapés							1	0 %	0 %	1	1	0	0	1
2003	PC	BANQUE CENTRALE-SUPELEC	CENTRALE Paris	2322	26 %	34 %	481	19 %	41 %	344	19 %	41 %	252	85	25	40	85
2003	PC	BANQUE CENTRALE-SUPELEC	Supelec campus Gif	1753	23 %	36 %	689	19 %	42 %	600	20 %	43 %	394	54	26	59	54
2003	PC	BANQUE CENTRALE-SUPELEC	Supelec campus Gif handicapés							0	0 %	0 %	0	0	0	0	0
2003	PC	BANQUE CENTRALE-SUPELEC	Supelec campus Gif cycle international	16	19 %	31 %				0	0 %	0 %	0	0	0	0	0
2003	PC	BANQUE CENTRALE-SUPELEC	Supelec campus Gif etranger										0	0	0	0	1
2003	PC	BANQUE CENTRALE-SUPELEC	Supelec campus Metz etranger										14	0	0	0	0
2003	PC	BANQUE CENTRALE-SUPELEC	Supélec Etrangers PC	118	21 %	40 %	54	24 %	54 %	14	21 %	57 %					1
2003	PC	BANQUE CENTRALE-SUPELEC	Supelec campus Metz	1753	23 %	36 %	689	19 %	42 %	600	20 %	43 %	508	16	12	38	18
2003	PC	BANQUE CENTRALE-SUPELEC	Supelec campus Metz cycle international	16	19 %	31 %				0	0 %	0 %	0	0	0	0	0
2003	PC	BANQUE CENTRALE-SUPELEC	Supelec campus Metz handicapés										0	0	0	0	0
2003	PC	BANQUE CENTRALE-SUPELEC	Supelec campus Rennnes handicapés										0	0	0	0	0
2003	PC	BANQUE CENTRALE-SUPELEC	SUPELEC PC Hd							0	0 %	0 %					0
2003	PC	BANQUE CENTRALE-SUPELEC	Supelec campus Rennnes cycle international	16	19 %	31 %				0	0 %	0 %	0	0	0	0	0
2003	PC	BANQUE CENTRALE-SUPELEC	Supelec campus Rennnes etranger	118	21 %	40 %	54	24 %	54 %	14	21 %	57 %	0	0	0	0	0
2003	PC	BANQUE CENTRALE-SUPELEC	Supelec campus Rennes	1753	23 %	36 %	689	19 %	42 %	600	20 %	43 %	468	15	27	67	18
2003	PC	BANQUE CENTRALE-SUPELEC	CENTRALE Lyon	2629	28 %	33 %	644	21 %	41 %	530	21 %	44 %	397	47	28	47	55
2003	PC	BANQUE CENTRALE-SUPELEC	CENTRALE Lyon cycle international	16	19 %	31 %				0	0 %	0 %	0	0	0	0	0
2003	PC	BANQUE CENTRALE-SUPELEC	SupOptique	1503	26 %	40 %	579	21 %	49 %	501	21 %	50 %	501	27	15	67	26
2003	PC	BANQUE CENTRALE-SUPELEC	SupOptique etranger	61	13 %	46 %	18	17 %	50 %	10	20 %	60 %	10	0	0	0	3
2003	PC	BANQUE CENTRALE-SUPELEC	CENTRALE Lille cycle international	16	19 %	31 %	2	0 %	50 %	1	0 %	0 %	1	0	0	0	1
2003	PC	BANQUE CENTRALE-SUPELEC	CENTRALE Lille handicapés							0	0 %	0 %	0	0	0	0	1
2003	PC	BANQUE CENTRALE-SUPELEC	CENTRALE Lille	2364	28 %	35 %	729	24 %	45 %	662	23 %	46 %	540	52	19	42	45
2003	PC	BANQUE CENTRALE-SUPELEC	CENTRALE Nantes handicapés							2	0 %	0 %	2	0	0	0	0
2003	PC	BANQUE CENTRALE-SUPELEC	CENTRALE Nantes	2521	28 %	34 %	748	22 %	42 %	714	22 %	43 %	659	59	12	36	50
2003	PC	BANQUE CENTRALE-SUPELEC	ENSEA Cergy	833	24 %	37 %	400	23 %	42 %	302	22 %	44 %	302	15	33	53	20
2003	PC	BANQUE CENTRALE-SUPELEC	ENSEA Cergy handicapés							0	0 %	0 %	0	0	0	0	1
2003	PC	BANQUE CENTRALE-SUPELEC	IIE-CNAM	531	22 %	43 %	304	21 %	46 %	188	22 %	50 %	189	5	0	60	10
