year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rg_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSCI Limoges	¥	¥	¥	¥	¥	¥	¥	¥	¥	1046	2	0	100	4
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSP Grenoble	¥	¥	¥	¥	¥	¥	¥	¥	¥	241	2	50	0	2
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSIT Mulhouse	¥	¥	¥	¥	¥	¥	¥	¥	¥	1046	0	0	0	5
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSEM Nancy	¥	¥	¥	¥	¥	¥	¥	¥	¥	696	5	20	0	6
2004	PT	CONC. COMM. POLYTECHNIQUE	SUPMECA Paris	¥	¥	¥	¥	¥	¥	¥	¥	¥	695	18	11	33	17
2004	PT	CONC. COMM. POLYTECHNIQUE	SUPMECA Toulon	¥	¥	¥	¥	¥	¥	¥	¥	¥	427	2	0	0	3
2004	PT	CONC. COMM. POLYTECHNIQUE	CPE Lyon (Elec.)	¥	¥	¥	¥	¥	¥	¥	¥	¥	1020	2	50	50	2
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSMA Poitiers	¥	¥	¥	¥	¥	¥	¥	¥	¥	416	5	0	20	5
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSEEIHT Genie Elec.	¥	¥	¥	¥	¥	¥	¥	¥	¥	233	2	0	0	2
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSEEIHT electronique	¥	¥	¥	¥	¥	¥	¥	¥	¥	437	2	50	0	2
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSEEIHT Informatique	¥	¥	¥	¥	¥	¥	¥	¥	¥	431	1	0	100	2
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSEEIHT hydraulique	¥	¥	¥	¥	¥	¥	¥	¥	¥	166	2	0	50	2
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSEEIHT Telecom.reseau	¥	¥	¥	¥	¥	¥	¥	¥	¥	496	1	0	0	1
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSICA Toulouse	¥	¥	¥	¥	¥	¥	¥	¥	¥	125	2	50	0	2
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSIAME Meca Energ.	¥	¥	¥	¥	¥	¥	¥	¥	¥	1037	9	33	33	8
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSIAME Mecatronique	¥	¥	¥	¥	¥	¥	¥	¥	¥	998	2	0	0	2
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSIAME Info Autom.	¥	¥	¥	¥	¥	¥	¥	¥	¥	976	2	0	50	2
2004	PT	CONC. COMM. POLYTECHNIQUE	ISIMA Clermont-Fd	¥	¥	¥	¥	¥	¥	¥	¥	¥	969	5	0	20	6
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSICAEN : informatique	¥	¥	¥	¥	¥	¥	¥	¥	¥	689	2	0	0	2
2004	PT	CONC. COMM. POLYTECHNIQUE	C.C. POLYTECHNIQUE PT	1910	9	21	1222	9	24	1046	9	25	¥	¥	¥	¥	184
2004	PT	CONC. COMM. POLYTECHNIQUE	Rang du dernier appelé
2004	PT	CONCOURS ECRIN	ECOLE LOUIS DE BROG.	213	10	28	198	10	29	104	10	38	104	9	11	56	15
2004	PT	CONCOURS ECRIN	EFREI Paris	168	12	27	157	11	26	70	16	20	70	9	11	22	15
2004	PT	CONCOURS ECRIN	EISTI Cergy	¥	¥	¥	¥	¥	¥	¥	¥	¥	76	5	20	40	20
2004	PT	CONCOURS ECRIN	EISTI Pau	¥	¥	¥	¥	¥	¥	¥	¥	¥	76	1	0	0	5
2004	PT	CONCOURS ECRIN	EISTI Cergy-Pontoise PT	147	11	25	129	10	25	76	9	30	¥	¥	¥	¥	25
2004	PT	CONCOURS ECRIN	ESEO Angers	181	10	29	159	11	31	86	13	37	86	4	0	25	7
2004	PT	CONCOURS ECRIN	ESIEA PARIS	¥	¥	¥	¥	¥	¥	¥	¥	¥	76	2	0	0	10
2004	PT	CONCOURS ECRIN	ESIEA Laval	¥	¥	¥	¥	¥	¥	¥	¥	¥	76	1	0	0	10
2004	PT	CONCOURS ECRIN	ESIEA Paris-Laval PT	141	8	23	129	8	23	76	5	29	¥	¥	¥	¥	20
2004	PT	CONCOURS ECRIN	ESME-Sudria Paris	152	10	30	120	8	32	90	7	34	90	4	0	25	25
2004	PT	CONCOURS ECRIN	ESTIT V.D ASCQ	149	11	32	144	11	33	79	9	42	79	1	0	0	7
2004	PT	CONCOURS ECRIN	ISEB Brest	189	10	27	166	10	28	45	7	40	45	1	0	0	7
