year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rg_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2004	MP	BANQUE CENTRALE-SUPELEC	Supelec campus Gif cycle international	223	24	16	38	21	24	9	11	22	9	0	0	0	1
2004	MP	BANQUE CENTRALE-SUPELEC	Supelec campus Gif handicapés	¥	¥	¥	¥	¥	¥	0	0	0	0	0	0	0	0
2004	MP	BANQUE CENTRALE-SUPELEC	Supelec campus Metz	2248	19	34	1017	17	36	864	17	37	718	21	19	38	19
2004	MP	BANQUE CENTRALE-SUPELEC	Supelec campus Metz etranger	156	28	42	57	16	58	28	11	54	0	0	0	0	0
2004	MP	BANQUE CENTRALE-SUPELEC	Supelec campus Metz cycle international	223	24	16	38	21	24	9	11	22	0	0	0	0	0
2004	MP	BANQUE CENTRALE-SUPELEC	Supelec campus Metz handicapés	¥	¥	¥	¥	¥	¥	0	0	0	0	0	0	0	0
2004	MP	BANQUE CENTRALE-SUPELEC	Supelec campus Rennes	2248	19	34	1017	17	36	864	17	37	622	19	11	63	19
2004	MP	BANQUE CENTRALE-SUPELEC	Supelec campus Renn. etranger	156	28	42	57	16	58	28	11	54	0	0	0	0	0
2004	MP	BANQUE CENTRALE-SUPELEC	Supelec campus Rennes cycle international	223	24	16	38	21	24	9	11	22	0	0	0	0	0
2004	MP	BANQUE CENTRALE-SUPELEC	Supelec campus Rennnes handicapés	¥	¥	¥	¥	¥	¥	0	0	0	0	0	0	0	0
2004	MP	BANQUE CENTRALE-SUPELEC	CENTRALE Lyon	3256	21	32	991	17	36	873	17	37	727	121	23	41	125
2004	MP	BANQUE CENTRALE-SUPELEC	CENTRALE Lyon cycle international	200	23	17	18	22	17	8	12	25	8	0	0	0	3
2004	MP	BANQUE CENTRALE-SUPELEC	SupOptique	1394	25	38	697	25	43	578	24	44	578	25	32	60	32
