year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rang_du_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2017	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS Ulm PSI	937	18,7%	31,2%	35	14,3%	8,6%	18	11,1%	5,6%	18	4	0,0%	0,0%	5
2017	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ECOLE POLYTECHNIQUE	894	18,7%	19,7%	111	13,5%	9,0%	64	14,1%	6,2%	61	57	15,8%	5,3%	57
2017	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS Cachan Paris-Saclay	1342	20,3%	25,0%	429	16,8%	16,1%	336	18,5%	14,9%	274	37	16,2%	29,7%	37
2017	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS Rennes	1174	20,3%	26,4%	372	16,7%	19,6%	333	17,1%	18,9%	333	6	16,7%	16,7%	6
2017	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE PARIS	2259	21,4%	21,1%	348	19,8%	10,1%	339	20,1%	10,3%	187	92	17,4%	15,2%	93
2017	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE PARIS - étr.	111	23,4%	27,0%	33	15,2%	21,2%	32	15,6%	21,9%	15	9	22,2%	22,2%	8
2017	PSI	BANQUE CENTRALE-SUPELEC	SUPELEC	2444	21,2%	21,9%	735	18,5%	12,5%	722	18,8%	12,6%	631	114	21,9%	17,5%	115
2017	PSI	BANQUE CENTRALE-SUPELEC	SUPELEC - étr.	95	24,2%	27,4%	34	20,6%	23,5%	32	21,9%	21,9%	18	2	0,0%	100,0%	1
2017	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE LYON	2785	22,7%	20,3%	635	20,0%	11,0%	621	20,3%	11,1%	453	82	20,7%	12,2%	82
2017	PSI	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	1546	24,6%	24,5%	665	25,9%	17,4%	629	26,2%	17,5%	587	28	42,9%	28,6%	30
2017	PSI	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique) - étr.	59	27,1%	30,5%	26	26,9%	30,8%	24	29,2%	25,0%	18	2	0,0%	100,0%	2
2017	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE	2849	22,4%	23,0%	847	21,4%	14,9%	827	21,5%	15,0%	600	58	36,2%	13,8%	60
2017	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES	3002	23,2%	22,3%	574	20,2%	12,9%	564	20,6%	12,8%	491	69	30,4%	11,6%	75
2017	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE MARSEILLE	2649	23,0%	23,8%	999	22,5%	16,4%	922	23,4%	16,1%	724	69	24,6%	14,5%	60
2017	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE CASABLANCA	446	16,6%	33,4%	57	15,8%	22,8%	56	16,1%	23,2%	50	1	0,0%	100,0%	5
2017	PSI	BANQUE CENTRALE-SUPELEC	ECOLE NAVALE Brest	678	17,3%	34,5%	222	16,7%	40,5%	125	18,4%	48,0%	85	28	7,1%	57,1%	28
2017	PSI	BANQUE CENTRALE-SUPELEC	ENSEA Cergy	1386	24,0%	25,1%	979	24,9%	21,8%	631	26,0%	19,0%	612	59	16,9%	22,0%	60
2017	PSI	BANQUE CENTRALE-SUPELEC	Université de Technologie de Troyes (UTT)	733	25,1%	25,1%	175	24,6%	10,9%	134	25,4%	9,7%	134	2	0,0%	50,0%	20
2017	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE PARIS - CI										5	5	0,0%	20,0%	5
2017	PSI	BANQUE CENTRALE-SUPELEC	SUPELEC - CI										8	1	0,0%	0,0%	1
2017	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE LYON - CI										7	1	0,0%	0,0%	1
2017	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE - CI										0	0	0,0%	0,0%	1
2017	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES - CI										9	1	0,0%	100,0%	5
2017	PSI	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique) - CI										13	1	100,0%	0,0%	1
2017	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE MARSEILLE - CI										10	1	0,0%	100,0%	1
2017	PSI	BANQUE CENTRALE-SUPELEC	Cycle International Centrale-Supelec	105	35,2%	16,2%	28	17,9%	14,3%	24	20,8%	16,7%		10			15
2017	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE CASABLANCA - CI	105	35,2%	16,2%	28	17,9%	14,3%	24	20,8%	16,7%	24	2	50,0%	0,0%	8
2017	PSI	CONCOURS COMMUN MINES-PONTS	MINES ParisTech										96	35	20,0%	0,0%	35
2017	PSI	CONCOURS COMMUN MINES-PONTS	MINES de NANCY										660	40	27,5%	22,5%	40
2017	PSI	CONCOURS COMMUN MINES-PONTS	MINES de SAINT-ETIENNE										754	41	22,0%	19,5%	40
2017	PSI	CONCOURS COMMUN MINES-PONTS	PONTS ParisTech										247	48	18,8%	8,3%	45
2017	PSI	CONCOURS COMMUN MINES-PONTS	ISAE - SUPAERO Toulouse										368	78	15,4%	10,3%	69
2017	PSI	CONCOURS COMMUN MINES-PONTS	ENSTA ParisTech										461	46	28,3%	17,4%	41
2017	PSI	CONCOURS COMMUN MINES-PONTS	TELECOM ParisTech cursus Paris										425	22	31,8%	9,1%	21
2017	PSI	CONCOURS COMMUN MINES-PONTS	TELECOM ParisTech cursus Sophia										504	8	12,5%	12,5%	8
2017	PSI	CONCOURS COMMUN MINES-PONTS	IMT Atlantique ex Télécom Bretagne cursus Brest-Rennes-Toulouse										1012	29	24,1%	27,6%	25
2017	PSI	CONCOURS COMMUN MINES-PONTS	IMT Atlantique ex Télécom Bretagne cursus Sophia										938	6	16,7%	0,0%	3
2017	PSI	CONCOURS COMMUN MINES-PONTS	Concours Commun Mines Ponts PSI	3903	22,5%	20,7%	1176	18,5%	14,6%	1147	18,8%	14,6%		353			327
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSMM Besançon										2428	46	21,7%	23,9%	54
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSC Bordeaux										2315	8	12,5%	25,0%	6
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	Bordeaux INP - ENSEIRB-MATMECA Electronique										1849	18	16,7%	22,2%	16
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	Bordeaux INP - ENSEIRB-MATMECA Informatique										1750	8	0,0%	12,5%	8
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	Bordeaux INP - ENSEIRB-MATMECA Mathématiques et Mécanique										1604	18	5,6%	16,7%	15
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	Bordeaux INP - ENSEIRB-MATMECA Télecom.										2069	21	19,0%	38,1%	16
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSICAEN Electronique et Physique Appliquée										2192	5	0,0%	40,0%	10
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSICAEN Informatique										2567	8	0,0%	12,5%	7
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	EISTI Cergy - Pau										3063	9	0,0%	33,3%	15
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ISIMA Clermont-Ferrand										2906	10	20,0%	60,0%	12
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	Grenoble INP - ENSE3										1614	77	23,4%	24,7%	80
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	Grenoble INP - ENSIMAG										599	12	25,0%	0,0%	10
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	Grenoble INP - Esisar										2167	9	11,1%	22,2%	12
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	Grenoble INP - Pagora										2997	13	23,1%	46,2%	11
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	Grenoble INP - Phelma (Physique Matériaux Procédés)										1177	25	24,0%	20,0%	32
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	Grenoble INP - Phelma (Physique Electronique Télécoms)										1356	44	11,4%	25,0%	45
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	CPE LYON Electronique Informatique										3077	14	7,1%	28,6%	12
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSEM Nancy Energie										2804	37	24,3%	32,4%	37
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSEM Nancy Spécialité des systèmes numériques										2851	10	0,0%	40,0%	9
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSG Nancy										2275	4	50,0%	0,0%	5
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSIC Nancy										2875	5	40,0%	40,0%	7
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	SUPMECA Paris										1912	47	12,8%	23,4%	45
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSGTI Pau - Energétique										2987	8	37,5%	37,5%	12
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSI Poitiers Eau et Genie Civil										2461	8	25,0%	25,0%	7
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSI Poitiers Energie										2882	16	31,2%	31,2%	20
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ISAE-ENSMA Poitiers										1217	58	10,3%	19,0%	58
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENGEES Strasbourg Civil (étudiant)										2564	9	44,4%	22,2%	9
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENGEES Strasbourg Civil (apprenti)										2429	3	33,3%	0,0%	2
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENGEES Strasbourg Fonctionnaire										2144	4	25,0%	25,0%	4
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	TELECOM PHYSIQUE Strasbourg										2257	27	22,2%	33,3%	28
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	SeaTech Toulon										2275	26	11,5%	11,5%	27
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	INP-ENSEEIHT Toulouse Electronique et Traitement du Signal										1662	20	20,0%	20,0%	20
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	INP-ENSEEIHT Toulouse Génie Electrique et Automatique										1430	25	20,0%	20,0%	23
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	INP-ENSEEIHT Toulouse Hydraulique et Mécanique des Fluides										1302	18	33,3%	22,2%	19
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	INP-ENSEEIHT Toulouse Informatique et Mathématiques appliquées										1466	20	15,0%	15,0%	21
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	INP-ENSEEIHT Toulouse Télécom.réseaux										1747	21	14,3%	23,8%	21
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	INP-ENSIACET Toulouse Génie des Procédés										2259	10	60,0%	20,0%	11
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	INP-ENSIACET Toulouse Génie Industriel										1995	13	38,5%	30,8%	15
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENAC Toulouse Civil										899	35	20,0%	28,6%	34
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENAC Toulouse Fonctionnaire										168	5	0,0%	0,0%	5
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSIAME Valenciennes Informatique et Génie Industriel										2927	9	11,1%	11,1%	7
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSIAME Valenciennes Méca Energ.										2902	33	24,2%	42,4%	30
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSIAME Valenciennes Mécatronique										2554	10	0,0%	10,0%	12
2017	PSI	CONCOURS COMMUNS POLYTECHNIQUES	Concours Commun Polytechnique PSI	5393	24,2%	21,8%	3541	22,4%	22,6%	3081	23,0%	23,0%		826			849
