year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	nb_integres_interfilieres	places
2022	TSI	Concours Polytechnique	ECOLE POLYTECHNIQUE	611	8,5%	15,7%	2	0,0%	0,0%	2	0,0%	0,0%	2	0,0%	0,0%	2	2		2
2022	TSI	CONCOURS CENTRALE-SUPELEC	Arts et Métiers										36	2,8%	19,4%	87	82		35
2022	TSI	CONCOURS CENTRALE-SUPELEC	Arts et Métiers - voie de l'apprentissage										0	0,0%	0,0%	0	0		1
2022	TSI	CONCOURS CENTRALE-SUPELEC	ENSEA Cergy										3	0,0%	66,7%	160	158		10
2022	TSI	CONCOURS CENTRALE-SUPELEC	Concours ARTS ET MÉTIERS TSI	836	10,3%	15,1%	179	6,7%	21,8%	164	6,7%	21,3%	39						46
2022	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE CASABLANCA	312	7,1%	17,6%	52	5,8%	28,8%	44	4,5%	29,5%	0	0,0%	0,0%	0	0		3
2022	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE LILLE	578	10,0%	16,1%	61	9,8%	16,4%	60	10,0%	16,7%	5	40,0%	0,0%	38	34		5
2022	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE LYON	560	9,1%	15,4%	55	5,5%	9,1%	55	5,5%	9,1%	5	0,0%	20,0%	30	26		5
2022	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE MARSEILLE	547	8,6%	16,3%	98	7,1%	20,4%	92	7,6%	19,6%	5	20,0%	40,0%	51	48		5
2022	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE NANTES	624	10,1%	15,2%	61	6,6%	8,2%	60	6,7%	8,3%	8	0,0%	0,0%	26	24		8
2022	TSI	CONCOURS CENTRALE-SUPELEC	CentraleSupélec - statut étudiant										5	0,0%	0,0%	4	4		5
2022	TSI	CONCOURS CENTRALE-SUPELEC	CentraleSupélec - cursus apprenti - Campus Metz										9	0,0%	22,2%	52	49		8
2022	TSI	CONCOURS CENTRALE-SUPELEC	CentraleSupélec - cursus apprenti - Campus Rennes										9	11,1%	33,3%	27	30		8
2022	TSI	CONCOURS CENTRALE-SUPELEC	Concours CentraleSupélec TSI	630	8,7%	16,7%	100	5,0%	12,0%	98	5,1%	12,2%	23						21
2022	TSI	CONCOURS CENTRALE-SUPELEC	ESIX Cherbourg GSI	597	8,0%	17,8%	408	7,1%	17,2%	100	5,0%	17,0%	16	6,2%	56,2%	73	69		30
2022	TSI	CONCOURS CENTRALE-SUPELEC	ESIX Caen Mécatronique et Systèmes Embarqués	581	7,1%	17,4%	297	6,1%	16,8%	100	4,0%	32,0%	5	0,0%	40,0%	31	35		10
2022	TSI	CONCOURS CENTRALE-SUPELEC	ESTP Paris - Bâtiment (B) - campus de Cachan										7	0,0%	14,3%	69	58		6
2022	TSI	CONCOURS CENTRALE-SUPELEC	ESTP Paris - Bâtiment (B) - campus de Troyes										10	10,0%	0,0%	127	121		12
2022	TSI	CONCOURS CENTRALE-SUPELEC	ESTP Paris - Génie Mécanique et Electrique(GME)										11	0,0%	27,3%	127	121		14
2022	TSI	CONCOURS CENTRALE-SUPELEC	ESTP Paris - Topographie (T)										7	0,0%	14,3%	146	141		10
