year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	nb_integres_interfilieres	places
2022	PSI	Banque ENS CACHAN - ECOLE POLYTECHNIQUE	ENS Ulm PSI	1077	20,5%	22,2%	53	5,7%	9,4%	33	6,1%	15,2%	6	0,0%	33,3%	10	11		6
2022	PSI	Banque ENS CACHAN - ECOLE POLYTECHNIQUE	ECOLE POLYTECHNIQUE	984	18,5%	20,6%	96	11,5%	3,1%	66	13,6%	3,0%	57	15,8%	1,8%	31	31		57
2022	PSI	Banque ENS CACHAN - ECOLE POLYTECHNIQUE	ENS Paris-Saclay	1398	20,7%	21,6%	386	14,5%	15,3%	295	13,6%	13,2%	36	8,3%	27,8%	200	192		36
2022	PSI	Banque ENS CACHAN - ECOLE POLYTECHNIQUE	ENS Rennes	1295	20,8%	21,7%	361	14,7%	15,0%	313	13,7%	14,7%	4	0,0%	25,0%	282	277		4
2022	PSI	Banque CENTRALE-SUPELEC	CentraleSupélec - statut étudiant	2744	22,2%	18,3%	599	17,9%	11,2%	592	18,1%	11,1%	199	17,1%	10,6%	208	198		195
2022	PSI	Banque CENTRALE-SUPELEC	CentraleSupélec - statut étudiant - étr.	115	31,3%	15,7%	29	31,0%	17,2%	29	31,0%	17,2%	9	22,2%	22,2%	18	17		8
2022	PSI	Banque CENTRALE-SUPELEC	CENTRALE LYON	3093	23,1%	18,2%	638	18,3%	11,4%	630	18,6%	11,3%	83	20,5%	9,6%	427	417		82
2022	PSI	Banque CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	1370	25,0%	19,8%	680	23,1%	16,0%	640	23,9%	15,3%	27	25,9%	11,1%	471	476		28
2022	PSI	Banque CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique) - étr.	51	33,3%	11,8%	18	50,0%	0,0%	18	50,0%	0,0%	0	0,0%	0,0%	0	0		2
2022	PSI	Banque CENTRALE-SUPELEC	CENTRALE LILLE	3080	23,6%	18,9%	893	19,4%	14,7%	878	19,6%	14,2%	58	19,0%	29,3%	614	569		60
2022	PSI	Banque CENTRALE-SUPELEC	CENTRALE NANTES	3116	23,7%	18,6%	1034	19,9%	15,1%	1013	20,1%	14,5%	78	24,4%	17,9%	584	554		80
2022	PSI	Banque CENTRALE-SUPELEC	CENTRALE MARSEILLE	2864	24,3%	19,7%	1152	22,1%	17,4%	1075	23,1%	15,9%	64	20,3%	34,4%	701	686		60
2022	PSI	Banque CENTRALE-SUPELEC	CENTRALE CASABLANCA	554	22,6%	22,4%	91	14,3%	22,0%	82	15,9%	20,7%	0	0,0%	0,0%	0	0		3
2022	PSI	Banque CENTRALE-SUPELEC	CentraleSupélec - statut étudiant - CI										6	0,0%	16,7%	4	4		5
2022	PSI	Banque CENTRALE-SUPELEC	CENTRALE LYON - CI										1	0,0%	0,0%	13	13		1
2022	PSI	Banque CENTRALE-SUPELEC	CENTRALE LILLE - CI										0	0,0%	0,0%	0	0		1
2022	PSI	Banque CENTRALE-SUPELEC	CENTRALE NANTES - CI										1	0,0%	100,0%	11	11		2
2022	PSI	Banque CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique) - CI										1	0,0%	0,0%	22	22		1
2022	PSI	Banque CENTRALE-SUPELEC	CENTRALE MARSEILLE - CI										1	0,0%	0,0%	17	17		1
2022	PSI	Banque CENTRALE-SUPELEC	Concours Cycle International Centrale-Supelec PSI	60	38,3%	10,0%	23	26,1%	13,0%	23	26,1%	13,0%	10						11
2022	PSI	Banque CENTRALE-SUPELEC	CENTRALE CASABLANCA - CI	60	38,3%	10,0%	23	26,1%	13,0%	3	33,3%	0,0%	0	0,0%	0,0%	0	0		8
2022	PSI	Banque CENTRALE-SUPELEC	Arts et Métiers										256	27,0%	27,3%	910	888		254
2022	PSI	Banque CENTRALE-SUPELEC	Arts et Métiers - ingénieurs militaires										4	25,0%	50,0%	991	957		4
2022	PSI	Banque CENTRALE-SUPELEC	Arts et Métiers - voie de l'apprentissage										1	0,0%	0,0%	1141	1141		5
2022	PSI	Banque CENTRALE-SUPELEC	Concours ARTS ET MÉTIERS PSI	3449	23,1%	20,3%	1603	20,1%	20,8%	1378	20,8%	21,6%	261						263
2022	PSI	Banque CENTRALE-SUPELEC	ENSEA Cergy	1949	23,2%	19,0%	1532	22,3%	19,4%	1103	21,3%	19,9%	66	19,7%	33,3%	965	955		70
2022	PSI	Banque CENTRALE-SUPELEC	EPF campus TROYES										1	100,0%	0,0%	387	387		4
2022	PSI	Banque CENTRALE-SUPELEC	EPF campus MONTPELLIER										5	60,0%	20,0%	381	381		10
2022	PSI	Banque CENTRALE-SUPELEC	EPF campus Paris - Cachan										13	38,5%	23,1%	354	329		12
2022	PSI	Banque CENTRALE-SUPELEC	Concours EPF Paris - Cachan - Troyes - Montpellier PSI	906	31,2%	18,3%	681	32,0%	17,8%	446	35,7%	16,1%	19						26
2022	PSI	Banque CENTRALE-SUPELEC	ESTP Paris - Travaux Publics (TP) - campus de Cachan										62	27,4%	12,9%	731	725		60
2022	PSI	Banque CENTRALE-SUPELEC	ESTP Paris - Bâtiment (B) - campus de Cachan										58	41,4%	17,2%	601	584		55
2022	PSI	Banque CENTRALE-SUPELEC	ESTP Paris - Génie Mécanique et Electrique(GME)										26	23,1%	38,5%	816	763		30
2022	PSI	Banque CENTRALE-SUPELEC	ESTP Paris - Topographie (T)										3	33,3%	0,0%	841	844		14
2022	PSI	Banque CENTRALE-SUPELEC	ESTP Paris - Bâtiment (B) - campus de Troyes										17	41,2%	23,5%	840	789		20
2022	PSI	Banque CENTRALE-SUPELEC	ESTP Paris - Travaux Publics (TP) - campus de Dijon										13	53,8%	0,0%	670	704		14
2022	PSI	Banque CENTRALE-SUPELEC	Concours ESTP PSI	1426	27,5%	20,9%	1248	27,7%	20,8%	882	29,6%	18,6%	179						193
2022	PSI	Banque CENTRALE-SUPELEC	ECOLE NAVALE Brest	946	19,9%	26,6%	257	16,7%	32,3%	119	14,3%	49,6%	32	6,2%	65,6%	36	38		32
2022	PSI	CONCOURS COMMUN MINES-PONTS	Chimie ParisTech										1	100,0%	0,0%	968	968		2
2022	PSI	CONCOURS COMMUN MINES-PONTS	ENSAE Paris										9	22,2%	22,2%	610	590		8
2022	PSI	CONCOURS COMMUN MINES-PONTS	ENSTA Paris										55	18,2%	9,1%	512	458		55
2022	PSI	CONCOURS COMMUN MINES-PONTS	ENSTA Paris - apprentissage										3	33,3%	0,0%	589	592		2
2022	PSI	CONCOURS COMMUN MINES-PONTS	IMT Atlantique										97	22,7%	12,4%	879	849		90
2022	PSI	CONCOURS COMMUN MINES-PONTS	ISAE - SUPAERO Toulouse										75	18,7%	10,7%	372	350		75
2022	PSI	CONCOURS COMMUN MINES-PONTS	MINES de NANCY										45	22,2%	8,9%	694	696		46
2022	PSI	CONCOURS COMMUN MINES-PONTS	MINES SAINT-ETIENNE										40	22,5%	10,0%	934	921		47
2022	PSI	CONCOURS COMMUN MINES-PONTS	MINES Paris										35	17,1%	2,9%	83	74		36
2022	PSI	CONCOURS COMMUN MINES-PONTS	PONTS ParisTech										60	16,7%	8,3%	324	302		58
2022	PSI	CONCOURS COMMUN MINES-PONTS	TELECOM Paris										32	28,1%	18,8%	423	382		31
2022	PSI	CONCOURS COMMUN MINES-PONTS	Concours CCMP PSI	3752	23,1%	17,6%	1150	18,0%	12,4%	1135	18,0%	12,2%	452						450
2022	PSI	Concours Mines - Télécom	EURECOM (Oral Série 1)	4358	24,6%	18,3%	2346	22,6%	19,2%	2236	22,9%	19,0%	8	37,5%	37,5%	1884	1829		16
2022	PSI	Concours Mines - Télécom	ECOLE METEOROLOGIE (fonctionnaire) (Oral Série 1)	4358	24,6%	18,3%	2293	22,2%	19,3%	2184	22,4%	19,0%	3	33,3%	33,3%	1154	1131		3
2022	PSI	Concours Mines - Télécom	ECOLE METEOROLOGIE (non fonctionnaire) (Oral Série 1)	4358	24,6%	18,3%	2346	22,6%	19,2%	2236	22,9%	19,0%	3	66,7%	0,0%	1827	1830		3
2022	PSI	Concours Mines - Télécom	EIVP Paris Civil (Oral Série 2)	4358	24,6%	18,3%	3007	23,1%	19,4%	2669	23,5%	19,3%	22	45,5%	13,6%	2213	2122		21
2022	PSI	Concours Mines - Télécom	EIVP Paris Fonctionnaire (Oral Série 2)	4358	24,6%	18,3%	2921	22,7%	19,5%	2594	23,0%	19,4%	4	0,0%	25,0%	1302	1356		4
2022	PSI	Concours Mines - Télécom	ENSG Nancy (Oral Série 2)	4358	24,6%	18,3%	3007	23,1%	19,4%	2669	23,5%	19,3%	7	42,9%	28,6%	2213	2112		5
2022	PSI	Concours Mines - Télécom	ENSG-Géomatique Marne la Vallée (Oral Série 2)	4358	24,6%	18,3%	3007	23,1%	19,4%	2669	23,5%	19,3%	4	25,0%	0,0%	2483	2496		4
2022	PSI	Concours Mines - Télécom	ENSG-Géomatique Marne la Vallée Fonctionnaire (Oral Série 2)	4358	24,6%	18,3%	2921	22,7%	19,5%	2594	23,0%	19,4%	3	0,0%	0,0%	2160	2237		3
2022	PSI	Concours Mines - Télécom	ENSIIE Evry (Oral Série 1)	4358	24,6%	18,3%	2346	22,6%	19,2%	2236	22,9%	19,0%	17	17,6%	23,5%	1762	1684		17
2022	PSI	Concours Mines - Télécom	ENSSAT Lannion (Oral Série 2)	4358	24,6%	18,3%	3007	23,1%	19,4%	2669	23,5%	19,3%	19	5,3%	36,8%	2328	2271		17
