year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
2021	pc	CONCOURS ECOLE POLYTECHNIQUE	ECOLE POLYTECHNIQUE	1201	26.9	21.5	269	22.3	15.6	159	22.6	16.4	132	23.5	15.2	80	78	132
2021	pc	CONCOURS ECOLE POLYTECHNIQUE	ESPCI Paris	1227	29.9	21.4	424	24.5	19.3	375	25.6	18.7	56	32.1	16.1	271	263	55
2021	pc	CONCOURS ECOLE POLYTECHNIQUE	ESPCI Paris Etranger	51	37.3	43.1	21	38.1	61.9	17	41.2	70.6	2	50.0	100.0	7	7	2
2021	pc	BANQUE ENS	ENS Ulm	1098	28.5	25.2	103	18.4	21.4	76	22.4	18.4	18	27.8	22.2	18	20	18
2021	pc	BANQUE ENS	ENS Paris-Saclay PC	1270	28.7	23.4	281	20.3	24.2	171	20.5	24.0	18	11.1	27.8	125	117	18
2021	pc	BANQUE ENS	ENS de Lyon	1140	28.2	24.2	252	19.0	27.4	161	23.0	23.0	17	23.5	41.2	106	105	17
2021	pc	BANQUE CENTRALE-SUPELEC	CentraleSupélec-statut étudiant	2511	31.9	19.0	690	27.8	18.4	675	27.9	18.1	185	25.4	18.4	265	258	152
2021	pc	BANQUE CENTRALE-SUPELEC	CentraleSupélec-statut étudiant-étr.	90	34.4	27.8	25	28.0	48.0	25	28.0	48.0	7	14.3	71.4	13	12	5
2021	pc	BANQUE CENTRALE-SUPELEC	CENTRALE LYON	2784	33.7	19.4	620	27.3	18.5	608	27.1	18.3	65	27.7	21.5	476	470	62
2021	pc	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	1520	35.9	21.1	695	34.5	22.0	662	34.7	22.1	34	50.0	26.5	534	508	50
2021	pc	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)-étr.	45	48.9	33.3	12	33.3	66.7	12	33.3	66.7	0	0.0	0.0	0	0	2
2021	pc	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE	2644	34.6	20.2	711	31.5	21.1	702	31.6	20.7	50	40.0	30.0	511	494	50
2021	pc	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES	2730	33.8	19.7	510	27.6	19.8	502	27.5	19.3	32	50.0	18.8	470	438	60
2021	pc	BANQUE CENTRALE-SUPELEC	CENTRALE MARSEILLE	2849	36.5	18.8	1104	33.7	18.3	1047	34.0	17.4	85	44.7	20.0	829	816	80
2021	pc	BANQUE CENTRALE-SUPELEC	CENTRALE CASABLANCA	427	32.8	24.6	74	27.0	25.7	69	27.5	26.1	0	0.0	0.0	0	0	2
2021	pc	BANQUE CENTRALE-SUPELEC	CentraleSupélec-statut étudiant-CI										5	20.0	0.0	3	3	5
2021	pc	BANQUE CENTRALE-SUPELEC	CENTRALE LYON-CI										1	100.0	0.0	6	6	1
2021	pc	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE-CI										0	0.0	0.0	0	0	1
2021	pc	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES-CI										5	80.0	0.0	9	9	2
2021	pc	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)-CI										0	0.0	0.0	0	0	2
2021	pc	BANQUE CENTRALE-SUPELEC	CENTRALE MARSEILLE-CI										0	0.0	0.0	0	0	2
2021	pc	BANQUE CENTRALE-SUPELEC	¥Concours Cycle International Centrale-Supelec PC	33	63.6	3.0	11	54.5	0.0	11	54.5	0.0	11					13
2021	pc	BANQUE CENTRALE-SUPELEC	CENTRALE CASABLANCA-CI				0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	null
2021	pc	BANQUE CENTRALE-SUPELEC	Arts et Métiers	1675	33.2	20.8	798	30.8	23.8	649	32.5	24.5	19	31.6	57.9	420	414	20
2021	pc	BANQUE CENTRALE-SUPELEC	ENSEA Cergy	1675	33.2	20.8	1240	30.7	22.4	960	30.9	23.3	18	11.1	16.7	872	859	30
2021	pc	BANQUE CENTRALE-SUPELEC	EPF campus TROYES										0	0.0	0.0	0	0	6
2021	pc	BANQUE CENTRALE-SUPELEC	EPF campus MONTPELLIER										5	0.0	40.0	327	329	5
2021	pc	BANQUE CENTRALE-SUPELEC	EPF campus SCEAUX										8	50.0	25.0	335	334	6
2021	pc	BANQUE CENTRALE-SUPELEC	¥Concours EPF Sceaux-Troyes-Montpellier PC	693	42.6	16.5	518	41.7	17.6	370	44.3	18.4	13					17
2021	pc	BANQUE CENTRALE-SUPELEC	ESTP Paris-Travaux Publics (TP)-campus de Cachan										39	23.1	10.3	625	584	60
2021	pc	BANQUE CENTRALE-SUPELEC	ESTP Paris-Bâtiment (B)-campus de Cachan										61	37.7	16.4	555	537	57
