year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rang_du_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2007	PT	CENTRALE-SUPELEC	CENTRALE PARIS	659	11.0%	19.0%	57	7.0%	9.0%	40	7.0%	13.0%	26	10	10.0%	10.0%	10
2007	PT	CENTRALE-SUPELEC	SUPELEC- Campus Gif										64	16	12.0%	32.0%	10
2007	PT	CENTRALE-SUPELEC	SUPELEC- Campus Metz										66	3	33.0%	34.0%	5
2007	PT	CENTRALE-SUPELEC	SUPELEC- Campus Rennes										72	2	0.0%	0.0%	5
2007	PT	CENTRALE-SUPELEC	Supélec	693	10.0%	22.0%	125	10.0%	12.0%	72	11.0%	12.0%		21			20
2007	PT	CENTRALE-SUPELEC	CENTRALE LYON	972	11.0%	20.0%	138	14.0%	10.0%	96	15.0%	11.0%	79	20	10.0%	5.0%	20
2007	PT	CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	347	12.0%	24.0%	87	12.0%	15.0%	69	13.0%	19.0%	56	2	0.0%	0.0%	2
2007	PT	CENTRALE-SUPELEC	CENTRALE LILLE	791	9.0%	23.0%	105	12.0%	11.0%	102	12.0%	11.0%	95	11	0.0%	0.0%	12
2007	PT	CENTRALE-SUPELEC	CENTRALE NANTES	927	9.0%	22.0%	150	10.0%	14.0%	130	11.0%	14.0%	124	13	7.0%	8.0%	15
2007	PT	CENTRALE-SUPELEC	CENTRALE MARSEILLE	602	11.0%	22.0%	89	14.0%	11.0%	72	16.0%	10.0%	72	2	50.0%	50.0%	8
2007	PT	CONCOURS COMMUN MINES-PONTS	MINES Paris										12	3	0.0%	0.0%	3
2007	PT	CONCOURS COMMUN MINES-PONTS	MINES Nancy										92	4	0.0%	0.0%	3
2007	PT	CONCOURS COMMUN MINES-PONTS	MINES St Etienne										57	3	33.0%	34.0%	3
2007	PT	CONCOURS COMMUN MINES-PONTS	Ponts et Chaussées										13	2	0.0%	0.0%	2
2007	PT	CONCOURS COMMUN MINES-PONTS	SUPAERO Toulouse										45	6	33.0%	0.0%	5
2007	PT	CONCOURS COMMUN MINES-PONTS	Techniques avancées										28	2	0.0%	0.0%	2
2007	PT	CONCOURS COMMUN MINES-PONTS	ENST Cursus Paris										30	1	0.0%	0.0%	1
2007	PT	CONCOURS COMMUN MINES-PONTS	ENST Cursus Sophia Antipolis										29	1	0.0%	0.0%	1
2007	PT	CONCOURS COMMUN MINES-PONTS	ENST Bretagne										103	2	100.0%	0.0%	2
2007	PT	CONCOURS COMMUN MINES-PONTS	Concours Commun Mines-Ponts	608	10.0%	20.0%	150	14.0%	14.0%	136	14.0%	12.0%		24			22
2007	PT	CONCOURS COMMUN ENSAM	ENSAM										804	556	8.0%	32.0%	550
2007	PT	CONCOURS COMMUN ENSAM	ENSEA Cergy										1100	23	8.0%	31.0%	25
2007	PT	CONCOURS COMMUN ENSAM	ESIEE Amiens										1100	1	0.0%	0.0%	6
2007	PT	CONCOURS COMMUN ENSAM	ESIEE Paris										1100	5	0.0%	40.0%	4
2007	PT	CONCOURS COMMUN ENSAM	ISMEA Gardanne										1042	11	0.0%	37.0%	10
2007	PT	CONCOURS COMMUN ENSAM	Concours commun ENSAM	2115	9.0%	21.0%	1205	9.0%	26.0%	1100	9.0%	27.0%		596			595
2007	PT	CONCOURS ECOLE POLYTECHNIQUE	ECOLE POLYTECHNIQUE	348	11.0%	15.0%	20	10.0%	10.0%	12	16.0%	0.0%	10	10	10.0%	0.0%	10
2007	PT	CONCOURS ENS DE CACHAN	ENS Cachan										284	42	19.0%	41.0%	42
2007	PT	CONCOURS ENS DE CACHAN	ENS Cachan - Ker Lan										273	7	14.0%	43.0%	7
2007	PT	CONCOURS ENS DE CACHAN	ENS Cachan	1684	10.0%	24.0%	349	9.0%	25.0%	293	10.0%	25.0%		49			49
2007	PT	CONCOURS COMMUNS POLYTECHNIQUES	ENSMM Besançon										1168	53	3.0%	14.0%	45
2007	PT	CONCOURS COMMUNS POLYTECHNIQUES	ENSI Bourges MRI										962	7	14.0%	29.0%	4
2007	PT	CONCOURS COMMUNS POLYTECHNIQUES	ENSI Bourges STI										0	0	0.0%	0.0%	0
