year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rang_du_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2016	MP	CONCOURS ECOLE POLYTECHNIQUE	ECOLE POLYTECHNIQUE Info.	750	10,4%	26,8%	224	9,8%	23,7%	150	11,3%	20,0%	136	105	13,3%	21,0%	105
2016	MP	CONCOURS ECOLE POLYTECHNIQUE	ECOLE POLYTECHNIQUE P&SI	879	18,5%	31,3%	178	15,2%	29,8%	96	18,8%	25,0%	89	81	21,0%	25,9%	81
2016	MP	BANQUE ENS	ENS Ulm MPI	1581	17,0%	29,7%	142	5,6%	23,2%	95	6,3%	18,9%	87	40	10,0%	22,5%	40
2016	MP	BANQUE ENS	ENS Ulm Info.	245	7,8%	30,6%	43	4,7%	18,6%	26	3,8%	19,2%	16	12	0,0%	16,7%	12
2016	MP	BANQUE ENS	ENS Cachan MP	1656	18,5%	29,6%	283	8,8%	30,0%	195	8,2%	31,3%	193	21	0,0%	42,9%	21
2016	MP	BANQUE ENS	ENS Cachan Info.	288	9,0%	28,1%	107	7,5%	29,9%	75	9,3%	24,0%	73	16	12,5%	37,5%	16
2016	MP	BANQUE ENS	ENS de Lyon MPI	1638	18,3%	30,2%	257	8,9%	30,7%	159	10,1%	30,2%	156	18	16,7%	33,3%	18
2016	MP	BANQUE ENS	ENS de Lyon Info.	312	9,3%	31,4%	124	4,8%	34,7%	74	6,8%	28,4%	64	24	0,0%	20,8%	24
2016	MP	BANQUE ENS	ENS Rennes MP	1521	18,6%	30,1%	302	9,9%	31,8%	249	10,4%	32,1%	227	12	16,7%	58,3%	12
2016	MP	BANQUE ENS	ENS Rennes Info.	284	8,8%	31,0%	112	4,5%	37,5%	91	4,4%	33,0%	78	10	0,0%	50,0%	10
2016	MP	BANQUE CENTRALE-SUPELEC	CENTRALE PARIS	3213	18,2%	25,8%	774	13,6%	22,9%	742	13,9%	23,5%	408	142	12,0%	18,3%	142
2016	MP	BANQUE CENTRALE-SUPELEC	CENTRALE PARIS - ̩tr.	232	21,6%	28,9%	92	12,0%	28,3%	88	12,5%	28,4%	45	19	10,5%	57,9%	18
2016	MP	BANQUE CENTRALE-SUPELEC	SUPELEC	2956	18,2%	25,7%	985	15,1%	25,5%	959	15,2%	25,8%	889	141	12,1%	27,0%	145
2016	MP	BANQUE CENTRALE-SUPELEC	SUPELEC - ̩tr.	159	23,9%	27,0%	42	7,1%	31,0%	41	7,3%	29,3%	33	1	0,0%	100,0%	2
2016	MP	BANQUE CENTRALE-SUPELEC	CENTRALE LYON	3578	19,1%	24,7%	1137	15,8%	24,6%	1102	16,0%	24,9%	856	121	19,8%	32,2%	127
2016	MP	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	1670	21,9%	27,2%	940	20,9%	27,1%	843	21,8%	26,7%	725	38	31,6%	36,8%	40
2016	MP	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique) - ̩tr.	71	21,1%	18,3%	42	21,4%	16,7%	32	21,9%	21,9%	22	1	0,0%	0,0%	2
2016	MP	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE	3250	20,3%	26,2%	990	17,2%	27,7%	970	17,3%	27,8%	960	67	17,9%	41,8%	90
2016	MP	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES	3397	20,8%	25,8%	883	17,8%	27,9%	866	17,8%	28,1%	848	104	20,2%	28,8%	135
2016	MP	BANQUE CENTRALE-SUPELEC	CENTRALE MARSEILLE	2790	21,0%	25,4%	1297	19,4%	24,5%	1140	19,8%	24,2%	978	82	25,6%	22,0%	80
2016	MP	BANQUE CENTRALE-SUPELEC	CENTRALE CASABLANCA	548	20,3%	30,3%	92	9,8%	39,1%	86	10,5%	39,5%	75	0	0,0%	0,0%	20
2016	MP	BANQUE CENTRALE-SUPELEC	ECOLE NAVALE Brest	546	17,0%	31,0%	206	16,0%	42,2%	98	9,2%	49,0%	52	26	3,8%	50,0%	26
2016	MP	BANQUE CENTRALE-SUPELEC	ENSEA Cergy	1496	21,2%	24,6%	1147	21,6%	22,7%	399	24,6%	17,0%	370	61	16,4%	24,6%	60
2016	MP	BANQUE CENTRALE-SUPELEC	Universit̩ de Technologie de Troyes (UTT)	787	21,6%	23,6%	597	22,9%	22,4%	164	26,8%	14,6%	163	9	22,2%	0,0%	40
2016	MP	BANQUE CENTRALE-SUPELEC	CENTRALE PARIS - CI										30	19	26,3%	10,5%	15
2016	MP	BANQUE CENTRALE-SUPELEC	SUPELEC - CI										45	5	20,0%	20,0%	5
2016	MP	BANQUE CENTRALE-SUPELEC	CENTRALE LYON - CI										55	8	12,5%	87,5%	8
2016	MP	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE - CI										57	3	0,0%	0,0%	3
2016	MP	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES - CI										52	0	0,0%	0,0%	5
2016	MP	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique) - CI										0	0	0,0%	0,0%	3
2016	MP	BANQUE CENTRALE-SUPELEC	CENTRALE MARSEILLE - CI										63	1	100,0%	0,0%	2
2016	MP	BANQUE CENTRALE-SUPELEC	Cycle International Centrale-Supelec	739	28,7%	15,7%	228	19,3%	16,2%	203	20,7%	17,7%		36			41
2016	MP	BANQUE CENTRALE-SUPELEC	CENTRALE CASABLANCA - CI	739	28,7%	15,7%	228	19,3%	16,2%	204	20,6%	17,6%	184	33	18,2%	27,3%	50
2016	MP	CONCOURS COMMUN MINES-PONTS	MINES ParisTech										220	48	18,8%	16,7%	48
2016	MP	CONCOURS COMMUN MINES-PONTS	MINES de NANCY										1259	47	4,3%	42,6%	54
2016	MP	CONCOURS COMMUN MINES-PONTS	MINES de SAINT-ETIENNE										1332	35	17,1%	25,7%	40
2016	MP	CONCOURS COMMUN MINES-PONTS	PONTS ParisTech										511	67	17,9%	22,4%	63
2016	MP	CONCOURS COMMUN MINES-PONTS	ISAE - SUPAERO Toulouse										789	70	15,7%	12,9%	69
2016	MP	CONCOURS COMMUN MINES-PONTS	ENSTA ParisTech										811	49	34,7%	6,1%	56
2016	MP	CONCOURS COMMUN MINES-PONTS	TELECOM ParisTech cursus Paris										917	55	10,9%	36,4%	59
2016	MP	CONCOURS COMMUN MINES-PONTS	TELECOM ParisTech cursus Sophia										1007	24	16,7%	16,7%	23
2016	MP	CONCOURS COMMUN MINES-PONTS	TELECOM BRETAGNE cursus Brest-Rennes-Toulouse										1699	79	15,2%	22,8%	55
2016	MP	CONCOURS COMMUN MINES-PONTS	TELECOM BRETAGNE cursus Sophia										1247	3	33,3%	33,3%	3
2016	MP	CONCOURS COMMUN MINES-PONTS	ENSAE ParisTech										1051	47	10,6%	34,0%	45
2016	MP	CONCOURS COMMUN MINES-PONTS	Concours Commun Mines Ponts MP	5508	20,5%	22,4%	1782	13,4%	24,7%	1706	13,5%	24,9%		524			515
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	ENSMM Besan̤on										3334	44	22,7%	25,0%	43
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	Bordeaux INP - ENSEIRB-MATMECA Electronique										2954	31	16,1%	29,0%	35
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	Bordeaux INP - ENSEIRB-MATMECA Informatique										2508	50	24,0%	16,0%	52
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	Bordeaux INP - ENSEIRB-MATMECA Math̩matiques et M̩canique										2345	27	11,1%	25,9%	33
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	Bordeaux INP - ENSEIRB-MATMECA T̩lecom.										2855	28	25,0%	17,9%	28
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	ENSICAEN Electronique et Physique Appliqu̩e										3478	14	21,4%	42,9%	20
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	ENSICAEN Informatique										3295	25	20,0%	32,0%	30
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	EISTI Cergy - Pau										3800	43	20,9%	34,9%	40
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	ISIMA Clermont-Ferrand										3750	43	18,6%	11,6%	40
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	Grenoble INP - ENSE3										2097	47	23,4%	36,2%	70
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	Grenoble INP - ENSIMAG										1068	116	15,5%	35,3%	120
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	Grenoble INP - Esisar										2844	18	22,2%	27,8%	11
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	Grenoble INP - Pagora										3599	10	50,0%	30,0%	10
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	Grenoble INP - Phelma (Physique Electronique T̩l̩coms)										1594	53	26,4%	34,0%	58
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	Grenoble INP - Phelma (Physique Mat̩riaux Proc̩d̩s)										1190	31	35,5%	29,0%	38
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	CPE LYON Electronique Informatique										3788	18	5,6%	27,8%	12
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	ENSEM Nancy Energie										3453	30	33,3%	30,0%	35
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	ENSEM Nancy Sp̩cialit̩ des syst̬mes num̩riques										3284	12	16,7%	0,0%	9
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	ENSG Nancy										2893	4	25,0%	0,0%	5
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	ENSIC Nancy										3396	4	75,0%	25,0%	5
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	Chimie ParisTech										847	2	50,0%	0,0%	3
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	SUPMECA Paris										2823	40	27,5%	17,5%	44
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	ENSGTI Pau - Energ̩tique										3754	11	36,4%	36,4%	10
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	ENSI Poitiers Eau et Genie Civil										3599	4	25,0%	25,0%	6
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	ENSI Poitiers Energie										3561	14	21,4%	35,7%	17
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	ISAE-ENSMA Poitiers										1956	60	16,7%	36,7%	55
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	ENGEES Strasbourg Civil (̩tudiant)										3573	10	20,0%	20,0%	9
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	ENGEES Strasbourg Civil (apprenti)										3615	2	50,0%	0,0%	1
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	ENGEES Strasbourg Fonctionnaire										3226	3	33,3%	33,3%	3
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	TELECOM PHYSIQUE Strasbourg										3087	20	35,0%	15,0%	31
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	SeaTech Toulon										3383	22	18,2%	31,8%	18
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	INP-ENSEEIHT Toulouse Electronique et Traitement du Signal										2378	15	13,3%	33,3%	16
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	INP-ENSEEIHT Toulouse G̩nie Electrique et Automatique										1990	15	26,7%	26,7%	15
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	INP-ENSEEIHT Toulouse Hydraulique et M̩canique des Fluides										1607	17	11,8%	5,9%	19
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	INP-ENSEEIHT Toulouse Informatique et Math̩matiques appliqu̩es										1757	55	16,4%	29,1%	58
2016	MP	CONCOURS COMMUNS POLYTECHNIQUES	INP-ENSEEIHT Toulouse T̩l̩com.r̩seaux										2250	25	24,0%	48,0%	27
