year	filiere	banque	ehcole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	integres_places
2019	pc	CONCOURS COMMUN MINES-PONTS	ENSTA ParisTech-apprentissage										1	0.0	0.0	565	565	2
2019	pc	CONCOURS COMMUN MINES-PONTS	IMT Atlantique cursus Brest-Nantes-Rennes-Toulouse										72	23.6	33.3	1040	976	67
2019	pc	CONCOURS COMMUN MINES-PONTS	IMT Atlantique cursus Sophia Antipolis										4	75.0	50.0	984	787	3
2019	pc	CONCOURS COMMUN MINES-PONTS	ISAE-SUPAERO Toulouse										36	36.1	33.3	333	322	35
2019	pc	CONCOURS COMMUN MINES-PONTS	MINES de NANCY										37	35.1	27.0	722	708	42
2019	pc	CONCOURS COMMUN MINES-PONTS	MINES SAINT-ETIENNE										37	29.7	32.4	848	844	41
2019	pc	CONCOURS COMMUN MINES-PONTS	MINES ParisTech										24	33.3	12.5	64	62	24
2019	pc	CONCOURS COMMUN MINES-PONTS	PONTS ParisTech										40	32.5	10.0	286	268	38
2019	pc	CONCOURS COMMUN MINES-PONTS	TELECOM ParisTech cursus Paris										22	40.9	18.2	488	457	23
2019	pc	CONCOURS COMMUN MINES-PONTS	TELECOM ParisTech cursus Sophia										8	12.5	25.0	599	587	8
2019	pc	CONCOURS COMMUN MINES-PONTS	Chimie ParisTech										64	57.8	18.8	754	675	65
2019	pc	CONCOURS COMMUN MINES-PONTS	¥Concours CCMP PC	3637	33.2	22.2	1232	27.8	24.1	1206	27.9	24.5	392					391
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Bordeaux INP-ENSC Cognitique										4	0.0	50.0	1750	1723	4
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Bordeaux INP-ENSEIRB-MATMECA Electronique										16	6.2	18.8	2046	1990	13
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Bordeaux INP-ENSEIRB-MATMECA Informatique										7	0.0	28.6	1450	1417	5
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Bordeaux INP-ENSEIRB-MATMECA Mathématiques et Mécanique										9	11.1	55.6	1688	1655	6
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Bordeaux INP-ENSEIRB-MATMECA Télecom.										12	25.0	33.3	2236	2136	8
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	CPE LYON Sciences du numérique										18	27.8	27.8	2958	2835	8
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	EISTI Cergy-Pau										26	15.4	42.3	2855	2692	15
