year_of_source,year,prepa,inscrits,admissibles,classes,propositions,entres,places
2012,2003,PC,5083,4890,4504,4171,3253,3684
2012,2003,PSI,4095,3847,3558,3382,2824,3471
2012,2003,PT,2105,1968,1870,1772,1563,1849
2012,2003,TSI,703,577,464,393,316,380
2012,2003,BCPST,1703,1480,1372,1305,1150,1189
2012,2002,MP,7021,6164,5606,4984,3904,4555
2012,2002,PC,5106,4762,4446,4089,3140,3752
2012,2002,PSI,4080,3880,3662,3371,2761,3390
2012,2002,PT,2117,1999,1902,1698,1516,1840
2012,2002,TSI,722,578,473,391,319,369
2012,2002,BCPST,1589,1413,1319,1276,1164,1200
2012,2001,MP,6617,6006,5403,4595,3803,4534
2012,2001,PC,4966,4667,4364,3740,3064,3756
2012,2001,PSI,3986,3708,3456,3055,2640,3305
2012,2001,PT,2031,1924,1834,1651,1474,1795
2012,2001,TSI,667,568,472,367,299,335
2012,2000,MP,6742,5942,5457,4934,3985,4408
2012,2000,PC,5319,4941,4592,4201,3275,3601
2012,2000,PSI,4108,3710,3508,3248,2695,3089
2012,2000,PT,2120,1745,1676,1551,1368,1635
2012,2000,TSI,674,518,425,362,296,304
2012,1999,MP,7188,5777,5190,4325,3369,3882
2012,1999,PC,5633,4804,4343,3702,3021,3306
2012,1999,PSI,4153,3425,3158,2821,2355,2750
2012,1999,PT,2244,1715,1638,1566,1306,1474
2012,1999,TSI,672,415,327,283,218,262
2013,2013,MP,8216,6962,6042,5686,4285,4876
2013,2013,PC,5351,4987,4592,4346,3307,3831
2013,2013,PSI,5386,4866,4418,4229,3411,3869
2013,2013,PT,2485,2298,2110,1973,1630,1929
2013,2013,TSI,853,738,589,537,455,549
2013,2013,BCPST,3102,2517,2357,2266,1807,1857
2013,2013,Inter-Filière,,,,,353,368
2013,2012,MP,8130,6794,5836,5465,4176,4874
2013,2012,PC,5390,5001,4632,4378,3336,3798
2013,2012,PSI,5378,4827,4386,4190,3315,3785
2013,2012,PT,2511,2282,2078,1914,1568,1909
2013,2012,TSI,861,734,577,518,432,543
2013,2012,BCPST,2996,2440,2290,2182,1705,1797
2013,2012,Inter-Filière,,,,,270,342
2013,2011,MP,8343,6965,5910,5610,4260,4825
2013,2011,PC,5387,4969,4528,4294,3246,3704
2013,2011,PSI,5414,4822,4327,4162,3244,3727
2013,2011,PT,2481,2237,2007,1887,1536,1883
2013,2011,TSI,855,710,583,513,425,508
2013,2011,BCPST,3010,2402,2266,2165,1724,1782
2013,2011,Inter-Filière,,,,,324,364
2013,2010,MP,8171,6920,5877,5599,4196,4669
2013,2010,PC,5360,4924,4478,4272,3181,3638
2013,2010,PSI,5329,4678,4238,4086,3179,3589
2013,2010,PT,2522,2276,2099,1975,1587,1829
2013,2010,TSI,779,690,571,517,423,484
2013,2010,BCPST,2988,2534,2235,2133,1685,1754
2013,2010,Inter-Filière,,,,,407,425
2013,2009,MP,7741,6662,5724,5423,4091,4624
2013,2009,PC,5295,4913,4440,4246,3215,3551
2013,2009,PSI,5013,4587,4121,3969,3092,3443
2013,2009,PT,2385,2180,1999,1868,1539,1740
2013,2009,TSI,752,676,543,486,398,456
2013,2009,BCPST,2799,2246,2160,2066,1677,1738
2013,2009,Inter-Filière,,,,,366,396
2013,2008,MP,7764,6590,5593,5357,4239,4596
2013,2008,PC,5242,4839,4425,4267,3387,3554
2013,2008,PSI,4962,4517,4049,3881,3171,3450
2013,2008,PT,2293,2086,1919,1813,1466,1720
2013,2008,TSI,728,652,503,471,403,442
2013,2008,BCPST,2758,2217,2124,2036,1640,1710
2013,2007,MP,7554,6417,5660,5384,4185,4576
2013,2007,PC,5197,4753,4368,4186,3223,3523
2013,2007,PSI,4911,4413,4071,3869,3130,3422
2013,2007,PT,2255,2044,1913,1805,1489,1731
2013,2007,TSI,699,627,514,478,399,442
2013,2007,BCPST,2783,2248,2117,2051,1670,1694
2013,2006,MP,7493,6423,5665,5318,4164,4515
2013,2006,PC,5189,4705,4339,4098,3195,3556
2013,2006,PSI,4938,4420,4068,3820,3068,3367
2013,2006,PT,2244,2035,1923,1800,1507,1810
2013,2006,TSI,724,629,521,460,368,422
2013,2006,BCPST,2694,2186,2036,1964,1604,1669
2013,2005,MP,7257,6271,5555,5198,4114,4537
2013,2005,PC,5153,4663,4325,4064,3110,3620
2013,2005,PSI,4713,4222,3915,3653,2998,3317
2013,2005,PT,2160,1943,1812,1690,1432,1867
2013,2005,TSI,670,558,458,407,342,406
2013,2005,BCPST,2412,1883,1755,1655,1348,1422
2013,2004,MP,7073,6105,5437,5045,3962,4576
2013,2004,PC,5090,4773,4454,4173,3237,3719
2013,2004,PSI,4313,3964,3673,3474,2841,3283
2013,2004,PT,2131,1979,1866,1755,1491,1817
2013,2004,TSI,713,567,467,412,339,377
2013,2004,BCPST,1768,1495,1388,1337,1150,1211
2013,2003,MP,6989,6197,5529,5066,3953,4511
2013,2003,PC,5083,4890,4504,4171,3253,3684
2013,2003,PSI,4095,3847,3558,3382,2824,3471
2013,2003,PT,2105,1968,1870,1772,1563,1849
2013,2003,TSI,703,577,464,393,316,380
2013,2003,BCPST,1703,1480,1372,1305,1150,1189
2013,2002,MP,7021,6164,5606,4984,3904,4555
2013,2002,PC,5106,4762,4446,4089,3140,3752
2013,2002,PSI,4080,3880,3662,3371,2761,3390
2013,2002,PT,2117,1999,1902,1698,1516,1840
2013,2002,TSI,722,578,473,391,319,369
2013,2002,BCPST,1589,1413,1319,1276,1164,1200
2013,2001,MP,6617,6006,5403,4595,3803,4534
2013,2001,PC,4966,4667,4364,3740,3064,3756
2013,2001,PSI,3986,3708,3456,3055,2640,3305
2013,2001,PT,2031,1924,1834,1651,1474,1795
2013,2001,TSI,667,568,472,367,299,335
2013,2000,MP,6742,5942,5457,4934,3985,4408
2013,2000,PC,5319,4941,4592,4201,3275,3601
2013,2000,PSI,4108,3710,3508,3248,2695,3089
2013,2000,PT,2120,1745,1676,1551,1368,1635
2013,2000,TSI,674,518,425,362,296,304
2013,1999,MP,7188,5777,5190,4325,3369,3882
2013,1999,PC,5633,4804,4343,3702,3021,3306
2013,1999,PSI,4153,3425,3158,2821,2355,2750
2013,1999,PT,2244,1715,1638,1566,1306,1474
2013,1999,TSI,672,415,327,283,218,262
2014,2014,MP,8497,7223,6228,5801,4496,4851
2014,2014,PC,5516,5123,4734,4445,3518,3805
2014,2014,PSI,5471,4995,4539,4316,3541,3845
2014,2014,PT,2453,2235,2029,1933,1622,1946
2014,2014,TSI,951,792,633,559,476,523
2014,2014,BCPST,3072,2489,2315,2212,1879,1895
2014,2014,Inter-Filière,,,,,349,368
2014,2013,MP,8216,6962,6042,5686,4285,4876
2014,2013,PC,5351,4987,4592,4346,3307,3831
2014,2013,PSI,5386,4866,4418,4229,3411,3869
2014,2013,PT,2485,2298,2110,1973,1630,1929
2014,2013,TSI,853,738,589,537,455,549
2014,2013,BCPST,3102,2517,2357,2266,1807,1857
2014,2013,Inter-Filière,,,,,353,368
2014,2012,MP,8130,6794,5836,5465,4176,4874
2014,2012,PC,5390,5001,4632,4378,3336,3798
2014,2012,PSI,5378,4827,4386,4190,3315,3785
2014,2012,PT,2511,2282,2078,1914,1568,1909
2014,2012,TSI,861,734,577,518,432,543
2014,2012,BCPST,2996,2440,2290,2182,1705,1797
2014,2012,Inter-Filière,,,,,270,342
2014,2011,MP,8343,6965,5910,5610,4260,4825
2014,2011,PC,5387,4969,4528,4294,3246,3704
2014,2011,PSI,5414,4822,4327,4162,3244,3727
2014,2011,PT,2481,2237,2007,1887,1536,1883
2014,2011,TSI,855,710,583,513,425,508
2014,2011,BCPST,3010,2402,2266,2165,1724,1782
2014,2011,Inter-Filière,,,,,324,364
2014,2010,MP,8171,6920,5877,5599,4196,4669
2014,2010,PC,5360,4924,4478,4272,3181,3638
2014,2010,PSI,5329,4678,4238,4086,3179,3589
2014,2010,PT,2522,2276,2099,1975,1587,1829
2014,2010,TSI,779,690,571,517,423,484
2014,2010,BCPST,2988,2534,2235,2133,1685,1754
2014,2010,Inter-Filière,,,,,407,425
2014,2009,MP,7741,6662,5724,5423,4091,4624
2014,2009,PC,5295,4913,4440,4246,3215,3551
2014,2009,PSI,5013,4587,4121,3969,3092,3443
2014,2009,PT,2385,2180,1999,1868,1539,1740
2014,2009,TSI,752,676,543,486,398,456
2014,2009,BCPST,2799,2246,2160,2066,1677,1738
2014,2009,Inter-Filière,,,,,366,396
2014,2008,MP,7764,6590,5593,5357,4239,4596
2014,2008,PC,5242,4839,4425,4267,3387,3554
2014,2008,PSI,4962,4517,4049,3881,3171,3450
2014,2008,PT,2293,2086,1919,1813,1466,1720
2014,2008,TSI,728,652,503,471,403,442
2014,2008,BCPST,2758,2217,2124,2036,1640,1710
2014,2007,MP,7554,6417,5660,5384,4185,4576
2014,2007,PC,5197,4753,4368,4186,3223,3523
2014,2007,PSI,4911,4413,4071,3869,3130,3422
2014,2007,PT,2255,2044,1913,1805,1489,1731
2014,2007,TSI,699,627,514,478,399,442
2014,2007,BCPST,2783,2248,2117,2051,1670,1694
2014,2006,MP,7493,6423,5665,5318,4164,4515
2014,2006,PC,5189,4705,4339,4098,3195,3556
2014,2006,PSI,4938,4420,4068,3820,3068,3367
2014,2006,PT,2244,2035,1923,1800,1507,1810
2014,2006,TSI,724,629,521,460,368,422
2014,2006,BCPST,2694,2186,2036,1964,1604,1669
2014,2005,MP,7257,6271,5555,5198,4114,4537
2014,2005,PC,5153,4663,4325,4064,3110,3620
2014,2005,PSI,4713,4222,3915,3653,2998,3317
2014,2005,PT,2160,1943,1812,1690,1432,1867
2014,2005,TSI,670,558,458,407,342,406
2014,2005,BCPST,2412,1883,1755,1655,1348,1422
2014,2004,MP,7073,6105,5437,5045,3962,4576
2014,2004,PC,5090,4773,4454,4173,3237,3719
2014,2004,PSI,4313,3964,3673,3474,2841,3283
2014,2004,PT,2131,1979,1866,1755,1491,1817
2014,2004,TSI,713,567,467,412,339,377
2014,2004,BCPST,1768,1495,1388,1337,1150,1211
2014,2003,MP,6989,6197,5529,5066,3953,4511
2014,2003,PC,5083,4890,4504,4171,3253,3684
2014,2003,PSI,4095,3847,3558,3382,2824,3471
2014,2003,PT,2105,1968,1870,1772,1563,1849
2014,2003,TSI,703,577,464,393,316,380
2014,2003,BCPST,1703,1480,1372,1305,1150,1189
2014,2002,MP,7021,6164,5606,4984,3904,4555
2014,2002,PC,5106,4762,4446,4089,3140,3752
2014,2002,PSI,4080,3880,3662,3371,2761,3390
2014,2002,PT,2117,1999,1902,1698,1516,1840
2014,2002,TSI,722,578,473,391,319,369
2014,2002,BCPST,1589,1413,1319,1276,1164,1200
2014,2001,MP,6617,6006,5403,4595,3803,4534
2014,2001,PC,4966,4667,4364,3740,3064,3756
2014,2001,PSI,3986,3708,3456,3055,2640,3305
2014,2001,PT,2031,1924,1834,1651,1474,1795
2014,2001,TSI,667,568,472,367,299,335
2014,2000,MP,6742,5942,5457,4934,3985,4408
2014,2000,PC,5319,4941,4592,4201,3275,3601
2014,2000,PSI,4108,3710,3508,3248,2695,3089
2014,2000,PT,2120,1745,1676,1551,1368,1635
2014,2000,TSI,674,518,425,362,296,304
2014,1999,MP,7188,5777,5190,4325,3369,3882
2014,1999,PC,5633,4804,4343,3702,3021,3306
2014,1999,PSI,4153,3425,3158,2821,2355,2750
2014,1999,PT,2244,1715,1638,1566,1306,1474
2014,1999,TSI,672,415,327,283,218,262
2015,2015,MP,8226,6968,5965,5594,4187,4613
2015,2015,PC,5020,4756,4449,4200,3141,3513
2015,2015,PSI,5398,4913,4510,4303,3371,3651
2015,2015,PT,2389,2199,2022,1890,1556,1949
2015,2015,TSI,965,812,664,590,474,546
2015,2015,BCPST,2837,2362,2228,2130,1712,1898
2015,2015,Inter-Filière,,,,,826,1211
2015,2014,MP,8497,7223,6228,5801,4496,4851
2015,2014,PC,5516,5123,4734,4445,3518,3805
2015,2014,PSI,5471,4995,4539,4316,3541,3845
2015,2014,PT,2453,2235,2029,1933,1622,1946
2015,2014,TSI,951,792,633,559,476,523
2015,2014,BCPST,3072,2489,2315,2212,1879,1895
2015,2014,Inter-Filière,,,,,349,368
2015,2013,MP,8216,6962,6042,5686,4285,4876
2015,2013,PC,5351,4987,4592,4346,3307,3831
2015,2013,PSI,5386,4866,4418,4229,3411,3869
2015,2013,PT,2485,2298,2110,1973,1630,1929
2015,2013,TSI,853,738,589,537,455,549
2015,2013,BCPST,3102,2517,2357,2266,1807,1857
2015,2013,Inter-Filière,,,,,353,368
2015,2012,MP,8130,6794,5836,5465,4176,4874
2015,2012,PC,5390,5001,4632,4378,3336,3798
2015,2012,PSI,5378,4827,4386,4190,3315,3785
2015,2012,PT,2511,2282,2078,1914,1568,1909
2015,2012,TSI,861,734,577,518,432,543
2015,2012,BCPST,2996,2440,2290,2182,1705,1797
2015,2012,Inter-Filière,,,,,270,342
2015,2011,MP,8343,6965,5910,5610,4260,4825
2015,2011,PC,5387,4969,4528,4294,3246,3704
2015,2011,PSI,5414,4822,4327,4162,3244,3727
2015,2011,PT,2481,2237,2007,1887,1536,1883
2015,2011,TSI,855,710,583,513,425,508
2015,2011,BCPST,3010,2402,2266,2165,1724,1782
2015,2011,Inter-Filière,,,,,324,364
2015,2010,MP,8171,6920,5877,5599,4196,4669
2015,2010,PC,5360,4924,4478,4272,3181,3638
2015,2010,PSI,5329,4678,4238,4086,3179,3589
2015,2010,PT,2522,2276,2099,1975,1587,1829
2015,2010,TSI,779,690,571,517,423,484
2015,2010,BCPST,2988,2534,2235,2133,1685,1754
2015,2010,Inter-Filière,,,,,407,425
2015,2009,MP,7741,6662,5724,5423,4091,4624
2015,2009,PC,5295,4913,4440,4246,3215,3551
2015,2009,PSI,5013,4587,4121,3969,3092,3443
2015,2009,PT,2385,2180,1999,1868,1539,1740
2015,2009,TSI,752,676,543,486,398,456
2015,2009,BCPST,2799,2246,2160,2066,1677,1738
2015,2009,Inter-Filière,,,,,366,396
2015,2008,MP,7764,6590,5593,5357,4239,4596
2015,2008,PC,5242,4839,4425,4267,3387,3554
2015,2008,PSI,4962,4517,4049,3881,3171,3450
2015,2008,PT,2293,2086,1919,1813,1466,1720
2015,2008,TSI,728,652,503,471,403,442
2015,2008,BCPST,2758,2217,2124,2036,1640,1710
2015,2007,MP,7554,6417,5660,5384,4185,4576
2015,2007,PC,5197,4753,4368,4186,3223,3523
2015,2007,PSI,4911,4413,4071,3869,3130,3422
2015,2007,PT,2255,2044,1913,1805,1489,1731
2015,2007,TSI,699,627,514,478,399,442
2015,2007,BCPST,2783,2248,2117,2051,1670,1694
2015,2006,MP,7493,6423,5665,5318,4164,4515
2015,2006,PC,5189,4705,4339,4098,3195,3556
2015,2006,PSI,4938,4420,4068,3820,3068,3367
2015,2006,PT,2244,2035,1923,1800,1507,1810
2015,2006,TSI,724,629,521,460,368,422
2015,2006,BCPST,2694,2186,2036,1964,1604,1669
2015,2005,MP,7257,6271,5555,5198,4114,4537
2015,2005,PC,5153,4663,4325,4064,3110,3620
2015,2005,PSI,4713,4222,3915,3653,2998,3317
2015,2005,PT,2160,1943,1812,1690,1432,1867
2015,2005,TSI,670,558,458,407,342,406
2015,2005,BCPST,2412,1883,1755,1655,1348,1422
2015,2004,MP,7073,6105,5437,5045,3962,4576
2015,2004,PC,5090,4773,4454,4173,3237,3719
2015,2004,PSI,4313,3964,3673,3474,2841,3283
2015,2004,PT,2131,1979,1866,1755,1491,1817
2015,2004,TSI,713,567,467,412,339,377
2015,2004,BCPST,1768,1495,1388,1337,1150,1211
2015,2003,MP,6989,6197,5529,5066,3953,4511
2015,2003,PC,5083,4890,4504,4171,3253,3684
2015,2003,PSI,4095,3847,3558,3382,2824,3471
2015,2003,PT,2105,1968,1870,1772,1563,1849
2015,2003,TSI,703,577,464,393,316,380
2015,2003,BCPST,1703,1480,1372,1305,1150,1189
2015,2002,MP,7021,6164,5606,4984,3904,4555
2015,2002,PC,5106,4762,4446,4089,3140,3752
2015,2002,PSI,4080,3880,3662,3371,2761,3390
2015,2002,PT,2117,1999,1902,1698,1516,1840
2015,2002,TSI,722,578,473,391,319,369
2015,2002,BCPST,1589,1413,1319,1276,1164,1200
2015,2001,MP,6617,6006,5403,4595,3803,4534
2015,2001,PC,4966,4667,4364,3740,3064,3756
2015,2001,PSI,3986,3708,3456,3055,2640,3305
2015,2001,PT,2031,1924,1834,1651,1474,1795
2015,2001,TSI,667,568,472,367,299,335
2015,2000,MP,6742,5942,5457,4934,3985,4408
2015,2000,PC,5319,4941,4592,4201,3275,3601
2015,2000,PSI,4108,3710,3508,3248,2695,3089
2015,2000,PT,2120,1745,1676,1551,1368,1635
2015,2000,TSI,674,518,425,362,296,304
2015,1999,MP,7188,5777,5190,4325,3369,3882
2015,1999,PC,5633,4804,4343,3702,3021,3306
2015,1999,PSI,4153,3425,3158,2821,2355,2750
2015,1999,PT,2244,1715,1638,1566,1306,1474
2015,1999,TSI,672,415,327,283,218,262
2016,2016,MP,8088,6889,6019,5686,4278,4771
2016,2016,PC,5234,4942,4621,4368,3268,3572
2016,2016,PSI,5773,5223,4770,4548,3508,3730
2016,2016,PT,2556,2365,2162,2035,1667,2010
2016,2016,TSI,1142,933,807,700,543,578
2016,2016,BCPST,3160,2541,2424,2301,1827,1945
2016,2016,Inter-Filière,,,,,979,1152
2016,2015,MP,8226,6968,5965,5594,4187,4613
2016,2015,PC,5020,4756,4449,4200,3141,3513
2016,2015,PSI,5398,4913,4510,4303,3371,3651
2016,2015,PT,2389,2199,2022,1890,1556,1949
2016,2015,TSI,965,812,664,590,474,546
2016,2015,BCPST,2837,2362,2228,2130,1712,1898
2016,2015,Inter-Filière,,,,,826,1211
2016,2014,MP,8497,7223,6228,5801,4496,4851
2016,2014,PC,5516,5123,4734,4445,3518,3805
2016,2014,PSI,5471,4995,4539,4316,3541,3845
2016,2014,PT,2453,2235,2029,1933,1622,1946
2016,2014,TSI,951,792,633,559,476,523
2016,2014,BCPST,3072,2489,2315,2212,1879,1895
2016,2014,Inter-Filière,,,,,349,368
2016,2013,MP,8216,6962,6042,5686,4285,4876
2016,2013,PC,5351,4987,4592,4346,3307,3831
2016,2013,PSI,5386,4866,4418,4229,3411,3869
2016,2013,PT,2485,2298,2110,1973,1630,1929
2016,2013,TSI,853,738,589,537,455,549
2016,2013,BCPST,3102,2517,2357,2266,1807,1857
2016,2013,Inter-Filière,,,,,353,368
2016,2012,MP,8130,6794,5836,5465,4176,4874
2016,2012,PC,5390,5001,4632,4378,3336,3798
2016,2012,PSI,5378,4827,4386,4190,3315,3785
2016,2012,PT,2511,2282,2078,1914,1568,1909
2016,2012,TSI,861,734,577,518,432,543
2016,2012,BCPST,2996,2440,2290,2182,1705,1797
2016,2012,Inter-Filière,,,,,270,342
2016,2011,MP,8343,6965,5910,5610,4260,4825
2016,2011,PC,5387,4969,4528,4294,3246,3704
2016,2011,PSI,5414,4822,4327,4162,3244,3727
2016,2011,PT,2481,2237,2007,1887,1536,1883
2016,2011,TSI,855,710,583,513,425,508
2016,2011,BCPST,3010,2402,2266,2165,1724,1782
2016,2011,Inter-Filière,,,,,324,364
2016,2010,MP,8171,6920,5877,5599,4196,4669
2016,2010,PC,5360,4924,4478,4272,3181,3638
2016,2010,PSI,5329,4678,4238,4086,3179,3589
2016,2010,PT,2522,2276,2099,1975,1587,1829
2016,2010,TSI,779,690,571,517,423,484
2016,2010,BCPST,2988,2534,2235,2133,1685,1754
2016,2010,Inter-Filière,,,,,407,425
2016,2009,MP,7741,6662,5724,5423,4091,4624
2016,2009,PC,5295,4913,4440,4246,3215,3551
2016,2009,PSI,5013,4587,4121,3969,3092,3443
2016,2009,PT,2385,2180,1999,1868,1539,1740
2016,2009,TSI,752,676,543,486,398,456
2016,2009,BCPST,2799,2246,2160,2066,1677,1738
2016,2009,Inter-Filière,,,,,366,396
2016,2008,MP,7764,6590,5593,5357,4239,4596
2016,2008,PC,5242,4839,4425,4267,3387,3554
2016,2008,PSI,4962,4517,4049,3881,3171,3450
2016,2008,PT,2293,2086,1919,1813,1466,1720
2016,2008,TSI,728,652,503,471,403,442
2016,2008,BCPST,2758,2217,2124,2036,1640,1710
2016,2007,MP,7554,6417,5660,5384,4185,4576
2016,2007,PC,5197,4753,4368,4186,3223,3523
2016,2007,PSI,4911,4413,4071,3869,3130,3422
2016,2007,PT,2255,2044,1913,1805,1489,1731
2016,2007,TSI,699,627,514,478,399,442
2016,2007,BCPST,2783,2248,2117,2051,1670,1694
2016,2006,MP,7493,6423,5665,5318,4164,4515
2016,2006,PC,5189,4705,4339,4098,3195,3556
2016,2006,PSI,4938,4420,4068,3820,3068,3367
2016,2006,PT,2244,2035,1923,1800,1507,1810
2016,2006,TSI,724,629,521,460,368,422
2016,2006,BCPST,2694,2186,2036,1964,1604,1669
2016,2005,MP,7257,6271,5555,5198,4114,4537
2016,2005,PC,5153,4663,4325,4064,3110,3620
2016,2005,PSI,4713,4222,3915,3653,2998,3317
2016,2005,PT,2160,1943,1812,1690,1432,1867
2016,2005,TSI,670,558,458,407,342,406
2016,2005,BCPST,2412,1883,1755,1655,1348,1422
2016,2004,MP,7073,6105,5437,5045,3962,4576
2016,2004,PC,5090,4773,4454,4173,3237,3719
2016,2004,PSI,4313,3964,3673,3474,2841,3283
2016,2004,PT,2131,1979,1866,1755,1491,1817
2016,2004,TSI,713,567,467,412,339,377
2016,2004,BCPST,1768,1495,1388,1337,1150,1211
2016,2003,MP,6989,6197,5529,5066,3953,4511
2016,2003,PC,5083,4890,4504,4171,3253,3684
2016,2003,PSI,4095,3847,3558,3382,2824,3471
2016,2003,PT,2105,1968,1870,1772,1563,1849
2016,2003,TSI,703,577,464,393,316,380
2016,2003,BCPST,1703,1480,1372,1305,1150,1189
2016,2002,MP,7021,6164,5606,4984,3904,4555
2016,2002,PC,5106,4762,4446,4089,3140,3752
2016,2002,PSI,4080,3880,3662,3371,2761,3390
2016,2002,PT,2117,1999,1902,1698,1516,1840
2016,2002,TSI,722,578,473,391,319,369
2016,2002,BCPST,1589,1413,1319,1276,1164,1200
2016,2001,MP,6617,6006,5403,4595,3803,4534
2016,2001,PC,4966,4667,4364,3740,3064,3756
2016,2001,PSI,3986,3708,3456,3055,2640,3305
2016,2001,PT,2031,1924,1834,1651,1474,1795
2016,2001,TSI,667,568,472,367,299,335
2016,2000,MP,6742,5942,5457,4934,3985,4408
2016,2000,PC,5319,4941,4592,4201,3275,3601
2016,2000,PSI,4108,3710,3508,3248,2695,3089
2016,2000,PT,2120,1745,1676,1551,1368,1635
2016,2000,TSI,674,518,425,362,296,304
2016,1999,MP,7188,5777,5190,4325,3369,3882
2016,1999,PC,5633,4804,4343,3702,3021,3306
2016,1999,PSI,4153,3425,3158,2821,2355,2750
2016,1999,PT,2244,1715,1638,1566,1306,1474
2016,1999,TSI,672,415,327,283,218,262
2017,2017,MP,8503,6973,6145,5757,4309,4789
2017,2017,PC,5271,4927,4567,4344,3186,3587
2017,2017,PSI,6039,5197,4763,4560,3498,3831
2017,2017,PT,2635,2449,2233,2109,1727,2012
2017,2017,TSI,1347,1099,868,737,587,603
2017,2017,BCPST,3141,2561,2416,2281,1799,1899
2017,2017,Inter-Filière,,,,,977,1128
2017,2016,MP,8088,6889,6019,5686,4278,4771
2017,2016,PC,5234,4942,4621,4368,3268,3572
2017,2016,PSI,5773,5223,4770,4548,3508,3730
2017,2016,PT,2556,2365,2162,2035,1667,2010
2017,2016,TSI,1142,933,807,700,543,578
2017,2016,BCPST,3160,2541,2424,2301,1827,1945
2017,2016,Inter-Filière,,,,,979,1152
2017,2015,MP,8226,6968,5965,5594,4187,4613
2017,2015,PC,5020,4756,4449,4200,3141,3513
2017,2015,PSI,5398,4913,4510,4303,3371,3651
2017,2015,PT,2389,2199,2022,1890,1556,1949
2017,2015,TSI,965,812,664,590,474,546
2017,2015,BCPST,2837,2362,2228,2130,1712,1898
2017,2015,Inter-Filière,,,,,826,1211
2017,2014,MP,8497,7223,6228,5801,4496,4851
2017,2014,PC,5516,5123,4734,4445,3518,3805
2017,2014,PSI,5471,4995,4539,4316,3541,3845
2017,2014,PT,2453,2235,2029,1933,1622,1946
2017,2014,TSI,951,792,633,559,476,523
2017,2014,BCPST,3072,2489,2315,2212,1879,1895
2017,2014,Inter-Filière,,,,,349,368
2017,2013,MP,8216,6962,6042,5686,4285,4876
2017,2013,PC,5351,4987,4592,4346,3307,3831
2017,2013,PSI,5386,4866,4418,4229,3411,3869
2017,2013,PT,2485,2298,2110,1973,1630,1929
2017,2013,TSI,853,738,589,537,455,549
2017,2013,BCPST,3102,2517,2357,2266,1807,1857
2017,2013,Inter-Filière,,,,,353,368
2017,2012,MP,8130,6794,5836,5465,4176,4874
2017,2012,PC,5390,5001,4632,4378,3336,3798
2017,2012,PSI,5378,4827,4386,4190,3315,3785
2017,2012,PT,2511,2282,2078,1914,1568,1909
2017,2012,TSI,861,734,577,518,432,543
2017,2012,BCPST,2996,2440,2290,2182,1705,1797
2017,2012,Inter-Filière,,,,,270,342
2017,2011,MP,8343,6965,5910,5610,4260,4825
2017,2011,PC,5387,4969,4528,4294,3246,3704
2017,2011,PSI,5414,4822,4327,4162,3244,3727
2017,2011,PT,2481,2237,2007,1887,1536,1883
2017,2011,TSI,855,710,583,513,425,508
2017,2011,BCPST,3010,2402,2266,2165,1724,1782
2017,2011,Inter-Filière,,,,,324,364
2017,2010,MP,8171,6920,5877,5599,4196,4669
2017,2010,PC,5360,4924,4478,4272,3181,3638
2017,2010,PSI,5329,4678,4238,4086,3179,3589
2017,2010,PT,2522,2276,2099,1975,1587,1829
2017,2010,TSI,779,690,571,517,423,484
2017,2010,BCPST,2988,2534,2235,2133,1685,1754
2017,2010,Inter-Filière,,,,,407,425
2017,2009,MP,7741,6662,5724,5423,4091,4624
2017,2009,PC,5295,4913,4440,4246,3215,3551
2017,2009,PSI,5013,4587,4121,3969,3092,3443
2017,2009,PT,2385,2180,1999,1868,1539,1740
2017,2009,TSI,752,676,543,486,398,456
2017,2009,BCPST,2799,2246,2160,2066,1677,1738
2017,2009,Inter-Filière,,,,,366,396
2017,2008,MP,7764,6590,5593,5357,4239,4596
2017,2008,PC,5242,4839,4425,4267,3387,3554
2017,2008,PSI,4962,4517,4049,3881,3171,3450
2017,2008,PT,2293,2086,1919,1813,1466,1720
2017,2008,TSI,728,652,503,471,403,442
2017,2008,BCPST,2758,2217,2124,2036,1640,1710
2017,2007,MP,7554,6417,5660,5384,4185,4576
2017,2007,PC,5197,4753,4368,4186,3223,3523
2017,2007,PSI,4911,4413,4071,3869,3130,3422
2017,2007,PT,2255,2044,1913,1805,1489,1731
2017,2007,TSI,699,627,514,478,399,442
2017,2007,BCPST,2783,2248,2117,2051,1670,1694
2017,2006,MP,7493,6423,5665,5318,4164,4515
2017,2006,PC,5189,4705,4339,4098,3195,3556
2017,2006,PSI,4938,4420,4068,3820,3068,3367
2017,2006,PT,2244,2035,1923,1800,1507,1810
2017,2006,TSI,724,629,521,460,368,422
2017,2006,BCPST,2694,2186,2036,1964,1604,1669
2017,2005,MP,7257,6271,5555,5198,4114,4537
2017,2005,PC,5153,4663,4325,4064,3110,3620
2017,2005,PSI,4713,4222,3915,3653,2998,3317
2017,2005,PT,2160,1943,1812,1690,1432,1867
2017,2005,TSI,670,558,458,407,342,406
2017,2005,BCPST,2412,1883,1755,1655,1348,1422
2017,2004,MP,7073,6105,5437,5045,3962,4576
2017,2004,PC,5090,4773,4454,4173,3237,3719
2017,2004,PSI,4313,3964,3673,3474,2841,3283
2017,2004,PT,2131,1979,1866,1755,1491,1817
2017,2004,TSI,713,567,467,412,339,377
2017,2004,BCPST,1768,1495,1388,1337,1150,1211
2017,2003,MP,6989,6197,5529,5066,3953,4511
