year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	appeles	integres_nb	integres_filles	integres_cinq_demi	places
2002	BCP	BIO A	INA P-G Paris										287	180	64	14	178
2002	BCP	BIO A	ENSAM Montpellier										440	91	60	25	90
2002	BCP	BIO A	ENSAR Rennes										553	95	61	20	92
2002	BCP	BIO A	ENSAT Toulouse										687	80	54	21	80
2002	BCP	BIO A	ENSAIA Nancy										1020	87	68	24	85
2002	BCP	BIO A	ENSHAP Angers										873	39	69	26	38
2002	BCP	BIO A	ENSIA Massy										888	49	82	35	46
2002	BCP	BIO A	ENSBANA Dijon										1184	37	76	27	39
2002	BCP	BIO A	FIF Fonct. Nancy										220	13	46	15	13
2002	BCP	BIO A	FIF Civil Nancy										494	17	65	41	16
2002	BCP	BIO A	ENITAB Bordeaux										922	54	61	30	54
2002	BCP	BIO A	ENITAC Clermont Ferr										1184	41	56	22	42
2002	BCP	BIO A	ENITIAA Nantes										1184	54	65	24	56
2002	BCP	BIO A	ENESAD Dijon										1184	31	58	23	33
2002	BCP	BIO A	BIO A	1663	60 %	19 %	1253	62 %	22 %	1184	62 %	22 %					862
2002	BCP	PC BIO	ENSC Lille										206	5	60	40	5
2002	BCP	PC BIO	ENSC Montpellier										165	4	100	0	4
2002	BCP	PC BIO	ENSC Paris										146	3	67	67	3
2002	BCP	PC BIO	ESPCI										138	6	33	33	4
2002	BCP	PC BIO	PC BIO A	477	57 %	26 %	313	59 %	31 %	259	59 %	32 %					16
2002	BCP	ENS	ENS Ulm							29	69 %	3 %	25	24	67	4	24
2002	BCP	ENS	ENS Ulm ertanger							2	100 %	0 %	14	2	100	0	2
2002	BCP	ENS	ENS Lyon							83	52 %	14 %	71	30	50	27	30
2002	BCP	ENS	ENS Lyon etranger							2	100 %	0 %	0	0	0	0	0
2002	BCP	ENS	ENS Cachan							110	53 %	21 %	82	18	72	44	18
2002	BCP	ENS	ENS Cachan etranger							1	100 %	0 %	0	0	0	0	0
2002	BCP	G2E	ENGEES Fonctionnaire Strasbourg										162	8	38	0	8
2002	BCP	G2E	ENGEES Civil Strasbourg										278	17	59	29	17
2002	BCP	G2E	ENGEES Stra.	955	56 %	24 %	686	55 %	26 %	383	54 %	31 %					25
2002	BCP	G2E	ENSG Nancy	955	56 %	24 %	686	55 %	26 %	438	52 %	32 %	277	69	45	29	64
2002	BCP	G2E	ESEM Orleans	955	56 %	24 %	686	55 %	26 %	486	52 %	30 %	484	23	22	35	25
2002	BCP	G2E	ESIP GEOL	955	56 %	24 %	686	55 %	26 %	362	52 %	30 %	362	2	50	100	3
2002	BCP	G2E	IST Paris6 GG	955	56 %	24 %	686	55 %	26 %	368	54 %	30 %	368	0	0	0	3
2002	BCP	G2E	ENTPE Fonc	614	54 %	28 %	433	53 %	31 %	292	52 %	37 %	87	9	78	44	9
2002	BCP	ARCH BIO	ENSTIB Epinal	325	50 %	32 %	310	51 %	34 %	62	37 %	32 %	30	10	50	30	10
2002	BCP	ARCH BIO	ESIP Poitiers	404	56 %	28 %	219	57 %	35 %	24	50 %	46 %	15	2	50	50	2
2002	BCP	ARCH BIO	ESMISAB Brest	585	68 %	24 %	431	69 %	29 %	90	73 %	39 %	90	9	44	44	12
2002	BCP	ARCH BIO	ESTBB Bordeaux	702	64 %	25 %	505	66 %	31 %	199	72 %	38 %	80	16	81	19	16
2002	BCP	ARCH BIO	IST Paris6 IC	368	60 %	29 %	131	61 %	47 %	34	76 %	65 %	34	0	0	0	3
2002	BCP	ARCH BIO	ISTAB Bordeaux	536	65 %	24 %	365	68 %	32 %	104	70 %	43 %	104	11	64	73	20
2002	BCP	ARCH GEOL	ENSIL Limoges EE	333	57 %	26 %	202	58 %	32 %	47	51 %	30 %	26	7	29	0	6
2002	BCP	EIFFEL	CUST Genie Biol.										92	6	83	0	7
2002	BCP	EIFFEL	EUDIL Sc Materiaux										174	0	0	0	2
2002	BCP	EIFFEL	IAAL Lille										174	3	67	33	18
2002	BCP	EIFFEL	ISIM Sc+Tech indus A										174	4	75	0	8
2002	BCP	EIFFEL	ISIM Sc+Tech Eau										142	7	43	43	5
2002	BCP	EIFFEL	ISTG-PRIHSE										174	0	0	0	3
2002	BCP	EIFFEL	ISTG Tech info sante										174	1	0	0	3
2002	BCP	EIFFEL	Reseau Eiffel BCPST	791	63 %	24 %	478	67 %	29 %	174	67 %	34 %					46
