year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	appeles	integres_nb	integres_filles	integres_cinq_demi	places
2002	PT	CONC. COMM. POLYTECHNIQUE	ENSIAME Info Autom.										1082	1	0	0	10
2002	PT	CONC. COMM. POLYTECHNIQUE	ISIMA Clermont-Fd										981	6	17	0	6
2002	PT	CONC. COMM. POLYTECHNIQUE	C.C. POLYTECHNIQUE PT	1918	9 %	25 %	1206	7 %	30 %	1082	7 %	31 %					197
2002	PT	CONCOURS ECRIN	ECOLE LOUIS DE BROG.	436	8 %	35 %	403	8 %	37 %	230	8 %	42 %	230	8	0	38	15
2002	PT	CONCOURS ECRIN	EFREI Paris	437	7 %	35 %	358	6 %	39 %	325	6 %	42 %	325	6	0	17	15
2002	PT	CONCOURS ECRIN	EISTI Cergy	456	8 %	34 %	412	8 %	37 %	355	8 %	41 %	355	14	29	7	40
2002	PT	CONCOURS ECRIN	ESEO Angers	409	8 %	35 %	270	6 %	44 %	247	6 %	46 %	247	0	0	0	5
2002	PT	CONCOURS ECRIN	ESIEA Paris										347	3	0	0	15
2002	PT	CONCOURS ECRIN	ESIEA Laval										347	1	0	0	12
2002	PT	CONCOURS ECRIN	ESIEA Paris-Laval PT	430	7 %	35 %	391	7 %	36 %	347	7 %	39 %					27
2002	PT	CONCOURS ECRIN	ESME SUDRIA Paris	473	8 %	34 %	354	7 %	40 %	322	7 %	42 %	322	5	0	20	25
2002	PT	CONCOURS ECRIN	ESTIT V.D	394	9 %	37 %	326	9 %	42 %	293	9 %	45 %	293	0	0	0	5
2002	PT	CONCOURS ECRIN	ISEB Brest	395	8 %	36 %	338	7 %	38 %	306	7 %	42 %	306	1	0	100	5
2002	PT	CONCOURS ECRIN	ISEM Toulon	420	8 %	36 %	364	7 %	38 %	325	7 %	42 %	325	1	0	100	5
2002	PT	CONCOURS ECRIN	ISEN Lille	412	8 %	35 %	302	6 %	41 %	277	6 %	44 %	265	4	0	0	5
2002	PT	CONCOURS ECRIN	ITECH Lyon	397	9 %	37 %	361	9 %	39 %	318	9 %	43 %	318	2	0	50	5
2002	PT	GROUPE ARCHIMEDE	E3I Tours	460	8 %	33 %				371	8 %	36 %	371	6	0	50	5
2002	PT	GROUPE ARCHIMEDE	EIC Cherbourg	245	10 %	38 %	204	10 %	42 %	102	10 %	39 %	102	7	0	0	15
2002	PT	GROUPE ARCHIMEDE	ENSIAME Meca Energ.										0	0	0	0	0
2002	PT	GROUPE ARCHIMEDE	ENSIAME Mecatronique										0	0	0	0	0
2002	PT	GROUPE ARCHIMEDE	ENSIAME Info Autom.										21	0	0	0	7
2002	PT	GROUPE ARCHIMEDE	EIGIP Valenciennes PT	261	8 %	41 %	100	3 %	41 %	21	0 %	52 %					7
2002	PT	GROUPE ARCHIMEDE	EIT Tours	381	10 %	43 %	321	9 %	47 %	243	9 %	51 %	243	16	12	44	15
2002	PT	GROUPE ARCHIMEDE	EIVL Blois	291	7 %	41 %	196	7 %	50 %	129	6 %	53 %	129	4	50	75	20
2002	PT	GROUPE ARCHIMEDE	ENSI Bourges MRI	253	17 %	39 %	128	14 %	38 %	46	24 %	30 %	46	6	0	50	5
2002	PT	GROUPE ARCHIMEDE	ENSIL Limoges TSME							76	16 %	24 %	76	1	0	0	4
2002	PT	GROUPE ARCHIMEDE	ENSIL Limoges Mecatr							76	16 %	24 %	76	9	11	11	8
2002	PT	GROUPE ARCHIMEDE	ENSSAT Lannion EII							20	25 %	30 %	20	1	100	0	3
2002	PT	GROUPE ARCHIMEDE	ENSSAT Lannion LSI							19	11 %	16 %	19	3	0	0	3
2002	PT	GROUPE ARCHIMEDE	ENSSAT Lannion Optro							9	22 %	33 %	9	0	0	0	3
2002	PT	GROUPE ARCHIMEDE	ENSTIB Epinal	219	14 %	40 %	203	14 %	40 %	71	17 %	30 %	46	11	27	18	12
2002	PT	GROUPE ARCHIMEDE	ESEM Orleans	420	9 %	38 %	258	7 %	43 %	120	12 %	42 %	119	8	12	38	12
2002	PT	GROUPE ARCHIMEDE	ESIA Annecy	345	10 %	41 %	237	9 %	48 %	125	8 %	46 %	96	18	0	39	12
2002	PT	GROUPE ARCHIMEDE	ESIAL Nancy	289	9 %	33 %	176	7 %	32 %	71	6 %	27 %	71	19	0	11	18
2002	PT	GROUPE ARCHIMEDE	ESIGEC Chambery GE	283	15 %	43 %	190	13 %	51 %	130	15 %	53 %	130	4	50	75	4
2002	PT	GROUPE ARCHIMEDE	ESIGEC Chambery IB	219	10 %	43 %	143	10 %	50 %	99	13 %	53 %	99	5	20	60	5
2002	PT	GROUPE ARCHIMEDE	ESIGEC Chambery MC	243	10 %	45 %	186	9 %	52 %	125	12 %	55 %	125	0	0	0	3
2002	PT	GROUPE ARCHIMEDE	ESINSA Nice	210	11 %	32 %	151	7 %	32 %	84	5 %	42 %	84	3	0	0	3
2002	PT	GROUPE ARCHIMEDE	ESIP Poitiers	246	14 %	34 %	72	17 %	40 %	29	17 %	38 %	29	2	0	0	5
2002	PT	GROUPE ARCHIMEDE	ESSAIM Mulhouse	182	10 %	42 %	171	9 %	41 %	92	10 %	33 %	70	12	17	8	10
2002	PT	GROUPE ARCHIMEDE	ESSTIN Nancy	304	15 %	40 %				128	15 %	52 %	128	0	0	0	1
2002	PT	GROUPE ARCHIMEDE	ISTASE Saint-Etienne	157	13 %	28 %	128	12 %	32 %	67	13 %	33 %	67	6	17	50	10
2002	PT	GROUPE ARCHIMEDE	Polytech Mars. SE										149	4	0	0	8
2002	PT	GROUPE ARCHIMEDE	Polytech Mars. GII										149	7	0	14	15
2002	PT	GROUPE ARCHIMEDE	Polytech Mars. ME										149	14	21	7	10
2002	PT	GROUPE ARCHIMEDE	POLYTECH Marseille PT	393	11 %	37 %	300	9 %	38 %	149	9 %	34 %					33
2002	PT	GROUPE ARCHIMEDE	POLYTECH Nantes GE							19	5 %	26 %	19	0	0	0	5
2002	PT	GROUPE ARCHIMEDE	POLYTECH Nantes MAT							54	11 %	37 %	54	2	50	0	3
2002	PT	GROUPE ARCHIMEDE	POLYTECH'Nantes SEII							38	0 %	21 %	27	2	0	0	2
2002	PT	GROUPE ARCHIMEDE	POLYTECH Nantes SILR							35	0 %	17 %	7	1	0	0	1
2002	PT	GROUPE ARCHIMEDE	POLYTECH							46	11 %	43 %	46	1	0	0	3
2002	PT	GROUPE ARCHIMEDE	CUST Genie Civil										285	5	0	0	5
2002	PT	GROUPE ARCHIMEDE	CUST Genie Elec.										312	0	0	0	5
2002	PT	GROUPE ARCHIMEDE	CUST Genie Math+Mod										312	1	100	0	2
2002	PT	GROUPE ARCHIMEDE	EUDIL GeoTech GCivil										116	6	17	17	6
2002	PT	GROUPE ARCHIMEDE	EUDIL Info Mes Auto										312	3	0	0	8
2002	PT	GROUPE ARCHIMEDE	EUDIL CM										312	16	6	19	15
2002	PT	GROUPE ARCHIMEDE	EUDIL Sc Materiaux										312	2	0	0	3
2002	PT	GROUPE ARCHIMEDE	EUDIL GIS										299	3	0	33	2
2002	PT	GROUPE ARCHIMEDE	ISIM Micro Elec+Auto										218	8	12	38	7
2002	PT	GROUPE ARCHIMEDE	ISIM Info et Gestion										185	3	33	0	3
