ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Agadir,Groupe scolaire Al Qalam (99693001),14,5,4,0,2,0,1,0
Agadir,Lycée Reda Slaoui (99926811),54,16,30,7,22,4,10,3
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),27,3,19,2,13,1,8,1
Aix-En-Provence Cedex 5,Lycée Paul Cézanne (0130002G),34,12,27,9,18,6,10,4
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),50,7,27,6,22,3,5,1
Angers Cedex 01,Lycée Henri Bergson (0491966W),25,6,17,3,13,3,5,2
Annecy Cedex,Lycée Berthollet (0740003B),56,11,54,11,41,8,12,2
Antony,Lycée Sainte Marie (0920904H),34,3,32,2,28,1,9,0
Arras,Lycée Robespierre (0620006V),22,7,14,3,7,1,3,0
Autun Cedex,Lycée Militaire National (0711064W),16,1,11,1,9,1,4,0
Beni-Mellal,DAY PREPAS (L0038),4,0,1,0,0,0,0,0
Beni-Mellal,Lycée Technique Mohamed V (99929811),16,3,8,2,6,2,0,0
Besançon,Lycée Victor Hugo (0250007X),67,15,55,13,46,11,14,2
Bizerte,IPEIB (16200011),1,1,1,1,1,1,1,1
Blois Cedex,Lycée Dessaignes (0410002E),29,11,14,4,10,1,6,1
Bordeaux Cedex,Lycée Camille Jullian (0330023W),36,12,31,9,25,7,10,4
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),91,22,85,20,77,19,30,6
Boulogne-Sur-Mer Cedex,Lycée Mariette (0622949U),24,5,3,1,3,1,1,0
Bourg-En-Bresse,Lycée Lalande (0010013J),31,5,21,2,19,2,8,1
Bourges,Lycée Alain-Fournier (0180005H),20,4,8,1,2,0,0,0
Brest,Lycée Naval (0290063L),29,4,23,4,19,3,5,1
Brest,Lycée Sainte Anne (0290338K),23,7,14,4,13,4,4,1
Brest Cedex 2,Lycée de Kerichen (0290007A),66,12,59,11,47,10,15,3
Caen Cedex 4,Lycée Malherbe (0140013N),100,20,86,19,77,16,40,11
Cannes Cedex,Lycée Stanislas (0060673Z),16,3,12,3,11,3,1,0
Casablanca,ECOLE YASSAMINE CALIFORNIE (L0004),37,5,12,2,7,2,2,1
Casablanca,ELBILIA SUP (99696011),5,1,2,1,0,0,0,0
Casablanca,ESG Prépas (E0005),27,5,5,1,3,1,3,1
Casablanca,ESTEM (E0004),12,1,4,0,2,0,2,0
Casablanca,Groupe scolaire La Résidence (3500055H),33,6,9,0,5,0,2,0
Casablanca,Lycée Al Khansaa (3500050C),53,17,33,10,23,5,8,2
Casablanca,Lycée Mohamed V (99926411),85,39,47,24,36,16,14,5
Castres,Lycée Borde Basse (0810959C),22,8,19,7,17,5,7,1
Chambéry,Lycée Vaugelas (0730013T),30,9,14,4,13,4,5,2
Chartres,Lycée Marceau (0280007F),36,7,17,3,13,3,3,0
Cherbourg-Octeville,Lycée Victor Grignard (0501828R),42,2,34,2,28,2,7,2
Clermont-Ferrand,Lycée Godefroy De Bouillon (0631068U),17,4,8,3,5,2,2,1
Clermont-Ferrand,Lycée La Fayette (0630021F),24,5,18,3,17,2,9,0
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),87,19,73,17,63,16,16,5
Compiègne Cedex,Lycée Pierre d'Ailly (0600014P),31,6,14,2,9,1,4,0
Dijon,Lycée Carnot (0210015C),98,22,83,18,70,14,32,8
Douai,Lycée Albert Chatelet (0590063Y),40,10,30,8,23,6,5,1
Dunkerque Cedex,Lycée Jean Bart (0590071G),18,4,10,2,9,2,1,0
Enghien-Les-Bains,Lycée Gustave Monod (0952196W),19,3,8,1,5,0,1,0
Epinal,Lycée Claude Gellee (0880020U),30,4,23,3,19,2,10,0
Errachidia,Lycée Ibn Tahir (99929511),10,2,2,1,1,0,0,0
Evry,Lycée Parc des Loges (0911251R),32,7,14,3,11,3,5,1
Fès,CAP-GE ALKHYYAM (99694011),14,5,5,2,1,1,0,0
Fès,Centre des classes préparatoires Moulay Dris (99926711),102,47,61,22,36,11,15,2
Fès,Etablissement Al Cachy (99695011),54,16,18,4,8,2,0,0
Fontainebleau,Lycée François 1er (0770927P),25,6,17,3,10,3,4,1
Forbach,Lycée Jean Moulin (0570029X),19,0,7,0,6,0,5,0
Fort-De-France Cedex (martinique),Lycée de Bellevue (9720003W),20,6,5,1,4,1,3,1
Gabes,ISSATG (99951112),3,1,0,0,0,0,0,0
Grenoble Cedex 1,Lycée Champollion (0380027Y),75,19,70,18,61,15,19,2
Kairouan,Institut supérieur des mathématiques appliquées et de l'informatique (U0001),1,1,0,0,0,0,0,0
Kenitra,Lycée Mohamed VI (99948211),47,14,31,8,20,4,8,0
Khouribga,Centre des classes péparatoires Ibn Abdoun (99699011),17,3,9,1,8,1,2,0
La Flèche Cedex,Prytanée National Militaire (0720896H),36,2,30,1,22,1,6,1
La Rochelle,Lycée Jean Dautet (0170028N),19,7,11,4,8,4,4,2
La Roche-Sur-Yon,Lycée Saint François d'Assise (0851642Y),20,4,13,3,11,2,3,0
Laayoune,Lycée Lyssane Eddine Ibn Al-Khattib (99936811),6,1,0,0,0,0,0,0
Le Havre,Lycée François 1er (0760052U),36,5,20,2,19,2,7,2
Le Mans Cedex 01,Lycée Montesquieu (0720029R),22,6,16,4,10,2,2,0
Le Raincy,Lycée Albert Schweitzer (0930830X),51,15,36,10,26,6,11,3
Libreville,Lycée LEON MBA (99928511),36,6,17,2,14,1,8,1
Lille Cedex,Lycée Faidherbe (0590119J),122,23,117,22,100,20,28,7
Limoges Cedex,Lycée Gay-Lussac (0870015U),34,7,25,5,22,4,8,2
Lorient Cedex,Lycée Dupuy De Lôme (0560025Y),28,9,24,6,23,6,8,3
Lyon,Lycée aux Lazaristes (0690522T),32,4,29,4,20,4,1,0
Lyon,Lycée Jean Perrin (0690082P),26,6,20,4,14,2,6,1
Lyon,Lycée La Martinière Monplaisir (0692866R),67,17,60,16,46,11,16,3
Lyon Cedex 06,Lycée du Parc (0690026D),75,18,69,17,57,16,12,4
Lyon Cedex 1,Institution des Chartreux (0690564N),5,3,0,0,0,0,0,0
Mantes-La-Jolie Cedex,Lycée Saint Exupéry (0782539L),23,4,14,2,14,2,4,1
Marrakech,CPGE privée Koutoubia-Prépas (99697011),5,0,1,0,0,0,0,0
Marrakech,Ibn Ghazi (L0057),6,1,0,0,0,0,0,0
Marrakech,Marrakech Prépas (99926814),7,1,3,0,1,0,0,0
Marrakech,Lycée Ibn Timiya (99926511),67,21,42,13,18,5,6,3
Marseille,Lycée Notre Dame de Sion (0131341M),35,5,13,2,9,2,3,1
Marseille Cedex 1,Lycée Thiers (0130040Y),85,21,82,21,69,16,16,1
Maubeuge,Lycée Notre-Dame De Grâce (0592916Z),9,1,1,0,0,0,0,0
Meknès,CARNOT PREPAS (L0006),20,4,9,1,5,1,3,0
Meknès,Lycée Omar Ibn Al Khattab (99928611),55,20,33,11,17,8,7,2
Meknès,Prépa-Sup Ibn Ghazi El Meknassi (99901121),37,16,20,11,7,3,7,3
Melun Cedex,Lycée Jacques Amyot (0770933W),38,5,26,4,25,3,12,2
Metz Cedex 1,Lycée Fabert (0570054Z),72,13,60,11,54,10,20,3
Mohammedia,Lycée Omar Khayyam - Mohammadia (99928911),13,3,2,0,0,0,0,0
Mohammedia,Lycée Technique - Mohammadia (99927711),28,6,18,3,13,3,4,1
Monastir,I.P.E.I (99949911),3,0,0,0,0,0,0,0
Montpellier,Lycée Notre Dame de La Merci (0340881Y),34,5,29,4,19,2,16,2
Montpellier Cedex 2,Lycée Joffre (0340038G),75,18,68,18,59,17,16,8
Mulhouse,Lycée Albert Schweitzer (0680031P),35,10,21,6,16,5,6,2
Nancy Cedex,Lycée Henri Poincaré (0540038Y),73,13,72,13,64,10,20,2
Nantes,Lycée Saint Stanislas (0440163N),26,4,20,4,17,4,10,3
Nantes Cedex 1,Lycée Clémenceau (0440021J),57,13,54,12,39,9,12,2
Neuilly-Sur-Seine Cedex,Lycée Louis Pasteur (0920142E),63,13,51,11,47,10,6,2
Nice Cedex 1,Lycée Massena (0060030A),77,12,71,10,55,8,11,0
Nîmes Cedex,Lycée Alphonse Daudet (0300021K),42,12,41,12,34,10,11,4
Nîmes Cedex,Lycée Emmanuel d'Alzon (0300080Z),30,2,7,0,4,0,3,0
Orléans,Lycée Saint Charles (0450110A),12,1,3,0,3,0,0,0
Orléans Cedex 1,Lycée Pothier (0450049J),111,22,84,15,70,11,23,3
Orsay,Lycée Blaise Pascal (0910626L),35,6,33,6,25,4,3,0
Oujda,Lycée Omar Ibn Abdelaziz (99927611),22,6,14,4,5,1,2,0
Oujda,Pythagore Prépas (99700011),12,1,1,0,1,0,0,0
Paris,ECOLE GEORGES GUSDORF (0755589T),3,0,2,0,2,0,1,0
Paris,Lycée Saint-Louis (0750658H),131,39,121,36,104,29,20,9
Paris,Lycée Janson de Sailly (0750699C),150,46,132,42,105,39,20,7
Paris 4e,Lycée Charlemagne (0750652B),70,13,65,13,46,10,7,3
Paris 8e,Lycée Fénelon Sainte-Marie (0753873C),52,10,43,6,35,6,8,2
Paris Cedex 05,Lycée Henri IV (0750654D),55,11,45,8,36,6,4,1
Paris Cedex 05,Lycée Louis Le Grand (0750655E),67,21,50,19,43,16,4,1
Paris Cedex 06,Lycée Stanislas (0753840S),34,7,30,6,25,6,2,0
Paris Cedex 09,Lycée Jacques Decour (0750668U),27,1,19,1,12,0,2,0
Paris Cedex 12,Lycée Paul Valery (0750679F),20,4,13,3,9,3,1,0
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),31,7,28,6,21,5,6,1
