ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Maubeuge,Lyce Notre-Dame De Grce (0592916Z),10,0,3,0,1,0,1,0
Mekns,Prpa - Sup Ibn Ghazi El Meknassi (99901121),40,11,22,3,14,2,2,1
Mekns,Ecole Prparatoire Algbre (99901123),3,3,0,0,0,0,0,0
Mekns,Lyce Omar Ibn El Khattab CPGE (99928611),59,21,28,6,13,1,7,0
Melun,Lyce Jacques Amyot (0770933W),32,8,15,4,12,4,4,1
Metz,Lyce Fabert (0570054Z),70,19,61,17,47,10,20,7
Mohammedia,Omar El Khayyam (99928911),12,5,1,0,0,0,0,0
Monastir,I.P.E.I (99949911),6,3,1,1,1,1,0,0
Montpellier,Lyce Joffre (0340038G),64,15,58,14,46,12,22,4
Montpellier,Lyce Notre Dame de La Merci (0340881Y),33,6,32,5,20,2,15,2
Mulhouse,Lyce Albert Schweitzer (0680031P),65,21,40,11,32,8,10,3
Nabeul,IPEIN (99950811),2,0,1,0,0,0,0,0
Nancy,Lyce Henri Poincar (0540038Y),66,17,61,16,50,13,19,7
Nantes,Lyce Clmenceau (0440021J),43,12,42,11,36,10,6,2
Nantes,Lyce Saint Stanislas (0440163N),42,6,38,6,31,4,15,0
Neuilly-Sur-Seine,Lyce Louis Pasteur (0920142E),54,14,51,13,40,8,2,0
Nice,Lyce Massena (0060030A),64,18,56,16,42,13,8,2
Nimes,Lyce Alphonse Daudet (0300021K),43,14,30,8,29,8,14,2
Nimes,Lyce Emmanuel d'Alzon (0300080Z),20,3,11,3,10,3,3,1
Orlans,Lyce Pothier (0450049J),94,24,71,18,62,15,27,5
Orlans,Lyce Saint Charles (0450110A),13,2,3,0,2,0,1,0
Orsay,Lyce Blaise Pascal (0910626L),41,9,41,9,34,9,4,0
Oujda,Lyce Omar Ben Abdelaziz (99927611),40,13,25,7,5,1,3,0
Oujda,Pythagore Prpas (99700011),12,1,2,0,0,0,0,0
Paris,Lyce Jacques Decour (0750668U),38,9,25,3,19,1,8,1
Paris,Lyce Paul Valery (0750679F),45,13,29,8,23,6,7,2
Paris,Lyce Raspail (0750691U),1,0,0,0,0,0,0,0
Paris,Lyce Stanislas (0753840S),74,7,58,6,42,3,2,0
Paris 4e,Lyce Charlemagne (0750652B),79,25,74,24,58,20,11,5
Paris 5e,Lyce Henri IV (0750654D),37,15,32,13,27,11,3,0
Paris 5e,Lyce Louis Le Grand (0750655E),94,37,78,33,69,30,9,4
Paris 6e,Lyce Fnelon (0750660K),73,25,60,20,52,19,21,9
Paris 6e,Lyce Saint-Louis (0750658H),144,56,123,50,100,42,13,5
Paris 8e,Lyce Chaptal (0750663N),70,13,64,12,49,7,13,1
Paris 8e,Lyce Fnelon Sainte-Marie (0753873C),50,13,41,7,34,5,11,0
Paris 9e,Lyce Condorcet (0750667T),49,14,43,13,36,12,5,0
Paris 13e,ENCPB (0750685M),30,11,21,5,17,3,4,0
Paris 15e,Lyce Buffon (0750693W),34,7,27,5,23,5,5,1
Paris 16e,Lyce Claude Bernard (0750698B),34,12,17,3,15,2,5,0
