ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),32,14,29,14,25,12,9,4
Paris 15e,Lycée Buffon (0750693W),27,8,20,7,19,6,8,2
Paris 16e,Lycée Janson de Sailly (0750699C),107,38,88,35,83,34,21,6
Paris 17e,Lycée Carnot (0750704H),23,7,23,7,23,7,10,4
Paris 4e,IPESUP (0753144K),14,5,12,5,12,5,6,2
Paris 5e,Lycée Lavoisier (0750656F),46,24,41,21,36,20,8,7
Paris 6e,Lycée Fénelon (0750660K),21,5,18,5,16,5,1,0
Paris 8e,Lycée Chaptal (0750663N),52,25,49,25,42,23,10,7
Paris 9e,Lycée Condorcet (0750667T),27,12,24,12,20,10,3,2
Pau Cedex,Lycée Louis Barthou (0640055M),47,14,39,13,28,10,7,2
Périgueux Cedex,Lycée Bertran de Born (0240024W),29,7,15,3,14,3,2,0
Perpignan,Lycée François Arago (0660010C),45,13,40,12,33,10,15,3
Pointe-à-Pitre Cedex (guadeloupe),L G T de Baimbridge (9710003B),20,10,18,9,17,9,8,3
Poitiers Cedex,Lycée Camille Guérin (0860035W),33,14,29,14,26,13,9,4
Quimper,Lycée Auguste Brizeux (0290069T),24,9,20,9,17,9,5,1
Reims Cedex,Lycée Franklin Roosevelt (0510034K),36,16,30,11,28,11,8,4
Rennes,Lycée privé Assomption (0350778F),11,1,10,1,9,1,4,0
Rennes Cedex 7,Lycée Chateaubriand (0350710G),26,8,19,4,17,4,3,2
Rouen Cedex,Lycée Pierre Corneille (0760090K),35,10,27,8,26,8,5,1
Saint-Brieuc,Lycée Francois Rabelais (0220056S),9,2,8,2,7,2,1,0
Sainte-Clotilde Cedex (la Réunion),Lycée Leconte de Lisle (9740001H),23,12,23,12,19,11,5,4
Saint-Etienne Cedex 1,Lycée Claude Fauriel (0420041S),44,17,40,16,39,15,4,3
Saint-Germain-En-Laye,Lycée Jeanne D'Albret (0782132U),14,7,14,7,13,7,5,3
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),1,0,1,0,1,0,0,0
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),43,14,32,11,27,10,8,4
Saint-Nazaire,Lycée Aristide Briand (0440069L),24,7,19,7,18,6,4,4
Saint-Quentin,Lycée Pierre de La Ramée (0020049T),13,0,10,0,8,0,5,0
Salon-De-Provence,Lycée de l'Emperi (0130160D),11,2,7,1,6,0,3,0
Savigny-Sur-Orge Cedex,Lycée Jean Baptiste Corot (0910627M),19,5,16,4,15,4,5,2
Sceaux Cedex,Lycée Lakanal (0920145H),37,13,30,10,27,10,5,2
Sfax,IPEIS (99951111),1,1,0,0,0,0,0,0
Sophia Antipolis Cedex,Lycée international de Valbonne (0061642C),40,10,35,9,23,6,7,3
Sourdun Cedex,Internat d'Excellence de Sourdun (0772737G),2,1,2,1,2,1,0,0
Strasbourg,Lycée Kleber (0670080Y),40,23,33,19,32,18,6,2
Tarbes Cedex,Lycée Théophile Gautier (0650025Z),23,7,19,7,16,6,4,1
Toulon Cedex,Lycée Dumont D'Urville (0830053G),42,19,41,17,33,12,15,5
Toulouse,Lycée Bellevue (0310038Y),19,5,14,3,14,3,0,0
Toulouse,Lycée Déodat de Séverac (0310044E),40,13,36,12,35,12,12,4
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),36,15,25,10,25,10,4,0
Tourcoing,Lycée Gambetta (0590212K),18,6,16,5,14,5,7,3
Tours Cedex 1,Lycée Descartes (0370035M),55,21,46,19,42,17,14,8
Troyes,Lycée Chrestien De Troyes (0100022V),15,8,13,7,9,4,5,2
Tulle,Lycée Edmond Perrier (0190032G),14,5,12,3,11,3,9,3
Tunis,Université de Tunis (35900002),1,1,0,0,0,0,0,0
Valence Cedex,Lycée Camille Vernet (0260035X),10,1,7,1,7,1,4,0
Valenciennes Cedex,Lycée Henri Wallon (0590221V),68,16,60,14,57,12,9,1
Vanves Cedex,Lycée Michelet (0920149M),15,5,11,4,11,4,3,0
Versailles,Lycée Sainte Geneviève (0783053V),27,7,22,6,22,6,1,0
Versailles Cedex,Lycée Hoche (0782562L),29,3,22,3,22,3,5,0
null,Sans etablissement - candidat libre (0000000Y),1,1,0,0,0,0,0,0
