ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
LORIENT,DUPUY DE LOME,11,3,6,3,4,2,3,1
RENNES,CHATEAUBRIAND,88,22,84,20,65,17,20,5
SAINT-BRIEUC,RABELAIS,13,3,9,3,5,2,2,0
VANNES,LESAGE,28,9,22,8,17,6,7,0
LE HAVRE,FRANCOIS 1ER,23,5,17,5,11,3,6,2
ROUEN,CORNEILLE,63,17,60,16,46,12,8,0
MULHOUSE,A. SCHWEITZER,58,20,35,8,27,7,13,1
STRASBOURG,KLEBER,104,29,100,27,83,24,30,7
TOULOUSE,BELLEVUE,29,4,26,4,23,3,13,1
TOULOUSE,PIERRE DE FERMAT,92,28,86,26,74,25,33,12
CLERMONT-FERRAND,GODEFROY DE BOUILLON,28,1,6,0,3,0,1,0
MONTBONNOT,PUPILLES DE L'AIR,14,0,8,0,6,0,1,0
ST CYR L'ECOLE,LYCEE MILITAIRE,21,5,8,3,5,1,4,1
MONTPELLIER,LA MERCI,33,4,18,1,15,1,9,0
TUNIS,I.P.E.I.T,31,1,10,0,5,0,3,0
STRASBOURG,ORT FRANCE,2,0,2,0,2,0,2,0
MARSEILLE,NOTRE DAME DE SION,31,11,13,6,10,4,6,1
ROUBAIX,SAINT REMI,33,5,4,1,1,0,0,0
PARIS 04,IPESUP,1,0,1,0,1,0,0,0
LYON,JEAN PERRIN,18,10,9,4,6,2,1,0
CHAMBERY,VAUGELAS,40,12,34,10,31,8,18,7
ANGOULEME,GUEZ DE BALZAC,17,1,4,0,4,0,2,0
EVRY,DU PARC DES LOGES,19,4,11,3,10,3,4,1
JARVILLE,LA MALGRANGE,12,1,6,1,4,0,2,0
AUTUN,LYCEE MILITAIRE,25,1,15,1,9,1,4,1
AIX-EN-PROVENCE,LYCEE MILITAIRE,25,5,19,5,16,3,8,2
MANTES-LA-JOLIE,SAINT-EXUPERY,31,11,11,3,8,3,3,1
ORLEANS,SAINT CHARLES,17,1,9,1,7,1,4,0
NIMES,E. D'ALZON,26,4,5,2,2,1,1,1
PARIS 15,URANIE,1,0,1,0,0,0,0,0
SAINT-BRIEUC,SAINT-CHARLES,11,4,3,2,2,1,0,0
TUNIS,IPEST,97,29,84,25,78,23,37,8
BEYROUTH,ECOLE SUP. D'INGENIEURS,2,0,1,0,1,0,0,0
CASABLANCA,MOHAMED V,105,23,48,7,27,5,8,1
MARRAKECH,IBNOU TAIMIYA,70,10,50,9,32,7,12,3
RABAT,MOULAY YOUSSEF,91,24,54,13,46,12,23,7
FES,MOULAY IDRISS,45,14,23,5,10,1,3,0
AGADIR,REDA SLAOUI,31,2,19,1,8,1,3,0
TANGER,CENTRE PEDAGOGIQUE REGION,19,1,16,0,8,0,8,0
BRESSUIRE,SAINT JOSEPH,20,2,8,1,3,0,2,0
CASABLANCA,ECO SUP GALILEE,13,1,0,0,0,0,0,0
OUJDA,OMAR BEN ABDELAZIZ,25,4,12,1,8,1,3,0
SAINTE CLOTILDE,LECONTE DE LISLE,25,4,14,3,8,2,3,1
FORT DE FRANCE,DE BELLEVUE,19,6,5,1,4,1,1,0
POINTE A PITRE,BAIMBRIDGE,32,10,13,3,7,0,2,0
RABAT,AL KHAWARIZMI,28,1,13,1,8,1,5,1
CASABLANCA,AL MIZA,10,0,1,0,0,0,0,0
LIBREVILLE,LEON MBA,8,1,1,0,1,0,0,0
MEKNES,OMAR IBN EL KHATTAB,36,11,24,9,16,7,8,4
CASABLANCA,LYCEE LA RESIDENCE,16,3,3,0,1,0,1,0
BENI-MELLAL,TECHNIQUE MOHAMED V,11,7,3,3,0,0,0,0
RABAT,AL HASSANIA,8,2,5,1,3,1,2,1
MONASTIR,I.P.E.I,5,2,0,0,0,0,0,0
