ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Aix-En-Provence,Lycée Militaire (0131596P),2,1,0,0,0,0,0,0
Aix-En-Provence,Lycée Paul Cezanne (0130002G),30,4,26,4,20,4,7,0
Albi,Lycée Laperouse (0810006S),8,3,3,1,1,0,0,0
Amiens,Lycée Louis Thuillier (0800009A),12,4,8,2,5,1,1,0
Angers,Lycée Henri Bergson (0491966W),2,1,1,0,1,0,1,0
Annecy,Lycée Berthollet (0740003B),35,11,18,7,16,6,6,1
Antony,Lycée Sainte Marie (0920904H),5,0,3,0,1,0,0,0
Arras,Lycée Robespierre (0620006V),4,2,1,1,0,0,0,0
Avignon,Lycée St Joseph (0840072X),7,1,1,1,1,1,0,0
Balma,Lycée Saliège (0312408Z),69,14,43,12,36,11,9,5
Bayonne,Lycée René Cassin (0640010N),8,2,4,0,4,0,0,0
Belfort,Lycée Condorcet (0900002N),0,0,1,1,1,1,0,0
Besançon,Lycée Victor Hugo (0250007X),29,12,16,5,12,4,4,2
Bordeaux,Lycée Camille Jullian (0330023W),18,4,7,0,5,0,2,0
Bordeaux,Lycée Michel Montaigne (0330021U),45,17,23,6,20,5,7,2
Bourg-En-Bresse,Lycée Lalande (0010013J),5,1,5,2,4,2,1,1
Bourges,Lycée Alain-Fournier (0180005H),1,0,0,0,0,0,0,0
Brest,Lycée de Kerichen (0290007A),19,7,7,2,6,2,1,0
Brest,Lycée Sainte Anne (0290338K),2,1,0,0,0,0,0,0
Caen,Lycée Privé Sainte-Marie (0141164P),2,0,0,0,0,0,0,0
Caen,Lycée Victor Hugo (0142059M),18,5,11,5,5,2,1,0
Chartres,Lycée Marceau (0280007F),19,9,13,7,12,7,4,2
Clermont-Ferrand,Lycée Blaise Pascal (0630018C),22,7,16,4,15,4,3,1
Compiègne,Lycée Pierre d'Ailly (0600014P),5,1,0,0,0,0,0,0
Corenc,ITEC Boisfleury Europe (0381675P),7,0,2,0,2,0,0,0
Dijon,Lycée Carnot (0210015C),33,11,13,4,11,3,1,0
Douai,Lycée Albert Chatelet (0590063Y),14,5,10,4,7,4,0,0
Dunkerque,Lycée Jean Bart (0590071G),5,1,1,1,1,1,0,0
Enghien-Les-Bains,Lycée Gustave Monod (0950644J),6,2,1,0,0,0,0,0
Evreux,Lycée Aristide Briand (0270016W),4,1,0,0,0,0,0,0
Fontainebleau,Lycée Francois 1er (0770927P),11,3,4,2,3,2,1,1
Fort-De-France,Lycée Bellevue (9720003W),5,3,1,1,1,1,0,0
Grenoble,Lycée Champollion (0380027Y),55,16,27,5,22,5,7,1
La Flèche,Prytanée National Militaire (0720896H),7,1,3,0,2,0,1,0
La Rochelle,Lycée Jean Dautet (0170028N),4,1,1,0,1,0,1,0
La Roche-Sur-Yon,Lycée Saint Joseph (0850083D),1,0,0,0,0,0,0,0
Le Havre,Lycée François 1er (0760052U),2,0,1,0,0,0,0,0
Le Mans,Lycée Montesquieu (0720029R),26,2,21,3,18,3,8,3
Le Raincy,Lycée Albert Schweitzer (0930830X),13,3,2,0,2,0,0,0
Lens,Lycée Condorcet (0620108F),6,0,1,0,1,0,1,0
Lille,Lycée Faidherbe (0590119J),46,16,29,8,23,7,11,5
Limoges,Lycée Gay-Lussac (0870015U),26,9,19,7,14,5,5,2
Lorient,Lycée Dupuy De Lôme (0560025Y),1,0,0,0,0,0,0,0
Lyon,Lycée du Parc (0690026D),109,40,84,27,76,24,30,12
Lyon,Lycée Jean Perrin (0690082P),7,3,5,3,5,3,2,2
Lyon,Lycée La Martiniere Monplaisir (0692866R),27,12,15,7,10,4,3,2
Lyon,Lycée Aux Lazaristes (0690522T),30,6,28,5,25,5,5,2
Marseille,Lycée Thiers (0130040Y),74,29,59,24,52,22,12,5
Melun,Lycée Jacques Amyot (0770933W),10,2,0,0,0,0,0,0
Metz,Lycée Fabert (0570054Z),51,17,32,8,21,7,4,0
Montpellier,Lycée Joffre (0340038G),43,18,24,10,22,9,3,1
Mulhouse,Lycée Albert Schweitzer (0680031P),4,3,2,1,1,1,0,0
Nancy,Lycée Henri Poincaré (0540038Y),67,16,42,12,29,11,10,3
Nantes,Lycée Clémenceau (0440021J),42,16,19,10,16,8,4,3
Nantes,Lycée St Stanislas (0440163N),8,1,3,1,2,1,1,1
Neuilly-Sur-Seine,Lycée Louis Pasteur (0920142E),68,16,51,11,37,10,10,4
Nice,Lycée Massena (0060030A),47,19,24,8,19,7,4,1
Nimes,Lycée Alphonse Daudet (0300021K),12,1,0,0,0,0,0,0
Orléans,Lycée Pothier (0450049J),33,9,11,5,9,4,3,2
Orléans,Lycée Saint Charles (0450110A),2,0,1,0,1,0,0,0
Orsay,Lycée Blaise Pascal (0910626L),28,10,12,5,9,4,4,2
