ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),20,4,11,2,9,2,3,1
Paris 15e,Lycée Buffon (0750693W),35,10,16,2,10,1,0,0
Paris 16e,Lycée Claude Bernard (0750698B),53,10,32,7,21,4,7,2
Paris 16e,Lycée Janson de Sailly (0750699C),86,27,64,18,48,14,17,3
Paris 16e,Lycée Jean-Baptiste Say (0750700D),38,11,30,10,16,7,1,1
Paris 6e,Lycée Saint-Louis (0750658H),212,56,172,45,144,38,63,16
Paris 8e,Lycée Chaptal (0750663N),85,10,59,6,44,5,19,1
Paris 9e,Lycée Condorcet (0750667T),44,11,35,9,31,7,15,2
Pau,Lycée Louis Barthou (0640055M),26,3,15,3,8,0,2,0
Perpignan,Lycée François Arago (0660010C),29,3,11,0,5,0,2,0
Poitiers,Lycée Camille Guérin (0860035W),19,4,10,2,6,0,2,0
Quimper,Lycée Auguste Brizeux (0290069T),4,1,2,0,1,0,0,0
Rabat,Lycée Ibn Al Ghazi (99951011),21,7,1,0,1,0,0,0
Rabat,Lycée Moulay Youssef (99926611),3,0,0,0,0,0,0,0
Reims,Lycée F. Roosevelt (0510034K),44,6,22,2,15,2,3,0
Remire-Montjoly,Lycée Léon-Gontran Damas (9730196A),4,2,2,1,0,0,0,0
Rennes,Lycée Joliot-Curie (0350029S),25,2,13,1,8,1,1,0
Rennes,Lycée privé Assomption (0350778F),9,4,2,0,0,0,0,0
Rennes Cedex 7,Lycée Chateaubriand (0350710G),65,11,35,5,26,5,12,2
Rouen,Lycée Pierre Corneille (0760090K),36,11,24,6,20,5,4,1
Saint-Brieuc,Lycée Francois Rabelais (0220056S),9,1,4,0,2,0,0,0
Saint-Cyr-L'Ecole Cedex,Lycée Militaire de Saint-Cyr (0780015T),19,3,8,0,6,0,2,0
Saint-Denis,Lycée Paul Eluard (0930125F),7,1,2,0,0,0,0,0
Sainte-Clotilde Cedex,Lycée Leconte de Lisle (9740001H),17,3,3,1,2,1,0,0
Saint-Etienne,Lycée Etienne Mimard (0420046X),9,0,5,0,1,0,0,0
Saint-Germain-en-Laye,Lycée Jeanne D'Albret (0782132U),14,2,7,1,6,1,3,0
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),17,1,13,1,6,1,2,1
Saint-Maur-Des-Fosses,Lycée D'Arsonval (0940121W),16,3,8,1,6,0,2,0
Saint-Maur-Des-Fosses,Lycée Marcelin Berthelot (0940120V),83,12,71,11,58,9,20,1
Sceaux Cedex,Lycée Lakanal (0920145H),36,7,30,6,27,5,13,2
Sophia Antipolis Cedex,Lycée international de Valbonne (0061642C),30,6,18,3,11,1,4,1
Strasbourg,Lycée Kleber (0670080Y),64,8,35,3,20,1,4,0
Strasbourg,Lycée Louis Couffignal (0670085D),7,2,1,1,1,1,1,1
Strasbourg,Lycée Ort (0671636P),21,2,9,1,3,1,0,0
Tanger,Centre Pédagogique Régional (99926911),1,1,0,0,0,0,0,0
Toulon,Lycée Dumont D'Urville (0830053G),8,1,5,1,1,0,0,0
Toulouse,Lycée Bellevue (0310038Y),27,3,11,2,8,1,1,1
Toulouse,Lycée Déodat de Séverac (0310044E),34,3,12,0,8,0,4,0
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),46,10,41,10,36,9,11,4
Tours,Lycée J. de Vaucanson (0371418R),16,2,7,0,6,0,2,0
Tours Cedex 1,Lycée Descartes (0370035M),48,11,22,4,12,3,2,2
Troyes,Lycée Chrestien De Troyes (0100022V),6,1,2,0,1,0,1,0
Valenciennes,Lycée Henri Wallon (0590221V),34,3,13,0,9,0,2,0
Vanves,Lycée Michelet (0920149M),36,10,26,6,20,3,5,0
Versailles,Lycée Hoche (0782562L),46,8,43,7,41,7,24,5
Versailles,Lycée Jules Ferry (0782565P),39,6,17,2,11,1,2,1
Versailles,Lycée Sainte Geneviève (0783053V),39,7,39,7,37,7,14,3
Voiron,Lycée Ferdinand Buisson (0380092U),1,0,0,0,0,0,0,0
