ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AIX-EN-PROVENCE,PAUL CEZANNE,71,25,62,21,54,21,22,12
MARSEILLE,THIERS,79,23,75,20,62,16,28,11
SALON DE PROVENCE,L'EMPERI,34,8,21,5,15,3,6,3
AMIENS,THUILLIER,46,11,22,9,18,7,12,6
COMPIEGNE,PIERRE D'AILLY,18,6,10,4,8,4,4,4
BELFORT,CONDORCET,22,14,16,9,14,8,7,5
BESANCON,VICTOR HUGO,53,17,42,13,40,13,18,6
BAYONNE,RENE CASSIN,20,7,18,6,15,4,11,2
BORDEAUX,CAMILLE JULLIAN,38,14,23,9,16,6,9,4
BORDEAUX,MICHEL MONTAIGNE,64,24,61,23,56,23,28,17
PAU,LOUIS BARTHOU,54,23,46,19,40,17,23,12
CAEN,VICTOR HUGO,57,19,53,19,48,19,26,11
CLERMONT-FERRAND,BLAISE PASCAL,58,21,49,16,48,16,24,9
DIJON,CARNOT,54,14,49,13,38,10,16,2
ANNECY,BERTHOLLET,62,21,57,19,45,18,29,13
GRENOBLE,CHAMPOLLION,68,30,64,28,52,25,33,19
LA TRONCHE,ITEC- BOISFLEURY,7,0,3,0,3,0,3,0
VALENCE,CAMILLE VERNET,27,4,23,2,17,2,14,2
ARRAS,ROBESPIERRE,28,9,16,6,14,5,9,3
DOUAI,A. CHATELET,26,11,12,4,9,3,4,1
DUNKERQUE,JEAN BART,18,8,14,8,11,5,6,2
LENS,CONDORCET,15,3,4,0,2,0,0,0
LILLE,FAIDHERBE,70,20,59,18,48,14,22,6
TOURCOING,GAMBETTA,17,3,8,1,6,0,2,0
VALENCIENNES,HENRI WALLON,74,15,62,12,48,9,13,2
LIMOGES,GAY LUSSAC,44,14,43,13,39,12,17,7
BOURG EN BRESSE,LALANDE,25,5,8,3,6,3,1,0
LYON,AUX LAZARISTES,24,6,24,6,22,6,8,4
LYON,LE PARC,104,31,97,29,88,28,27,11
LYON,INSTITUT DES CHARTRX,1,0,0,0,0,0,0,0
LYON,LA MARTINIERE,55,25,48,24,43,19,20,11
SAINT-ETIENNE,FAURIEL,66,25,50,21,45,19,26,10
MONTPELLIER,JOFFRE,71,27,64,22,57,20,24,9
NIMES,ALPHONSE DAUDET,37,14,11,3,5,1,3,0
PERPIGNAN,F. ARAGO,22,9,14,5,12,4,4,1
METZ,FABERT,48,18,38,13,35,11,14,5
NANCY,HENRI POINCARE,91,25,75,22,63,22,28,8
ANGERS,HENRI BERGSON,20,8,16,7,13,5,8,3
LA FLECHE,PRYTANEE MILITAIRE,27,1,23,1,18,1,5,0
LA ROCHE SUR YON,SAINT JOSEPH,3,1,1,1,1,1,1,1
LE MANS,MONTESQUIEU,31,8,30,8,19,6,9,4
NANTES,GEORGES CLEMENCEAU,82,28,79,27,75,27,45,15
NANTES,SAINT STANISLAS,30,9,24,8,20,8,9,4
SAINT-NAZAIRE,ARISTIDE BRIAND,14,7,8,5,5,3,1,0
NICE,MASSENA,23,5,22,5,13,2,1,0
TOULON,DUMONT D'URVILLE,35,12,23,7,18,4,9,4
VALBONNE,CENTRE INTERNATIONAL,35,11,29,10,25,7,18,4
BOURGES,ALAIN FOURNIER,21,7,6,3,4,3,3,2
CHARTRES,MARCEAU,22,7,12,4,9,3,6,3
ORLEANS,POTHIER,48,18,41,16,39,15,23,10
TOURS,DESCARTES,75,18,59,12,49,11,30,9
ANTONY,SAINTE MARIE,30,11,21,9,19,9,10,5
ENGHIEN LES BAINS,GUSTAVE MONOD,15,4,11,2,10,2,3,1
FONTAINEBLEAU,FRANCOIS 1ER,32,9,14,5,7,4,3,3
LE RAINCY,ALBERT SCHWEITZER,23,6,16,5,10,3,3,2
MELUN,JACQUES AMYOT,29,10,18,7,13,5,7,5
NEUILLY SUR SEINE,PASTEUR,56,13,55,13,46,12,10,3
ORSAY,BLAISE PASCAL,36,11,32,10,29,10,6,4
PARIS 03,TURGOT,37,9,24,8,19,7,10,3
PARIS 04,CHARLEMAGNE,68,27,64,27,53,21,22,11
PARIS 05,HENRI IV,15,5,14,4,6,1,1,0
PARIS 05,LAVOISIER,43,19,35,16,30,14,18,9
PARIS 05,LOUIS LE GRAND,82,29,59,23,42,16,6,2
PARIS 06,STANISLAS,36,2,35,2,24,2,5,0
PARIS 06,FENELON,41,14,40,14,32,13,9,6
PARIS 06,SAINT LOUIS,186,76,177,74,153,69,47,26
PARIS 08,CHAPTAL,58,17,53,16,46,15,20,6
PARIS 08,SAINTE MARIE FENELON,29,6,18,3,15,3,2,0
PARIS 09,CONDORCET,27,7,25,7,17,4,8,1
PARIS 09,JACQUES DECOUR,30,7,27,5,21,5,10,3
PARIS 13,ENCPB,23,8,14,4,13,3,6,2
PARIS 15,BUFFON,28,7,24,6,22,6,11,3
PARIS 15,OURANIA,14,2,12,2,10,1,4,0
PARIS 15,FRESNEL,8,3,3,0,1,0,0,0
PARIS 16,JANSON DE SAILLY,109,28,99,26,82,22,30,10
PARIS 17,CARNOT,25,12,18,9,16,9,8,7
PARIS 17,HONORE DE BALZAC,24,9,17,6,13,6,8,4
SAVIGNY SUR ORGE,J. B. COROT,24,12,18,9,17,9,12,6
SCEAUX,LAKANAL,49,18,47,17,43,17,17,8
ST GERMAIN EN LAYE,JEANNE D'ALBRET,22,7,15,6,12,6,4,2
