ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Pointe--Pitre,L.G.T.Baimbridge (9710003B),8,3,2,0,2,0,0,0
Poitiers,Lyce Camille Gurin (0860035W),31,13,4,0,2,0,1,0
Quimper,Lyce Auguste Brizeux (0290069T),10,3,4,1,2,1,1,0
Reims,Lyce F. Roosevelt (0510034K),14,4,4,1,3,0,0,0
Rennes,Lyce Chateaubriand (0350710G),64,24,24,7,19,6,7,3
Rennes,Lyce priv Assomption (0350778F),4,2,1,1,1,1,0,0
Rouen,Lyce Pierre Corneille (0760090K),63,16,36,14,33,13,10,5
Saint-Brieuc,Lyce Francois Rabelais (0220056S),10,2,1,0,0,0,0,0
Sainte-Clotilde,Lyce Leconte de Lisle (9740001H),15,7,0,0,0,0,0,0
Saint-Etienne,Lyce Claude Fauriel (0420041S),23,3,8,0,7,0,6,0
Saint-Germain-en-Laye,Lyce Jeanne D'Albret (0782132U),19,9,3,1,2,0,0,0
Saint-Maur-Des-Fosses,Lyce Marcelin Berthelot (0940120V),45,15,20,8,17,8,4,0
Saint-Nazaire,Lyce Aristide Briand (0440069L),5,0,1,0,0,0,0,0
Saint-Quentin,Lyce Pierre de La Rame (0020049T),2,1,0,0,0,0,0,0
Salon-De-Provence,Lyce de l'Emperi (0130160D),10,1,0,0,0,0,0,0
Savigny-Sur-Orge,Lyce Jean Baptiste Corot (0910627M),24,7,4,0,4,0,2,0
Sceaux,Lyce Lakanal (0920145H),68,18,45,12,39,12,17,6
Strasbourg,Lyce Kleber (0670080Y),51,11,30,6,25,3,6,0
Tarbes,Lyce Thophile Gautier (0650025Z),7,0,0,0,0,0,0,0
Toulon,Lyce Dumont D'Urville (0830053G),22,8,4,2,3,2,0,0
Toulouse,Lyce Bellevue (0310038Y),25,4,15,2,10,2,4,0
Toulouse,Lyce Dodat de Sverac (0310044E),2,1,0,0,0,0,0,0
Toulouse,Lyce Pierre de Fermat (0310036W),83,28,59,18,50,15,21,6
Tourcoing,Lyce Gambetta (0590212K),7,2,0,0,0,0,0,0
Tours,Lyce Descartes (0370035M),46,8,22,2,20,2,4,1
Troyes,Lyce Chrestien De Troyes (0100022V),3,1,0,0,0,0,0,0
Tulle,Lyce Edmond Perrier (0190032G),4,0,2,0,0,0,0,0
Tunis,I.P.E.I.T (99922211),2,0,0,0,0,0,0,0
Valbonne,C.I.V. Valbonne (0061642C),20,7,1,0,1,0,1,0
Valence,Lyce Camille Vernet (0260035X),3,3,0,0,0,0,0,0
Valenciennes,Lyce Henri Wallon (0590221V),70,20,15,3,9,1,4,0
Vanves,Lyce Michelet (0920149M),33,12,14,2,9,1,4,0
Versailles,Lyce Hoche (0782562L),66,26,58,22,55,21,18,5
Versailles,Lyce Sainte Genevive (0783053V),141,36,126,34,121,33,43,11
