ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Paris 13e,ENCPB (0750685M),38,8,33,7,28,7,11,5
Paris 15e,Lyce Buffon (0750693W),38,10,30,8,25,6,10,2
Paris 16e,Lyce Claude Bernard (0750698B),34,10,29,9,28,9,13,4
Paris 16e,Lyce Janson de Sailly (0750699C),78,30,66,29,63,28,14,6
Paris 16e,Lyce Jean-Baptiste Say (0750700D),43,5,28,2,23,2,8,0
Pau,Lyce Louis Barthou (0640055M),29,6,27,6,23,6,7,2
Perpignan,Lyce Franois Arago (0660010C),32,6,31,6,26,5,15,4
Pointe--Pitre,L.G.T.Baimbridge (9710003B),23,8,22,8,22,8,12,3
Poitiers,Lyce Camille Gurin (0860035W),32,7,26,5,24,5,7,2
Quimper,Lyce Auguste Brizeux (0290069T),24,7,20,6,15,5,4,1
Reims,Lyce F. Roosevelt (0510034K),66,9,47,7,30,4,11,0
Rennes,Lyce Chateaubriand (0350710G),44,9,37,9,36,9,10,2
Rennes,Lyce Joliot-Curie (0350029S),23,6,19,4,16,4,6,2
Rennes,Lyce priv Assomption (0350778F),17,2,14,2,11,1,6,0
Rouen,Lyce Pierre Corneille (0760090K),29,7,26,6,24,6,8,1
Saint-Brieuc,Lyce Francois Rabelais (0220056S),26,8,24,8,16,6,3,1
Saint-Cyr-L'Ecole,Lyce Militaire (0780015T),11,2,8,1,8,1,1,0
Saint-Denis,Lyce Paul Eluard (0930125F),13,3,12,3,12,3,8,2
Sainte-Clotilde,Lyce Leconte de Lisle (9740001H),27,5,24,5,19,4,7,1
Saint-Etienne,Lyce Etienne Mimard (0420046X),38,9,28,7,21,4,3,0
Saint-Germain-en-Laye,Lyce Jeanne D'Albret (0782132U),38,10,35,9,33,9,8,4
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),10,1,7,1,6,1,1,1
Saint-Maur-Des-Fosses,Lyce D'Arsonval (0940121W),25,4,22,4,20,4,11,2
Saint-Maur-Des-Fosses,Lyce Marcelin Berthelot (0940120V),72,18,65,16,58,14,18,1
Sceaux,Lyce Lakanal (0920145H),29,5,25,5,24,5,8,2
Strasbourg,Lyce Kleber (0670080Y),48,8,42,7,40,6,16,3
Strasbourg,Lyce Louis Couffignal (0670085D),35,4,31,4,26,4,15,2
Strasbourg,Lyce Ort (0671636P),16,3,15,3,13,3,4,0
Tanger,Centre Pdagogique Rgional (99926911),1,0,0,0,0,0,0,0
Toulon,Lyce Dumont D'Urville (0830053G),32,6,31,6,29,6,11,3
Toulouse,Lyce Bellevue (0310038Y),43,14,36,13,32,12,10,2
Toulouse,Lyce Dodat de Sverac (0310044E),32,10,23,7,23,7,15,5
Toulouse,Lyce Pierre de Fermat (0310036W),27,1,16,1,14,1,3,0
Tours,Lyce Descartes (0370035M),65,16,54,14,49,14,22,6
Tours,Lyce J. de Vaucanson (0371418R),36,6,32,6,28,6,16,4
Troyes,Lyce Chrestien De Troyes (0100022V),18,4,17,3,12,3,3,0
Valbonne,C.I.V. Valbonne (0061642C),26,2,18,1,15,1,4,0
Valenciennes,Lyce Henri Wallon (0590221V),44,5,34,3,30,3,11,1
Vanves,Lyce Michelet (0920149M),36,10,35,9,35,9,9,1
Versailles,Lyce Hoche (0782562L),20,8,18,7,15,7,0,0
Versailles,Lyce Jules Ferry (0782565P),32,4,29,4,27,3,6,1
Versailles,Lyce Sainte Genevive (0783053V),21,4,16,3,14,3,0,0
