ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Lyon,Lycée La Martinière Monplaisir (0692866R),75,15,65,14,50,10,17,1
Lyon Cedex 06,Lycée du Parc (0690026D),139,25,130,23,115,22,33,7
Lyon Cedex 1,Institution des Chartreux (0690564N),5,0,1,0,1,0,0,0
Mantes-La-Jolie,Lycée Saint Exupéry (0782539L),5,0,3,0,3,0,1,0
Marrakech,CPGE privée Koutoubia-Prépas (99697011),7,3,2,1,1,0,0,0
Marrakech,Ibn Ghazi (L0057),7,3,6,3,4,2,0,0
Marrakech,Marrakech Prépas (99926814),6,2,2,0,0,0,0,0
Marrakech - Menara,Lycée IBN TIMIYA (99926511),49,16,37,10,18,5,5,0
Marseille,Lycée Notre Dame de Sion (0131341M),17,3,4,0,4,0,0,0
Marseille Cedex 1,Lycée Thiers (0130040Y),105,18,84,12,61,10,15,2
Maubeuge,Lycée Notre-Dame De Grâce (0592916Z),5,1,0,0,0,0,0,0
Meknès,CARNOT PREPAS (L0006),14,1,10,0,3,0,0,0
Meknès,Lycée Omar Ibn Al Khattab (99928611),45,15,15,5,5,2,4,2
Meknès,Prépa - Sup Ibn Ghazi El Meknassi (99901121),8,1,5,1,3,0,2,0
Melun Cedex,Lycée Jacques Amyot (0770933W),19,5,15,3,9,1,3,0
Metz Cedex 1,Lycée Fabert (0570054Z),73,14,65,10,52,7,14,1
Mohammedia,LNTA (99927711),20,5,8,1,4,0,1,0
Mohammedia,Omar El Khayyam (99928911),6,3,1,0,1,0,0,0
Montpellier,Lycée Notre Dame de La Merci (0340881Y),19,8,7,3,5,2,4,2
Montpellier Cedex 2,Lycée Joffre (0340038G),91,14,75,12,65,11,18,2
Mulhouse,Lycée Albert Schweitzer (0680031P),28,6,20,4,13,3,3,1
Nancy Cedex,Lycée Henri Poincaré (0540038Y),67,14,55,11,41,10,12,1
Nantes,Lycée Saint Stanislas (0440163N),18,6,10,3,7,2,2,0
Nantes Cedex 1,Lycée Clémenceau (0440021J),68,11,63,11,58,11,20,5
