ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Melun,Lyce Jacques Amyot (0770933W),18,5,8,2,6,1,2,0
Metz,Lyce Fabert (0570054Z),56,8,37,2,30,2,11,0
Montpellier,Lyce Joffre (0340038G),70,12,38,7,27,4,7,2
Montpellier,Lyce Notre Dame de La Merci (0340881Y),15,1,10,1,3,0,0,0
Mulhouse,Lyce Albert Schweitzer (0680031P),57,18,15,2,9,2,4,0
Nabeul,IPEIN (99950811),1,1,0,0,0,0,0,0
Nancy,Lyce Henri Poincar (0540038Y),68,16,57,14,44,13,18,4
Nantes,Lyce Clmenceau (0440021J),63,15,54,14,50,12,13,4
Nantes,Lyce Saint Stanislas (0440163N),39,4,18,2,15,2,3,0
Neuilly-Sur-Seine,Lyce Louis Pasteur (0920142E),62,14,46,12,37,10,4,1
Nice,Lyce Massena (0060030A),65,19,56,16,41,12,13,6
Nimes,Lyce Alphonse Daudet (0300021K),34,9,6,1,2,1,1,1
Nimes,Lyce Emmanuel d'Alzon (0300080Z),8,1,4,0,4,0,2,0
Orlans,Lyce Pothier (0450049J),95,23,51,12,38,10,12,5
Orlans,Lyce Saint Charles (0450110A),10,1,0,0,0,0,0,0
Orsay,Lyce Blaise Pascal (0910626L),43,10,40,10,32,9,7,4
Oujda,Lyce Omar Ben Abdelaziz (99927611),27,6,6,2,0,0,0,0
Oujda,Pythagore Prpas (99700011),1,0,0,0,0,0,0,0
Paris,Lyce Jacques Decour (0750668U),34,6,13,2,8,1,3,0
Paris,Lyce Paul Valery (0750679F),36,7,20,4,11,3,5,2
Paris,Lyce Raspail (0750691U),1,0,0,0,0,0,0,0
Paris,Lyce Stanislas (0753840S),78,7,65,7,59,6,20,3
Paris 4e,Lyce Charlemagne (0750652B),81,23,63,17,50,12,10,5
Paris 5e,Lyce Henri IV (0750654D),91,24,85,24,73,22,22,9
Paris 5e,Lyce Louis Le Grand (0750655E),182,47,154,42,127,33,34,11
Paris 6e,Lyce Fnelon (0750660K),74,23,47,13,30,8,5,1
Paris 6e,Lyce Saint-Louis (0750658H),174,60,144,45,122,37,42,16
Paris 8e,Lyce Chaptal (0750663N),71,12,57,9,39,5,10,3
Paris 8e,Lyce Fnelon Sainte-Marie (0753873C),52,12,36,6,24,5,5,2
Paris 9e,Lyce Condorcet (0750667T),59,13,46,11,35,8,7,5
Paris 13e,ENCPB (0750685M),25,10,12,4,8,2,6,1
Paris 15e,Lyce Buffon (0750693W),33,7,20,5,13,2,1,0
Paris 16e,Lyce Claude Bernard (0750698B),27,8,12,3,7,1,0,0
Paris 16e,Lyce Janson de Sailly (0750699C),153,37,127,33,90,27,44,14
Pau,Lyce Louis Barthou (0640055M),15,4,9,2,4,1,1,0
Perpignan,Lyce Franois Arago (0660010C),23,3,10,2,7,1,2,0
Pointe--Pitre,L.G.T.Baimbridge (9710003B),23,12,4,1,3,1,1,0
Poitiers,Lyce Camille Gurin (0860035W),55,12,35,8,24,8,14,6
Pontoise,Lyce Camille Pissarro (0950649P),21,6,4,0,1,0,0,0
Rabat,Etablissement Al Atlas (99693011),1,0,0,0,0,0,0,0
Rabat,Lyce Ibn Al Ghazhi (99951011),13,5,3,0,2,0,1,0
Rabat,Lyce Moulay Youssef (99926611),119,33,63,17,32,5,12,1
Rabat,Lyce priv Al Khawarizmi CPGE (99928311),15,2,2,0,1,0,0,0
Rabat,THALES-PREPAS (99948222),7,2,0,0,0,0,0,0
Reims,Lyce Clmenceau (0510031G),52,11,29,3,21,3,3,0
Rennes,Lyce Chateaubriand (0350710G),90,24,60,18,49,14,19,5
Roubaix,Lyce priv Saint Rmi (0592921E),16,3,6,1,4,1,2,1
Rouen,Lyce Pierre Corneille (0760090K),65,18,49,13,40,12,12,6
