ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Meknès,Lycée Omar Ibn El Khattab CPGE (99928611),6,1,2,0,1,0,1,0
Melun,Lycée Jacques Amyot (0770933W),24,4,22,4,17,4,5,2
Metz,Lycée Fabert (0570054Z),28,5,20,4,13,2,4,0
Mohammedia,LNTA (99927711),4,1,2,1,2,1,0,0
Mohammedia,Omar El Khayyam (99928911),3,1,0,0,0,0,0,0
Montpellier,Lycée Joffre (0340038G),19,8,17,8,17,8,3,1
Montpellier,Lycée Notre Dame de La Merci (0340881Y),21,6,17,4,16,4,4,0
Mulhouse,Lycée Albert Schweitzer (0680031P),55,18,37,16,26,9,8,4
Nabeul,IPEIN (99950811),5,0,2,0,2,0,1,0
Nancy,Lycée Henri Poincaré (0540038Y),23,10,20,9,17,7,5,2
Nantes,Lycée Clémenceau (0440021J),11,5,8,2,7,1,0,0
Nantes,Lycée Saint Stanislas (0440163N),20,6,18,5,17,5,5,2
Neuilly-Sur-Seine,Lycée Louis Pasteur (0920142E),28,7,25,5,25,5,11,3
Nice,Lycée Massena (0060030A),26,9,22,7,21,7,11,4
Nimes,Lycée Alphonse Daudet (0300021K),38,15,31,12,28,11,10,6
Nimes,Lycée Emmanuel d'Alzon (0300080Z),21,4,19,4,17,3,12,1
Orléans,Lycée Pothier (0450049J),82,21,79,19,70,15,17,4
Orléans,Lycée Saint Charles (0450110A),13,0,9,0,8,0,5,0
Orsay,Lycée Blaise Pascal (0910626L),9,2,9,2,9,2,0,0
Oujda,Lycée Omar Ben Abdelaziz (99927611),3,1,2,1,2,1,1,1
Oujda,Médiane Sup (99926815),1,0,0,0,0,0,0,0
Oujda,Pythagore Prépas (99700011),5,4,1,0,0,0,0,0
Paris,Lycée Jacques Decour (0750668U),28,11,25,11,23,10,12,4
Paris,Lycée Paul Valery (0750679F),29,8,27,8,24,6,8,5
Paris,Lycée Stanislas (0753840S),35,4,30,4,28,4,8,3
Paris 4e,Lycée Charlemagne (0750652B),21,7,16,7,16,7,2,1
Paris 5e,Lycée Henri IV (0750654D),8,4,4,3,4,3,0,0
Paris 5e,Lycée Louis Le Grand (0750655E),28,17,25,15,24,15,5,2
Paris 6e,Lycée Fénelon (0750660K),38,15,33,14,31,13,5,0
Paris 6e,Lycée Saint-Louis (0750658H),61,28,47,25,43,24,10,7
Paris 8e,Lycée Chaptal (0750663N),33,9,27,9,23,9,5,1
Paris 8e,Lycée Fénelon Sainte-Marie (0753873C),37,8,36,7,32,7,7,2
Paris 9e,Lycée Condorcet (0750667T),26,10,21,8,19,8,6,4
Paris 13e,ENCPB (0750685M),28,11,27,11,21,9,5,4
Paris 15e,Lycée Buffon (0750693W),11,3,9,2,8,2,1,0
Paris 16e,Lycée Claude Bernard (0750698B),22,9,16,5,13,5,4,1
Paris 16e,Lycée Janson de Sailly (0750699C),78,19,69,18,65,17,17,4
Pau,Lycée Louis Barthou (0640055M),28,7,26,7,15,3,4,0
Perpignan,Lycée François Arago (0660010C),30,10,26,9,21,8,7,3
Pointe-à-Pitre,L.G.T.Baimbridge (9710003B),20,10,17,8,15,8,4,1
Poitiers,Lycée Camille Guérin (0860035W),33,8,31,8,23,4,6,1
Pontoise,Lycée Camille Pissarro (0950649P),19,7,15,6,11,4,5,3
Rabat,Etablissement Al Atlas (99693011),5,2,4,2,3,1,3,1
Rabat,High Tech (99927812),11,4,2,2,0,0,0,0
Rabat,Lycée Ibn Al Ghazhi (99951011),18,2,9,1,3,0,0,0
Rabat,Lycée Moulay Youssef (99926611),9,1,7,1,5,1,2,1
Rabat,Lycée privé Al Khawarizmi CPGE (99928311),23,6,12,1,7,1,6,1
Rabat,THALES-PREPAS (99948222),4,4,3,3,3,3,3,3
Reims,Lycée Clémenceau (0510031G),59,21,52,19,46,16,12,7
Rennes,Lycée Chateaubriand (0350710G),32,13,26,13,24,13,10,8
Roubaix,Lycée privé Saint Rémi (0592921E),20,6,18,6,16,6,9,4
Rouen,Lycée Pierre Corneille (0760090K),21,10,19,10,18,9,4,2
Saint-Brieuc,Lycée Francois Rabelais (0220056S),18,2,13,2,10,1,2,0
Saint-Cyr-L'Ecole,Lycée Militaire (0780015T),5,1,5,1,5,1,0,0
Saint-Denis,Lycée Paul Eluard (0930125F),10,3,7,2,5,1,1,0
Sainte-Clotilde,Lycée Leconte de Lisle (9740001H),19,4,19,4,17,2,3,0
Saint-Etienne,Lycée Claude Fauriel (0420041S),43,18,34,15,30,14,8,4
Saint-Germain-en-Laye,Lycée Jeanne D'Albret (0782132U),17,4,17,4,17,4,4,0
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),3,1,3,1,3,1,0,0
Saint-Maur-Des-Fosses,Lycée Marcelin Berthelot (0940120V),27,8,21,5,19,5,3,2
Savigny-Sur-Orge,Lycée Jean Baptiste Corot (0910627M),28,11,22,9,20,8,2,2
Sceaux,Lycée Lakanal (0920145H),20,4,14,4,14,4,1,0
Sfax,IPEIS (99951111),3,0,0,0,0,0,0,0
Strasbourg,Lycée Kleber (0670080Y),49,20,42,18,34,13,7,3
TANGER,GROUPE ASSAFA (SOPHOS) (L0005),13,5,7,3,4,1,4,1
Tanger,Centre Pédagogique Régional (99926911),6,4,3,3,3,3,0,0
Tanger,Lycée Al Bayrouni (99901131),14,5,8,4,6,4,4,3
Toulon,Lycée Dumont D'Urville (0830053G),15,5,15,5,12,5,4,3
Toulouse,Lycée Bellevue (0310038Y),11,7,10,7,10,7,0,0
Toulouse,Lycée Pierre de Fermat (0310036W),30,7,21,6,19,5,4,0
Tours,Lycée Descartes (0370035M),30,7,26,6,26,6,4,1
Troyes,Lycée Chrestien De Troyes (0100022V),11,1,10,1,7,0,4,0
Tunis,IPEI El Manar (99951211),2,0,2,0,1,0,1,0
Tunis,I.P.E.I.T (99922211),4,0,4,0,4,0,2,0
Valbonne,C.I.V. Valbonne (0061642C),12,4,8,3,8,3,2,1
Valence,Lycée Camille Vernet (0260035X),26,8,20,5,12,2,7,1
Valenciennes,Lycée Henri Wallon (0590221V),50,15,43,12,35,12,9,3
Vannes,Lycée Alain René Lesage (0560051B),18,3,18,3,14,3,11,2
Vanves,Lycée Michelet (0920149M),19,6,19,6,18,5,3,0
Versailles,Lycée Hoche (0782562L),24,10,23,9,23,9,5,2
Versailles,Lycée Sainte Geneviève (0783053V),35,11,25,10,25,10,3,1
