ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Aix-En-Provence,Lycée Vauvenargues (0130003H),46,4,32,1,31,1,4,1
Ajaccio,Lycée Laetitia Bonaparte (6200002H),20,7,17,4,17,4,2,1
Angers Cedex 01,Lycée Chevrollier (0490003M),41,6,30,3,30,3,2,0
Armentières,Lycée Gustave Eiffel (0590011S),36,0,16,0,14,0,3,0
Aubervilliers,Lycée Le Corbusier (0930117X),12,1,4,1,4,1,1,0
Avignon,Lycée Philippe de Girard (0840005Z),17,3,4,0,4,0,1,0
Baie Mahault/guadeloupe,Lycée Charles Coeffin (9710004C),22,0,2,0,1,0,0,0
Belfort,Lycée Raoul Follereau (0900004R),34,6,18,3,15,3,2,0
Besançon,Lycée Jules Haag (0250011B),38,3,21,1,19,1,5,0
Bordeaux,Lycée Gustave Eiffel (0330028B),85,18,66,15,63,13,5,0
Brest,Lycée La Croix Rouge (0290335G),31,4,16,2,13,0,0,0
Brest Cedex 2,Lycée Vauban (0290012F),21,1,9,0,9,0,1,0
Cachan,Lycée Gustave Eiffel (0940111K),38,3,37,3,37,3,0,0
Caen,Lycée Jules Dumont d'Urville (0142131R),29,3,20,2,18,2,1,0
Chalon-Sur-Saône,Lycée Nicephore Niepce (0710012C),20,3,12,2,11,2,2,1
Champagne-Sur-Seine,Lycée La Fayette (0770920G),17,0,5,0,4,0,1,0
Champigny-Sur-Marne,Lycée Langevin-Wallon (0940113M),17,0,4,0,4,0,1,0
Clichy,Lycée Newton-Enrea (0920136Y),20,1,9,0,9,0,1,0
Cluny,Lycée La Prat's (0710023P),27,1,23,1,18,1,3,0
Dijon,Lycée Gustave Eiffel (0211033J),46,9,16,4,10,2,1,0
Dunkerque,Lycée De L'Europe (0590072H),9,2,0,0,0,0,0,0
Grenoble,Lycée Vaucanson (0380033E),81,12,32,4,28,2,3,0
Le Havre,Lycée Robert Schuman (0760058A),15,3,10,0,8,0,1,0
Le Mans Cedex 1,Lycée Touchard Washington (0720033V),23,2,20,2,20,2,6,1
Lille,Lycée César Baggio (0590121L),45,7,13,2,10,2,0,0
Limoges,Lycée Turgot (0870056N),37,7,32,6,29,5,9,1
Lyon,Lycée aux Lazaristes (0690522T),2,0,0,0,0,0,0,0
Lyon,Lycée La Martinière Monplaisir (0692866R),82,10,71,7,70,7,5,0
Marseille Cedex 10,Lycée Jean Perrin (0130053M),77,10,54,7,52,6,7,0
Massy Cedex,Lycée Parc de Vilgenis (0910727W),14,1,6,0,6,0,1,0
Meaux,Lycée Pierre de Coubertin (0770931U),25,4,12,1,9,1,2,0
Metz,Lycée Louis De Cormontaigne (0573227Y),18,1,3,0,3,0,0,0
Montluçon,Lycée Paul Constans (0030026M),22,2,15,0,14,0,4,0
Montpellier,Lycée Jean Mermoz (0340042L),38,5,30,4,28,4,3,0
Nancy,Lycée Henri Loritz (0540042C),36,1,26,1,25,1,2,0
Nantes,Lycée Eugène Livet (0440029T),72,5,61,5,61,5,7,1
Nevers,Lycée Jules Renard (0580031U),20,3,12,2,12,2,5,1
Nice,Lycée Les Eucalyptus (0060075Z),69,7,33,5,28,4,4,0
Nimes,Lycée Dhuoda (0300026R),31,4,16,2,16,2,4,0
Nogent Sur Oise,Lycée Marie Curie (0600020W),47,6,41,6,38,6,0,0
Nouméa,Lycée Jules Garnier (9830003L),25,5,19,4,19,4,6,1
Orléans,Lycée Benjamin Franklin (0450051L),23,2,8,0,8,0,2,0
Paris,Lycée Raspail (0750691U),87,13,49,7,46,6,8,0
Paris,Lycée Voltaire (0750675B),33,4,13,1,12,1,4,1
Paris 11e,Lycée Dorian (0750676C),35,1,20,0,19,0,6,0
Paris 16e,Lycée Jean-Baptiste Say (0750700D),27,6,26,6,26,6,2,1
Paris 8e,Lycée Chaptal (0750663N),36,5,34,5,34,5,2,0
Pringy,Lycée Louis Lachenal (0740006E),36,5,27,2,26,2,6,1
Reims Cedex,Lycée Franklin Roosevelt (0510034K),31,5,13,2,10,2,2,0
Rennes,Lycée Joliot-Curie (0350029S),42,8,34,5,34,5,5,0
Rouen,Lycée Blaise Pascal (0760095R),17,2,8,1,5,1,1,0
Rueil-Malmaison,Lycée Passy Buzenval (0920928J),28,2,26,1,25,1,2,0
Saint-Etienne,Lycée Etienne Mimard (0420046X),38,9,14,3,12,3,1,0
Saint-Sylvain D'Anjou,Lycée Saint Aubin La Salle (0492420P),20,6,12,3,11,3,2,1
Sfax,IPEIS (99951111),1,0,0,0,0,0,0,0
Ste Clotilde/la Reunion,Lycée Lislet-Geoffroy (9740054R),18,2,1,0,1,0,0,0
Strasbourg,Lycée Louis Couffignal (0670085D),55,3,24,1,23,1,5,0
Tarbes,Lycée Jean Dupuy (0650027B),27,4,4,0,4,0,0,0
Thiers,Lycée Jean Zay (0630069H),17,2,10,0,6,0,1,0
Toulon,Lycée Rouvière (0830056K),32,3,27,3,24,3,5,1
Toulouse,Lycée Déodat de Séverac (0310044E),42,2,33,1,32,1,3,0
Tours,Lycée J. de Vaucanson (0371418R),17,4,16,4,15,4,1,0
Vannes,Lycée Alain René Lesage (0560051B),22,2,17,1,15,1,6,1
Versailles,Lycée Jules Ferry (0782565P),92,8,71,6,69,6,6,0
Versailles Cedex,Lycée Sainte Geneviève (0783053V),30,3,28,3,28,3,1,0
Voiron,Lycée Ferdinand Buisson (0380092U),29,8,20,4,20,4,8,2
