ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Nice Cedex 1,Lycée Massena (0060030A),45,9,36,9,26,4,5,0
Nîmes Cedex,Lycée Alphonse Daudet (0300021K),29,8,21,5,16,4,6,2
Nouméa,Lycée Jules Garnier (9830003L),21,7,17,7,17,7,8,4
Orléans Cedex 1,Lycée Pothier (0450049J),58,6,34,1,31,1,11,0
Orsay,Lycée Blaise Pascal (0910626L),46,9,42,8,40,7,15,3
Paris,Lycée Raspail (0750691U),32,5,18,2,15,2,6,1
Paris,Lycée Saint-Louis (0750658H),222,70,200,61,186,55,63,22
Paris,Lycée Janson de Sailly (0750699C),100,22,92,17,80,16,17,3
Paris 8e,Lycée Fénelon Sainte-Marie (0753873C),41,7,41,7,40,7,6,2
Paris Cedex 05,Lycée Louis Le Grand (0750655E),42,9,42,9,40,8,9,3
Paris Cedex 06,Lycée Stanislas (0753840S),92,9,92,9,91,9,20,3
Paris Cedex 09,Lycée Jacques Decour (0750668U),85,22,50,16,42,13,15,6
Paris Cedex 12,Lycée Paul Valery (0750679F),32,5,13,1,9,0,4,0
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),40,4,17,1,11,0,2,0
Paris 15e,Lycée Buffon (0750693W),37,11,22,5,17,3,5,1
Paris 16e,Lycée Claude Bernard (0750698B),82,20,53,13,40,12,9,3
Paris 16e,Lycée Jean-Baptiste Say (0750700D),29,8,27,7,21,6,6,2
Paris 8e,Lycée Chaptal (0750663N),89,27,76,24,66,22,21,5
Paris 9e,Lycée Condorcet (0750667T),39,14,38,13,38,13,16,4
Pau Cedex,Lycée Louis Barthou (0640055M),36,9,13,2,9,2,1,0
Perpignan,Lycée François Arago (0660010C),38,10,30,8,21,5,4,1
Pointe-à-Pitre Cedex (guadeloupe),Lycée Baimbridge (9710003B),30,14,3,2,1,1,1,1
Poitiers Cedex,Lycée Camille Guérin (0860035W),42,12,28,6,18,2,6,0
Quimper,Lycée Auguste Brizeux (0290069T),24,5,11,1,7,1,1,1
Rabat,Lycée Ibn Al Ghazi (99951011),23,6,2,0,1,0,0,0
Rabat,Lycée Moulay Youssef (99926611),16,10,2,0,2,0,1,0
Reims Cedex,Lycée Franklin Roosevelt (0510034K),60,14,29,5,22,3,9,0
Remire-Montjoly,Lycée Léon-Gontran Damas (9730196A),11,3,3,1,2,0,0,0
Rennes,Lycée Joliot-Curie (0350029S),34,9,29,8,25,6,9,1
Rennes,Lycée privé Assomption (0350778F),11,0,9,0,6,0,0,0
Rennes Cedex 7,Lycée Chateaubriand (0350710G),73,17,69,15,60,11,18,2
Rouen Cedex,Lycée Pierre Corneille (0760090K),44,4,43,4,41,4,11,1
Saint-Brieuc Cedex,Lycée Francois Rabelais (0220056S),26,5,13,4,10,3,2,0
Saint-Cyr-L'Ecole Cedex,Lycée Militaire de Saint-Cyr (0780015T),10,0,7,0,6,0,1,0
Saint-Denis,Lycée Paul Eluard (0930125F),16,4,1,1,0,0,0,0
Sainte-Clotilde Cedex (la Réunion),Lycée Leconte de Lisle (9740001H),14,2,5,0,4,0,1,0
Saint-Etienne,Lycée Etienne Mimard (0420046X),36,6,17,2,11,1,3,1
Saint-Germain-En-Laye Cedex,Lycée Jeanne D'Albret (0782132U),34,10,20,5,17,4,5,2
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),2,0,2,0,1,0,0,0
Saint-Maur-Des-Fosses,Lycée D'Arsonval (0940121W),30,2,13,0,9,0,2,0
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),89,23,82,22,76,21,26,10
Sceaux Cedex,Lycée Lakanal (0920145H),45,8,43,7,35,6,8,1
Sophia Antipolis Cedex,Lycée international de Valbonne (0061642C),42,11,33,7,25,6,7,2
Strasbourg,Lycée Louis Couffignal (0670085D),26,3,16,1,9,0,4,0
Strasbourg,Lycée Ort (0671636P),20,5,11,1,8,0,5,0
Strasbourg Cedex,Lycée Kleber (0670080Y),110,25,89,22,73,19,16,4
Tanger,Lycée Moulay Hassan (99926911),5,1,0,0,0,0,0,0
Toulon Cedex,Lycée Dumont D'Urville (0830053G),14,2,7,1,5,1,0,0
Toulouse,Lycée Bellevue (0310038Y),40,11,33,10,21,8,3,1
Toulouse,Lycée Déodat de Séverac (0310044E),42,9,35,8,28,4,5,1
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),41,4,39,4,39,4,10,0
Tours Cedex 1,Lycée Descartes (0370035M),74,14,57,9,50,9,15,5
Troyes,Lycée Chrestien De Troyes (0100022V),21,4,8,0,6,0,1,0
Tunis,IPEST (99926211),12,3,9,2,8,2,4,1
Valenciennes Cedex,Lycée Henri Wallon (0590221V),46,10,33,6,22,5,6,1
Vanves Cedex,Lycée Michelet (0920149M),38,12,37,11,35,10,9,3
Versailles,Lycée Jules Ferry (0782565P),36,2,26,1,21,1,3,0
Versailles Cedex,Lycée Hoche (0782562L),44,5,44,5,44,5,6,2
Versailles Cedex,Lycée privé Sainte Geneviève (0783053V),44,7,44,7,44,7,20,4
