ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),33,4,31,4,23,2,12,1
Aix-En-Provence Cedex 5,Lycée Paul Cézanne (0130002G),64,22,60,21,48,17,19,9
Albi,Lycée Laperouse (0810006S),21,12,17,11,14,9,8,6
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),44,15,24,8,21,7,13,3
Angers Cedex 01,Lycée Henri Bergson (0491966W),26,6,15,1,14,1,9,1
Annecy Cedex,Lycée Berthollet (0740003B),65,24,56,19,45,15,24,7
Annonay,Lycée Saint Denis (0071126L),11,4,6,2,5,1,3,1
Antony,Lycée Sainte Marie (0920904H),33,7,21,4,20,4,8,1
Arras,Lycée Robespierre (0620006V),18,9,6,2,2,0,0,0
Avignon,Lycée Saint Joseph (0840072X),27,10,15,6,14,6,11,5
Balma,Lycée Saliège (0312408Z),73,21,58,17,51,15,19,4
Bayonne,Lycée René Cassin (0640010N),45,12,40,11,37,10,18,8
Beaucamps-Ligny,Lycée Sainte Marie (0592932S),25,6,16,3,13,2,8,1
Belfort,Lycée Condorcet (0900002N),26,8,15,4,11,4,7,2
Besançon,Lycée Victor Hugo (0250007X),50,14,41,13,35,12,19,7
Bordeaux Cedex,Lycée Camille Jullian (0330023W),38,13,38,13,32,10,25,7
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),77,28,76,28,65,27,25,16
Bourg-En-Bresse,Lycée Lalande (0010013J),22,6,16,6,15,6,5,2
Bourges,Lycée Alain-Fournier (0180005H),15,3,5,1,4,1,0,0
Brest,Lycée Sainte Anne (0290338K),12,6,4,2,3,1,1,1
Brest Cedex 2,Lycée de Kerichen (0290007A),61,22,49,19,40,15,7,1
Caen,Lycée Privé Sainte-Marie (0141164P),11,4,1,1,0,0,0,0
Caen,Lycée Victor Hugo (0142059M),58,20,40,16,35,16,10,5
Chartres,Lycée Marceau (0280007F),30,10,18,6,16,6,11,3
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),62,18,56,15,49,14,19,4
Compiègne Cedex,Lycée Pierre d'Ailly (0600014P),27,8,16,3,12,3,4,0
Dijon,Lycée Carnot (0210015C),68,32,56,27,52,26,27,16
Douai,Lycée Albert Chatelet (0590063Y),35,14,18,6,13,3,6,2
Dunkerque Cedex,Lycée Jean Bart (0590071G),24,12,17,9,16,8,8,4
Enghien-Les-Bains,Lycée Gustave Monod (0950644J),20,12,11,8,7,6,0,0
Evreux,Lycée Aristide Briand (0270016W),16,7,11,6,10,6,5,3
