ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Paris 5e,Lycée Lavoisier (0750656F),32,9,32,9,27,9,14,4
Paris 6e,Lycée Fénelon (0750660K),13,6,5,3,5,3,1,1
Paris 8e,Lycée Chaptal (0750663N),59,18,53,16,52,16,12,3
Paris 9e,Lycée Condorcet (0750667T),35,12,29,10,25,10,9,3
Pau Cedex,Lycée Louis Barthou (0640055M),44,20,38,18,27,12,6,2
Périgueux Cedex,Lycée Bertran de Born (0240024W),27,7,24,6,20,5,13,3
Perpignan,Lycée François Arago (0660010C),33,18,26,15,21,14,6,6
Pointe-à-Pitre Cedex (guadeloupe),Lycée Baimbridge (9710003B),13,6,12,6,11,6,7,3
Poitiers Cedex,Lycée Camille Guérin (0860035W),26,12,22,11,21,10,6,2
Quimper,Lycée Auguste Brizeux (0290069T),21,8,19,8,17,8,13,7
Reims Cedex,Lycée Franklin Roosevelt (0510034K),29,16,23,13,20,12,10,5
Rennes,Lycée privé Assomption (0350778F),18,9,16,9,13,6,6,3
Rennes Cedex 7,Lycée Chateaubriand (0350710G),23,7,19,7,18,6,2,0
Rouen Cedex,Lycée Pierre Corneille (0760090K),35,9,29,6,28,6,7,1
Saint-Brieuc Cedex,Lycée Francois Rabelais (0220056S),17,8,17,8,15,8,2,2
Sainte-Clotilde Cedex (la Réunion),Lycée Leconte de Lisle (9740001H),22,13,20,11,19,10,11,8
Saint-Etienne Cedex 1,Lycée Claude Fauriel (0420041S),33,9,27,8,24,8,6,1
Saint-Germain-En-Laye Cedex,Lycée Jeanne D'Albret (0782132U),24,11,23,11,23,11,3,2
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),2,0,2,0,2,0,0,0
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),37,11,31,11,28,10,8,3
Saint-Nazaire,Lycée Aristide Briand (0440069L),20,8,19,8,17,8,6,2
Saint-Quentin,Lycée Pierre de La Ramée (0020049T),16,5,11,2,9,2,2,1
Salon-De-Provence,Lycée de l'Emperi (0130160D),33,10,26,8,17,7,6,2
Savigny-Sur-Orge Cedex,Lycée Jean Baptiste Corot (0910627M),25,8,19,6,18,6,9,2
Sceaux Cedex,Lycée Lakanal (0920145H),29,14,23,11,23,11,7,2
Sophia Antipolis Cedex,Lycée international de Valbonne (0061642C),38,15,36,15,32,15,18,9
Strasbourg Cedex,Lycée Kleber (0670080Y),38,15,34,14,32,14,11,4
Tarbes Cedex,Lycée Théophile Gautier (0650025Z),23,7,16,5,11,4,3,0
Toulon Cedex,Lycée Dumont D'Urville (0830053G),48,19,42,16,38,14,21,8
Toulouse,Lycée Bellevue (0310038Y),16,10,14,10,14,10,0,0
Toulouse,Lycée Déodat de Séverac (0310044E),44,13,43,13,41,12,11,4
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),20,9,14,7,14,7,0,0
Tours Cedex 1,Lycée Descartes (0370035M),45,18,42,17,39,16,13,6
Troyes,Lycée Chrestien De Troyes (0100022V),21,8,20,8,16,6,8,3
Tulle,Lycée Edmond Perrier (0190032G),9,5,9,5,8,4,2,2
Tunis,I.P.E.I.T (99922211),2,2,0,0,0,0,0,0
Tunis,Université Libre de Tunis (U0020),1,1,0,0,0,0,0,0
Valence Cedex,Lycée Camille Vernet (0260035X),11,5,11,5,9,5,6,5
Valenciennes Cedex,Lycée Henri Wallon (0590221V),46,14,46,14,42,14,16,6
Vanves Cedex,Lycée Michelet (0920149M),9,2,9,2,9,2,0,0
Versailles Cedex,Lycée Hoche (0782562L),12,4,11,4,11,4,1,0
Versailles Cedex,Lycée privé Sainte Geneviève (0783053V),16,5,9,2,9,2,5,1
