ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
VANNES,LESAGE,23,9,4,1,2,0,0,0
LE HAVRE,FRANCOIS 1ER,21,7,6,2,4,1,2,1
ROUEN,CORNEILLE,63,19,40,11,40,11,17,6
MULHOUSE,A. SCHWEITZER,23,1,7,0,6,0,5,0
STRASBOURG,FUSTEL DE COULANGES,12,0,1,0,1,0,0,0
STRASBOURG,KLEBER,101,27,69,16,60,14,29,7
TOULOUSE,BELLEVUE,18,5,11,4,10,3,3,1
TOULOUSE,PIERRE DE FERMAT,132,41,93,26,82,21,27,7
CLERMONT-FERR.,GODEFROY DE BOUILLON,4,0,0,0,0,0,0,0
ST CYR L'ECOLE,LYCEE MILITAIRE,1,0,0,0,0,0,0,0
MONTPELLIER,LA MERCI,8,2,1,0,0,0,0,0
MARSEILLE,NOTRE DAME DE SION,10,4,2,0,2,0,1,0
ROUBAIX,SAINT REMI,4,1,0,0,0,0,0,0
LYON,JEAN PERRIN,7,2,2,1,2,1,0,0
CHAMBERY,VAUGELAS,21,4,12,3,7,1,0,0
ANGOULEME,GUEZ DE BALZAC,14,0,4,0,4,0,2,0
EVRY,DU PARC DES LOGES,7,0,4,0,4,0,3,0
JARVILLE,LA MALGRANGE,3,0,1,0,1,0,0,0
MANTES-LA-JOLIE,SAINT-EXUPERY,17,4,2,0,2,0,2,0
ORLEANS,SAINT CHARLES,4,0,0,0,0,0,0,0
NIMES,E. D'ALZON,7,2,1,0,1,0,1,0
PARIS,URANIE,1,0,1,0,1,0,0,0
SAINT-BRIEUC,SAINT-CHARLES,3,2,0,0,0,0,0,0
CASABLANCA,MOHAMED V,1,0,0,0,0,0,0,0
MARRAKECH,IBNOU TAIMIYA,6,0,0,0,0,0,0,0
RABAT,MOULAY YOUSSEF,2,0,0,0,0,0,0,0
TANGER,CENTRE PEDAGOGIQUE REGION,1,0,0,0,0,0,0,0
BRESSUIRE,SAINT JOSEPH,3,1,0,0,0,0,0,0
SAINTE CLOTILDE,LECONTE DE LISLE,8,2,2,0,2,0,1,0
FORT DE FRANCE,DE BELLEVUE,6,2,0,0,0,0,0,0
POINTE A PITRE,BAIMBRIDGE,6,1,0,0,0,0,0,0
MEKNES,OMAR IBN EL KHATTAB,1,0,0,0,0,0,0,0
