ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AIX-EN-PROVENCE,VAUVENARGUES,30,2,26,2,20,2,1,0
AVIGNON,P. DE GIRARD,22,1,6,1,6,1,3,1
MARSEILLE,JEAN PERRIN,70,6,47,6,40,6,3,0
NOGENT SUR OISE,MARIE CURIE,33,1,26,0,22,0,0,0
BELFORT,RAOUL FOLLEREAU,28,4,16,3,13,3,3,1
BESANCON,JULES HAAG,30,2,23,2,23,2,8,1
BORDEAUX,GUSTAVE EIFFEL,66,5,49,2,48,2,3,0
CAEN,DUMONT D'URVILLE,26,3,16,2,13,1,6,0
CHAMPIGNY,LANGEVIN-WALLON,15,3,2,0,2,0,0,0
MONTLUCON,PAUL CONSTANS,14,2,7,1,7,1,0,0
THIERS,TECHNIQUE D'ETAT,23,3,14,1,13,1,4,0
CHALONS SUR SAONE,NIEPCE,27,4,14,2,14,2,6,0
CLUNY,DE CLUNY "LA PRAT'S",27,2,17,2,15,2,1,1
DIJON,GUSTAVE EIFFEL,31,0,18,0,14,0,6,0
NEVERS,JULES RENARD,14,2,11,2,11,2,1,0
ARGONAY,LACHENAL,19,4,17,3,17,3,5,0
GRENOBLE,VAUCANSON,35,0,26,0,22,0,9,0
VOIRON,F. BUISSON,22,2,16,1,14,0,2,0
ARMENTIERES,GUSTAVE EIFFEL,38,3,26,1,21,0,2,0
DUNKERQUE,DE L'EUROPE,24,1,8,1,8,1,3,0
LILLE,CESAR BAGGIO,47,1,22,0,19,0,3,0
VALENCIENNES,DU HAINAUT,16,1,1,0,1,0,0,0
LIMOGES,TURGOT,23,1,15,1,15,1,3,0
LYON,LA MARTINIERE,68,6,58,5,53,5,9,2
SAINT-ETIENNE,E. MIMARD,23,2,12,0,11,0,3,0
MONTPELLIER,JEAN MERMOZ,30,2,29,2,28,1,6,0
NIMES,TECHNIQUE D'ETAT,31,3,16,1,14,1,3,0
METZ,LOUIS CORMONTAIGNE,19,0,13,0,10,0,1,0
NANCY,LORITZ,29,1,20,1,19,1,0,0
ANGERS,CHEVROLLIER,28,2,25,2,24,2,5,0
LE MANS,GABRIEL TOUCHARD,26,3,18,0,14,0,3,0
NANTES,EUGENE LIVET,70,2,55,2,53,2,9,1
NICE,LES EUCALYPTUS,61,5,42,2,36,2,7,0
TOULON,M. ROUVIERE,29,5,20,4,19,3,0,0
ORLEANS,B. FRANKLIN,37,2,28,1,22,1,1,0
VIERZON,HENRI BRISSON,10,0,2,0,2,0,0,0
AUBERVILLIERS,LE CORBUSIER,12,0,2,0,2,0,0,0
CACHAN,GUSTAVE EIFFEL,26,4,22,3,22,3,2,0
CHAMPAGNE SUR SEINE,LA FAYETTE,24,1,15,1,13,1,5,1
CLICHY,NEWTON - E.N.R.E.A.,16,1,7,0,7,0,1,0
MEAUX,PIERRE DE COUBERTIN,14,2,1,0,0,0,0,0
PARIS 08,CHAPTAL,41,3,35,2,29,2,4,0
PARIS 11,DORIAN,19,3,11,2,9,1,1,0
PARIS 11,VOLTAIRE,35,2,16,0,15,0,4,0
PARIS 14,RASPAIL,59,5,45,4,43,3,5,1
PARIS 16,JEAN BAPTISTE SAY,26,3,24,2,22,2,2,0
VERSAILLES,JULES FERRY,64,2,41,0,39,0,9,0
POITIERS,LOUIS ARMAND,29,6,21,5,17,5,1,1
CHALONS EN CHAMPAGNE,OEHMICHEN,14,3,5,1,4,1,0,0
REIMS,FRANKLIN ROOSEVELT,25,0,14,0,13,0,2,0
BREST,LA CROIX ROUGE,21,1,3,0,3,0,2,0
BREST,VAUBAN,42,3,26,2,24,2,6,0
RENNES,JOLIOT CURIE,28,1,19,1,15,1,0,0
VANNES,LESAGE,24,4,23,3,20,2,3,0
ROUEN,BLAISE PASCAL,21,0,15,0,12,0,4,0
STRASBOURG,COUFFIGNAL,47,4,27,2,24,2,6,2
TARBES,JEAN DUPUY,14,2,6,1,6,1,3,0
TOULOUSE,DEODAT DE SEVERAC,35,2,29,1,25,0,4,0
BAIE-MAHAULT,CHARLES COEFFIN,13,2,1,0,1,0,0,0
ANGERS,CHARLES DE FOUCAULD,19,1,14,1,13,1,0,0
LE HAVRE,ROBERT SCHUMAN,22,1,9,0,8,0,4,0
AJACCIO,LAETITIA BONAPARTE,11,4,3,1,3,1,1,0
NOUMEA,JULES GARNIER,9,3,5,1,5,1,0,0
MASSY,PARC DE VILGENIS,21,1,12,0,11,0,4,0
