ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Maubeuge,Lycée Notre-Dame De Grâce (0592916Z),23,7,16,5,11,4,5,1
Meknès,CARNOT PREPAS (L0006),17,8,10,7,6,5,3,2
Meknès,First Preparatory Classes of High Schools Private (L0099),34,16,24,13,21,12,16,9
Meknès,Lycée Omar Ibn Al Khattab (99928611),4,1,2,0,2,0,2,0
Melun Cedex,Lycée Jacques Amyot (0770933W),28,14,28,14,26,12,10,5
Metz Cedex 1,Lycée Fabert (0570054Z),35,13,31,10,27,7,11,5
Mohammedia,Lycée Technique - Mohammadia (99927711),5,2,3,1,2,0,2,0
Montpellier,Lycée Notre Dame de La Merci (0340881Y),5,4,3,3,2,2,1,1
Montpellier Cedex 2,Lycée Joffre (0340038G),19,8,11,5,9,4,2,1
Mulhouse,Lycée Albert Schweitzer (0680031P),24,6,22,6,17,5,6,3
Nancy Cedex,Lycée Henri Poincaré (0540038Y),4,3,4,3,3,2,0,0
Nantes,Lycée Saint Stanislas (0440163N),19,7,18,6,14,6,4,0
Nantes Cedex 1,Lycée Clémenceau (0440021J),5,4,3,3,3,3,2,2
Nice Cedex 1,Lycée Massena (0060030A),9,4,8,4,8,4,0,0
Nîmes Cedex,Lycée Alphonse Daudet (0300021K),28,9,28,9,28,9,1,0
Nîmes Cedex,Lycée Emmanuel d'Alzon (0300080Z),29,9,26,8,19,5,13,2
Orléans,Lycée Saint Charles (0450110A),9,1,6,0,3,0,2,0
Orléans Cedex 1,Lycée Pothier (0450049J),49,13,47,12,39,9,14,2
Oujda,Lycée Omar Ibn Abdelaziz (99927611),5,3,1,1,0,0,0,0
Oujda,Pythagore Prépas (99700011),16,9,7,3,5,3,2,1
Papeete,Université de Polynésie Française (35600002),7,3,7,3,7,3,2,0
Paris,Lycée Saint-Louis (0750658H),11,6,9,5,8,4,2,2
Paris,Lycée Janson de Sailly (0750699C),14,11,8,7,8,7,0,0
Paris 4e,Lycée Charlemagne (0750652B),8,5,4,2,4,2,1,1
Paris 8e,Lycée Fénelon Sainte-Marie (0753873C),32,11,32,11,32,11,5,1
Paris Cedex 05,Lycée Louis Le Grand (0750655E),3,2,2,1,2,1,1,0
Paris Cedex 06,Lycée Stanislas (0753840S),1,0,1,0,1,0,0,0
Paris Cedex 09,Lycée Jacques Decour (0750668U),17,11,13,9,11,7,5,4
Paris Cedex 12,Lycée Paul Valéry (0750679F),30,5,26,5,24,4,13,2
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),20,5,19,5,14,4,2,2
Paris 15e,Lycée Buffon (0750693W),11,3,11,3,11,3,2,0
Paris 16e,Lycée Claude Bernard (0750698B),17,9,13,8,12,7,4,3
Paris 6e,Lycée Fénelon (0750660K),12,5,8,3,8,3,3,0
Paris 8e,Lycée Chaptal (0750663N),36,13,30,10,28,10,8,2
Paris 9e,Lycée Condorcet (0750667T),15,4,12,2,11,2,2,1
Pau Cedex,Lycée Louis Barthou (0640055M),21,5,19,4,14,3,5,2
Perpignan,Lycée François Arago (0660010C),17,1,15,1,11,1,7,0
Pointe-à-Pitre Cedex (guadeloupe),Lycée Baimbridge (9710003B),24,5,21,4,20,4,8,4
Poitiers Cedex,Lycée Camille Guérin (0860035W),24,8,21,7,17,4,7,2
Pontoise,Lycée Camille Pissarro (0950649P),23,6,23,6,22,6,8,3
Rabat,Lycée Ibn Al Ghazi (99951011),62,23,30,13,22,11,15,10
Rabat,Lycée Moulay Youssef (99926611),4,0,3,0,3,0,0,0
Rabat,Lycée privé Al Khawarizmi CPGE (99928311),29,3,11,1,10,1,8,0
Reims Cedex 2,Lycée Clémenceau (0510031G),69,16,69,16,56,14,17,6
Rennes Cedex 7,Lycée Chateaubriand (0350710G),13,3,11,1,10,1,1,0
Rodez,Lycée Ferdinand Foch (0120022J),7,1,7,1,7,1,7,1
Roubaix,Lycée privé Saint Rémi (0592921E),27,11,21,8,15,7,8,4
Rouen Cedex,Lycée Pierre Corneille (0760090K),14,2,13,2,13,2,0,0
Safi,Lycée Moulay Abdellah (99929411),1,1,1,1,1,1,1,1
Saint-Brieuc Cedex,Lycée Francois Rabelais (0220056S),14,4,13,4,12,4,5,0
Saint-Cyr-L'Ecole Cedex,Lycée Militaire de Saint-Cyr (0780015T),4,1,4,1,4,1,1,1
Saint-Denis,Lycée Paul Eluard (0930125F),11,4,10,4,7,3,5,2
Sainte-Clotilde Cedex (la Réunion),Lycée Leconte de Lisle (9740001H),15,4,15,4,14,4,4,1
Saint-Etienne Cedex 1,Lycée Claude Fauriel (0420041S),44,16,41,15,35,14,9,1
Saint-Germain-En-Laye Cedex,Lycée Jeanne D'Albret (0782132U),15,5,15,5,15,5,4,2
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),9,3,3,0,3,0,0,0
Saint-Pierre,Lycée Catholique Saint Charles (9741255W),11,3,8,0,5,0,2,0
Sale,Collège Selmane Al-Farissi (L0002),2,1,0,0,0,0,0,0
Sale,Université Internationale de Rabat (U0010),14,1,7,0,7,0,3,0
Savigny-Sur-Orge Cedex,Lycée Jean Baptiste Corot (0910627M),15,5,10,2,9,1,4,0
Sceaux Cedex,Lycée Lakanal (0920145H),7,2,7,2,7,2,3,1
Sfax,IPEIS (99951111),1,0,1,0,1,0,1,0
Sophia Antipolis Cedex,Lycée international de Valbonne (0061642C),42,6,39,5,31,5,8,1
Sousse,Ecole Supérieure Polytechnique Privée de Sousse (E0052),2,0,0,0,0,0,0,0
Strasbourg Cedex,Lycée Kleber (0670080Y),39,13,37,12,32,12,9,6
