ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
SAINT-BRIEUC,RABELAIS,8,2,1,1,1,1,0,0
VANNES,LESAGE,22,8,8,3,8,3,1,1
LE HAVRE,FRANCOIS 1ER,14,3,4,0,4,0,1,0
ROUEN,CORNEILLE,64,15,44,11,44,11,16,8
MULHOUSE,A. SCHWEITZER,37,9,7,1,5,0,1,0
STRASBOURG,KLEBER,107,27,72,18,68,17,14,7
TOULOUSE,BELLEVUE,22,3,12,1,12,1,3,1
TOULOUSE,PIERRE DE FERMAT,114,26,85,16,83,16,24,6
CLERMONT-FERRAND,GODEFROY DE BOUILLON,14,0,1,0,1,0,0,0
MONTBONNOT,PUPILLES DE L'AIR,3,0,1,0,0,0,0,0
ST CYR L'ECOLE,LYCEE MILITAIRE,14,3,0,0,0,0,0,0
MONTPELLIER,LA MERCI,29,4,7,0,7,0,1,0
TUNIS,I.P.E.I.T,2,0,1,0,1,0,0,0
STRASBOURG,ORT FRANCE,3,0,0,0,0,0,0,0
MARSEILLE,NOTRE DAME DE SION,15,5,1,0,1,0,0,0
ROUBAIX,SAINT REMI,30,5,0,0,0,0,0,0
PARIS 04,IPESUP,2,0,2,0,2,0,0,0
LYON,JEAN PERRIN,11,6,3,2,3,2,0,0
CHAMBERY,VAUGELAS,28,7,8,1,8,1,4,0
ANGOULEME,GUEZ DE BALZAC,15,1,2,0,2,0,0,0
EVRY,DU PARC DES LOGES,14,3,7,2,7,2,0,0
JARVILLE,LA MALGRANGE,9,1,2,0,2,0,0,0
AUTUN,LYCEE MILITAIRE,18,1,0,0,0,0,0,0
AIX-EN-PROVENCE,LYCEE MILITAIRE,12,2,1,0,0,0,0,0
MANTES-LA-JOLIE,SAINT-EXUPERY,14,5,2,1,2,1,0,0
ORLEANS,SAINT CHARLES,14,1,2,0,2,0,0,0
NIMES,E. D'ALZON,17,2,2,1,1,0,1,0
SAINT-BRIEUC,SAINT-CHARLES,1,0,0,0,0,0,0,0
TUNIS,IPEST,54,12,47,8,45,8,17,2
BEYROUTH,ECOLE SUP. D'INGENIEURS,14,1,3,0,3,0,1,0
CASABLANCA,MOHAMED V,67,15,16,1,16,1,9,1
MARRAKECH,IBNOU TAIMIYA,39,6,11,1,11,1,8,0
RABAT,MOULAY YOUSSEF,70,19,38,10,35,10,13,1
FES,MOULAY IDRISS,25,5,4,0,3,0,3,0
AGADIR,REDA SLAOUI,11,1,1,0,1,0,1,0
TANGER,CENTRE PEDAGOGIQUE REGION,9,0,1,0,1,0,0,0
BRESSUIRE,SAINT JOSEPH,12,0,1,0,1,0,0,0
CASABLANCA,ECO SUP GALILEE,6,0,0,0,0,0,0,0
OUJDA,OMAR BEN ABDELAZIZ,15,3,5,0,3,0,1,0
SAINTE CLOTILDE,LECONTE DE LISLE,10,2,5,2,5,2,1,1
FORT DE FRANCE,DE BELLEVUE,9,2,1,0,1,0,0,0
POINTE A PITRE,BAIMBRIDGE,30,10,2,0,2,0,2,0
RABAT,AL KHAWARIZMI,11,1,1,0,1,0,0,0
CASABLANCA,AL MIZA,6,0,1,0,1,0,0,0
LIBREVILLE,LEON MBA,1,0,0,0,0,0,0,0
MEKNES,OMAR IBN EL KHATTAB,23,7,3,1,2,1,1,0
CASABLANCA,LYCEE LA RESIDENCE,10,0,1,0,0,0,0,0
RABAT,AL HASSANIA,4,0,1,0,1,0,0,0
MONASTIR,I.P.E.I,1,0,0,0,0,0,0,0
