ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),67,44,46,33,24,17,11,7
AMILLY,Lycée Le Chesnoy - Les Barres (0450094H),17,10,12,7,8,4,4,2
Angers,Lycée Angers le Fresne (0490946M),15,8,8,5,8,5,3,2
Arras,Lycée Robespierre (0620006V),25,17,6,2,4,2,3,2
Auzeville Tolosane,Lycée Toulouse Auzeville (0311262D),4,2,3,1,2,1,1,1
Besançon,Lycée Victor Hugo (0250007X),19,13,16,11,6,6,3,3
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),22,15,18,12,15,10,6,3
BOULOGNE-BILLANCOURT,Lycée Jacques Prévert (0920134W),28,23,16,14,11,10,1,0
Caen Cedex 4,Lycée Malherbe (0140013N),74,52,52,37,23,16,4,0
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),22,10,13,7,4,1,4,1
Dijon,Lycée Carnot (0210015C),11,5,9,4,3,2,0,0
Douai,Lycée Albert Chatelet (0590063Y),14,5,6,2,4,1,3,0
DUCOS,Lycée Polyvalent Centre Sud (9720825P),10,5,4,2,1,1,1,1
Fontainebleau,Lycée François 1er (0770927P),16,14,9,7,6,4,1,1
Grenoble Cedex 1,Lycée Champollion (0380027Y),38,24,29,16,17,9,1,0
La Mulatière,Lycée Assomption Bellevue (0690539L),34,24,18,13,12,9,6,5
Le Raincy,Lycée Albert Schweitzer (0930830X),18,12,6,5,3,3,2,2
Le Tampon,Lycée Roland Garros (9740002J),22,16,15,12,13,10,6,4
Lempdes,Legta Louis Pasteur - Lempdes (0630984C),22,14,19,12,9,6,7,4
Lille Cedex,Lycée Faidherbe (0590119J),45,28,28,18,12,5,5,1
Limoges,Lycée Léonard Limosin (0870016V),18,10,9,1,9,1,2,0
Lyon,Lycée La Martinière Monplaisir (0692866R),10,5,7,3,6,3,4,3
Lyon Cedex 06,Lycée du Parc (0690026D),50,39,35,30,20,18,3,2
Marseille Cedex 1,Lycée Thiers (0130040Y),73,45,47,28,31,18,15,7
Metz Cedex 1,Lycée Georges de La Tour (0572757M),33,26,23,17,10,8,5,3
Montpellier Cedex 2,Lycée Joffre (0340038G),14,11,10,8,4,3,3,2
Nancy Cedex,Lycée Henri Poincaré (0540038Y),26,18,19,12,11,6,4,1
Nantes,Externat des Enfants Nantais (0440160K),24,9,12,4,10,4,6,2
Nantes Cedex 1,Lycée Clémenceau (0440021J),16,10,14,9,11,6,3,2
Nice Cedex 1,Lycée Massena (0060030A),15,9,6,2,3,0,3,0
Nîmes Cedex,Lycée Emmanuel d'Alzon (0300080Z),36,22,21,13,8,2,4,2
Orléans Cedex 1,Lycée Pothier (0450049J),8,7,7,6,6,5,2,2
Paris,Lycée Saint-Louis (0750658H),41,23,32,18,14,5,6,2
Paris,Lycée Janson de Sailly (0750699C),22,13,18,10,15,8,5,2
Paris Cedex 05,Lycée Henri IV (0750654D),28,27,25,25,6,6,2,2
Paris 13e,Lycée Geoffroy Saint-Hilaire (0752456M),3,2,0,0,0,0,0,0
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),19,12,10,8,5,5,0,0
Paris 16e,Lycée Jean-Baptiste Say (0750700D),36,24,35,24,24,15,7,5
Paris 6e,Lycée Fénelon (0750660K),41,36,26,23,13,11,7,6
Paris 8e,Lycée Chaptal (0750663N),69,51,40,28,27,20,11,8
Pau Cedex,Lycée Louis Barthou (0640055M),13,10,8,5,5,3,4,3
Pointe-à-Pitre Cedex (guadeloupe),Lycée Baimbridge (9710003B),20,14,2,2,2,2,0,0
Poitiers Cedex,Lycée Camille Guérin (0860035W),30,21,19,16,11,9,5,3
Reims Cedex 2,Lycée Clémenceau (0510031G),12,11,6,6,4,4,2,2
Rennes Cedex 7,Lycée Chateaubriand (0350710G),21,14,14,10,5,4,2,2
Rouen Cedex,Lycée Pierre Corneille (0760090K),40,26,34,21,7,3,2,0
Saint-Etienne Cedex 1,Lycée Claude Fauriel (0420041S),33,21,21,13,7,5,2,2
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),61,45,46,37,28,21,4,3
Sceaux Cedex,Lycée Lakanal (0920145H),70,50,44,32,24,18,9,6
Strasbourg,Lycée Jean Rostand (0670084C),14,13,10,10,9,9,2,2
Toulouse Cedex,Lycée Ozenne (0310047H),14,9,8,7,5,4,1,1
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),9,5,6,3,3,2,0,0
Tours Cedex 1,Lycée Descartes (0370035M),14,9,11,6,2,0,2,0
Versailles Cedex,Lycée Hoche (0782562L),33,22,26,17,17,9,6,2
Versailles Cedex,Lycée privé Sainte Geneviève (0783053V),40,27,40,27,5,2,0,0
