ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Nice,Lycée Les Eucalyptus (0060075Z),11,3,0,0,0,0,0,0
Nice Cedex 1,Lycée Massena (0060030A),35,11,18,5,10,3,1,1
Nîmes Cedex,Lycée Alphonse Daudet (0300021K),18,4,9,3,5,2,0,0
Nouméa,Lycée Jules Garnier (9830003L),9,2,7,1,4,0,3,0
Ollioules,Lycée Saint Joseph (0830098F),1,1,0,0,0,0,0,0
Orléans Cedex 1,Lycée Pothier (0450049J),53,5,11,1,8,1,5,0
Orsay,Lycée Blaise Pascal (0910626L),46,12,34,10,26,6,9,1
Paris,Lycée Raspail (0750691U),15,2,9,0,8,0,2,0
Paris,Lycée Saint-Louis (0750658H),225,73,169,51,146,40,44,11
Paris,Lycée Janson de Sailly (0750699C),80,20,48,12,34,6,17,1
Paris 8e,Lycée Fénelon Sainte-Marie (0753873C),35,7,22,2,19,2,7,1
Paris Cedex 05,Lycée Louis Le Grand (0750655E),40,13,37,13,36,13,14,5
Paris Cedex 06,Lycée Stanislas (0753840S),93,11,81,9,79,9,31,2
Paris Cedex 09,Lycée Jacques Decour (0750668U),86,21,35,7,26,5,5,0
Paris Cedex 12,Lycée Paul Valery (0750679F),26,5,5,0,4,0,0,0
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),25,3,5,0,2,0,1,0
Paris 15e,Lycée Buffon (0750693W),31,8,13,6,8,4,0,0
Paris 16e,Lycée Claude Bernard (0750698B),57,10,23,4,15,3,4,1
Paris 16e,Lycée Jean-Baptiste Say (0750700D),35,11,20,5,15,3,1,0
Paris 8e,Lycée Chaptal (0750663N),88,21,47,7,37,6,13,2
Paris 9e,Lycée Condorcet (0750667T),38,8,36,8,33,8,17,7
Pau Cedex,Lycée Louis Barthou (0640055M),24,6,12,3,4,0,2,0
Perpignan,Lycée François Arago (0660010C),25,5,8,1,6,1,3,0
Pointe-à-Pitre Cedex (guadeloupe),Lycée Baimbridge (9710003B),11,3,0,0,0,0,0,0
Poitiers Cedex,Lycée Camille Guérin (0860035W),23,5,10,2,4,0,2,0
Quimper,Lycée Auguste Brizeux (0290069T),8,1,3,0,1,0,0,0
Rabat,Lycée Ibn Al Ghazi (99951011),5,3,1,0,1,0,1,0
Rabat,Lycée Moulay Youssef (99926611),17,3,0,0,0,0,0,0
Reims Cedex,Lycée Franklin Roosevelt (0510034K),33,11,17,6,12,6,2,1
Remire-Montjoly,Lycée Léon-Gontran Damas (9730196A),12,4,3,1,2,1,1,0
Rennes,Lycée Joliot-Curie (0350029S),25,8,11,3,7,1,2,0
Rennes,Lycée privé Assomption (0350778F),16,2,4,2,2,1,1,1
Rennes Cedex 7,Lycée Chateaubriand (0350710G),60,9,32,6,25,5,13,2
Rouen Cedex,Lycée Pierre Corneille (0760090K),42,9,32,7,29,7,8,0
Saint-Brieuc Cedex,Lycée Francois Rabelais (0220056S),10,0,1,0,1,0,0,0
Saint-Cyr-L'Ecole Cedex,Lycée Militaire de Saint-Cyr (0780015T),28,5,16,0,7,0,2,0
Saint-Denis,Lycée Paul Eluard (0930125F),22,5,4,0,3,0,2,0
Sainte-Clotilde Cedex (la Réunion),Lycée Leconte de Lisle (9740001H),15,2,3,1,2,1,0,0
Saint-Etienne,Lycée Etienne Mimard (0420046X),25,7,2,0,2,0,0,0
Saint-Germain-En-Laye Cedex,Lycée Jeanne D'Albret (0782132U),12,3,4,1,3,1,1,0
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),22,5,12,3,10,2,2,0
Saint-Maur-Des-Fosses,Lycée D'Arsonval (0940121W),20,8,7,3,4,1,0,0
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),89,20,64,13,49,8,13,0
Sceaux Cedex,Lycée Lakanal (0920145H),47,11,38,6,34,6,17,4
Sophia Antipolis Cedex,Lycée international de Valbonne (0061642C),29,6,12,2,5,0,1,0
Strasbourg,Lycée Louis Couffignal (0670085D),6,1,2,0,1,0,0,0
Strasbourg,Lycée Ort (0671636P),12,0,4,0,3,0,1,0
Strasbourg Cedex,Lycée Kleber (0670080Y),96,18,47,9,36,6,8,0
Tanger,Lycée Moulay Hassan (99926911),2,1,0,0,0,0,0,0
Toulon Cedex,Lycée Dumont D'Urville (0830053G),9,1,2,0,1,0,0,0
Toulouse,Lycée Bellevue (0310038Y),41,11,21,5,13,5,4,1
Toulouse,Lycée Déodat de Séverac (0310044E),37,5,12,1,8,1,1,0
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),48,10,42,10,41,10,12,3
Tours Cedex 1,Lycée Descartes (0370035M),52,6,29,2,24,2,12,1
Troyes,Lycée Chrestien De Troyes (0100022V),6,2,0,0,0,0,0,0
Tunis,IPEST (99926211),12,3,10,3,10,3,0,0
Valenciennes Cedex,Lycée Henri Wallon (0590221V),35,6,13,2,10,2,2,2
Vanves Cedex,Lycée Michelet (0920149M),31,9,28,9,27,9,6,2
Versailles,Lycée Jules Ferry (0782565P),12,4,4,1,3,1,2,1
Versailles Cedex,Lycée Hoche (0782562L),41,12,41,12,41,12,19,6
Versailles Cedex,Lycée privé Sainte Geneviève (0783053V),41,5,41,5,41,5,13,3
