year,concours,prepa,ville,etablissement,inscrits,inscrits dont filles,admissibles,admissibles dont filles,classes,classes dont filles,integres,integres dont filles
2002,centrale-supelec,PC,PARIS 09,JACQUES DECOUR,38,8,12,2,9,1,3,1
2002,centrale-supelec,PC,PARIS 13,ENSCPB,17,3,1,0,1,0,0,0
2002,centrale-supelec,PC,PARIS 15,BUFFON,26,9,10,1,9,1,3,0
2002,centrale-supelec,PC,PARIS 15,OURANIA,13,3,4,0,3,0,2,0
2002,centrale-supelec,PC,PARIS 15,FRESNEL,7,2,0,0,0,0,0,0
2002,centrale-supelec,PC,PARIS 16,JANSON DE SAILLY,90,21,32,6,30,6,12,0
2002,centrale-supelec,PC,PARIS 17,CARNOT,20,7,1,0,1,0,0,0
2002,centrale-supelec,PC,PARIS 17,HONORE DE BALZAC,18,3,1,0,0,0,0,0
2002,centrale-supelec,PC,SAVIGNY SUR ORGE,J. B. COROT,17,4,10,3,8,3,3,0
2002,centrale-supelec,PC,SCEAUX,LAKANAL,65,17,33,6,30,6,14,1
2002,centrale-supelec,PC,ST GERMAIN EN LAYE,JEANNE D'ALBRET,22,2,2,0,1,0,0,0
2002,centrale-supelec,PC,ST MAUR DES FOS.,MARCELIN BERTHELOT,60,18,21,8,18,7,6,4
2002,centrale-supelec,PC,VANVES,MICHELET,20,7,3,0,3,0,1,0
2002,centrale-supelec,PC,VERSAILLES,SAINTE GENEVIEVE,138,36,113,34,105,30,19,5
2002,centrale-supelec,PC,VERSAILLES,HOCHE,81,24,51,15,48,14,16,4
2002,centrale-supelec,PC,POITIERS,CAMILLE GUERIN,25,3,5,0,5,0,1,0
2002,centrale-supelec,PC,REIMS,FRANKLIN ROOSEVELT,21,5,3,0,3,0,2,0
2002,centrale-supelec,PC,TROYES,CHRESTIEN DE TROYES,3,2,0,0,0,0,0,0
2002,centrale-supelec,PC,BREST,KERICHEN,25,8,0,0,0,0,0,0
2002,centrale-supelec,PC,BREST,SAINTE ANNE,3,0,0,0,0,0,0,0
2002,centrale-supelec,PC,RENNES,CHATEAUBRIAND,74,16,34,11,28,10,9,3
2002,centrale-supelec,PC,SAINT-BRIEUC,RABELAIS,13,4,2,1,2,1,1,1
2002,centrale-supelec,PC,EVREUX,ARISTIDE BRIAND,1,0,0,0,0,0,0,0
2002,centrale-supelec,PC,LE HAVRE,FRANCOIS 1ER,24,7,0,0,0,0,0,0
2002,centrale-supelec,PC,ROUEN,CORNEILLE,54,18,18,3,17,3,7,1
2002,centrale-supelec,PC,MULHOUSE,A. SCHWEITZER,9,1,0,0,0,0,0,0
2002,centrale-supelec,PC,STRASBOURG,FUSTEL DE COULANGES,9,2,1,0,1,0,0,0
2002,centrale-supelec,PC,STRASBOURG,KLEBER,43,12,20,4,18,4,6,1
2002,centrale-supelec,PC,TOULOUSE,BELLEVUE,30,6,15,0,10,0,5,0
2002,centrale-supelec,PC,TOULOUSE,DEODAT DE SEVERAC,11,2,4,0,2,0,0,0
2002,centrale-supelec,PC,BALMA,SALIEGE,54,13,13,2,10,2,5,1
2002,centrale-supelec,PC,TOULOUSE,PIERRE DE FERMAT,66,12,44,7,37,7,10,2
2002,centrale-supelec,PC,CAEN,SAINTE MARIE,9,0,0,0,0,0,0,0
2002,centrale-supelec,PC,AVIGNON,SAINT JOSEPH,10,3,3,0,2,0,0,0
2002,centrale-supelec,PC,RENNES,ASSOMPTION,4,2,0,0,0,0,0,0
2002,centrale-supelec,PC,ALBI,LAPEROUSE,1,1,0,0,0,0,0,0
2002,centrale-supelec,PC,PERIGUEUX,BERTRAN-DE-BORN,1,0,0,0,0,0,0,0
2002,centrale-supelec,PC,PARIS 04,IPESUP,13,5,11,5,11,5,5,1
2002,centrale-supelec,PC,LYON,JEAN PERRIN,4,0,0,0,0,0,0,0
2002,centrale-supelec,PC,PARIS,URANIE,17,3,0,0,0,0,0,0
2002,centrale-supelec,PC,TARBES,THEOPHILE GAUTIER,2,0,0,0,0,0,0,0
2002,centrale-supelec,PC,TUNIS,IPEST,1,1,0,0,0,0,0,0
2002,centrale-supelec,PC,QUIMPER,LYCEE BRIZEUX,7,0,0,0,0,0,0,0
2002,centrale-supelec,PC,SAINTE CLOTILDE,LECONTE DE LISLE,5,0,0,0,0,0,0,0
2002,centrale-supelec,PC,FORT DE FRANCE,DE BELLEVUE,4,2,0,0,0,0,0,0
