ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Rennes,Lycée privé Assomption (0350778F),1,0,0,0,0,0,0,0
Rennes Cedex 7,Lycée Chateaubriand (0350710G),18,4,4,0,4,0,1,0
Rouen Cedex,Lycée Pierre Corneille (0760090K),23,3,4,1,3,1,1,0
Saint-Denis,Lycée Paul Eluard (0930125F),2,2,0,0,0,0,0,0
Sainte-Clotilde Cedex (la Réunion),Lycée Leconte de Lisle (9740001H),1,0,0,0,0,0,0,0
Saint-Etienne,Lycée Etienne Mimard (0420046X),4,1,0,0,0,0,0,0
Saint-Germain-En-Laye Cedex,Lycée Jeanne D'Albret (0782132U),2,0,0,0,0,0,0,0
Saint-Maur-Des-Fosses,Lycée D'Arsonval (0940121W),3,0,1,0,1,0,1,0
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),58,13,7,1,7,1,1,1
Sceaux Cedex,Lycée Lakanal (0920145H),34,7,18,1,16,1,3,0
Sophia Antipolis Cedex,Lycée international de Valbonne (0061642C),7,2,0,0,0,0,0,0
Strasbourg,Lycée Louis Couffignal (0670085D),2,0,1,0,1,0,1,0
Strasbourg,Lycée Ort (0671636P),7,0,0,0,0,0,0,0
Strasbourg Cedex,Collège Episcopal Saint Etienne (0671609K),1,0,0,0,0,0,0,0
Strasbourg Cedex,Lycée Kleber (0670080Y),29,5,4,0,4,0,2,0
Toulouse,Lycée Bellevue (0310038Y),31,10,1,0,1,0,0,0
Toulouse,Lycée Déodat de Séverac (0310044E),7,0,1,0,1,0,1,0
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),37,9,23,4,21,3,8,1
Tours Cedex 1,Lycée Descartes (0370035M),14,0,3,0,3,0,1,0
Troyes,Lycée Chrestien De Troyes (0100022V),1,1,0,0,0,0,0,0
Tunis,IPEST (99926211),10,1,2,0,1,0,1,0
Valenciennes Cedex,Lycée Henri Wallon (0590221V),5,1,2,0,2,0,1,0
Vanves Cedex,Lycée Michelet (0920149M),3,2,0,0,0,0,0,0
Versailles,Lycée Jules Ferry (0782565P),4,0,0,0,0,0,0,0
Versailles Cedex,Lycée Hoche (0782562L),41,12,34,9,33,9,8,1
Versailles Cedex,Lycée privé Sainte Geneviève (0783053V),41,5,31,5,31,5,10,0
