ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Pau Cedex,Lycée Louis Barthou (0640055M),35,15,17,8,14,5,2,0
Périgueux Cedex,Lycée Bertran de Born (0240024W),14,4,4,0,1,0,1,0
Perpignan,Lycée François Arago (0660010C),10,4,3,2,3,2,2,1
Pointe-à-Pitre Cedex (guadeloupe),Lycée Baimbridge (9710003B),14,6,5,2,4,2,1,0
Poitiers Cedex,Lycée Camille Guérin (0860035W),23,10,10,7,6,4,1,0
Quimper,Lycée Auguste Brizeux (0290069T),12,3,4,1,4,1,1,0
Reims Cedex,Lycée Franklin Roosevelt (0510034K),50,18,31,9,19,5,5,2
Rennes,Lycée privé Assomption (0350778F),17,6,7,2,5,1,2,0
Rennes Cedex 7,Lycée Chateaubriand (0350710G),66,28,55,24,46,22,15,9
Rouen Cedex,Lycée Pierre Corneille (0760090K),72,22,53,16,43,13,10,2
Saint-Brieuc Cedex,Lycée Francois Rabelais (0220056S),13,6,8,4,5,1,3,1
Sainte-Clotilde Cedex (la Réunion),Lycée Leconte de Lisle (9740001H),17,9,0,0,0,0,0,0
Saint-Etienne Cedex 1,Lycée Claude Fauriel (0420041S),55,22,31,14,23,10,7,4
Saint-Germain-En-Laye Cedex,Lycée Jeanne D'Albret (0782132U),23,10,6,4,2,1,2,1
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),10,2,9,2,8,2,1,1
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),70,19,57,15,54,14,15,5
Saint-Nazaire,Lycée Aristide Briand (0440069L),17,5,10,4,9,4,3,2
Saint-Quentin,Lycée Pierre de La Ramée (0020049T),8,1,2,0,1,0,0,0
Salon-De-Provence,Lycée de l'Emperi (0130160D),13,2,4,1,4,1,2,0
Savigny-Sur-Orge Cedex,Lycée Jean Baptiste Corot (0910627M),36,13,21,4,14,2,5,0
Sceaux Cedex,Lycée Lakanal (0920145H),78,27,73,27,72,27,16,10
Sophia Antipolis Cedex,Lycée international de Valbonne (0061642C),25,8,13,7,8,4,4,2
Strasbourg Cedex,Lycée Kleber (0670080Y),74,39,58,30,43,20,3,1
Tarbes Cedex,Lycée Théophile Gautier (0650025Z),11,5,2,0,2,0,0,0
Toulon Cedex,Lycée Dumont D'Urville (0830053G),13,4,3,2,3,2,0,0
Toulouse,Lycée Bellevue (0310038Y),37,11,30,8,24,7,9,3
Toulouse,Lycée Déodat de Séverac (0310044E),29,10,18,8,16,7,0,0
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),83,28,76,25,68,20,27,9
Tours Cedex 1,Lycée Descartes (0370035M),50,19,26,8,23,7,7,2
Troyes,Lycée Chrestien De Troyes (0100022V),9,4,4,1,1,0,0,0
Tulle,Lycée Edmond Perrier (0190032G),17,6,6,0,5,0,3,0
Tunis,IPEST (99926211),34,9,18,3,18,3,13,1
Valence Cedex,Lycée Camille Vernet (0260035X),6,4,1,0,0,0,0,0
Valenciennes Cedex,Lycée Henri Wallon (0590221V),69,18,54,17,44,14,15,6
Vanves Cedex,Lycée Michelet (0920149M),32,5,28,5,28,5,12,1
Versailles Cedex,Lycée Hoche (0782562L),83,23,78,22,77,22,24,5
Versailles Cedex,Lycée privé Sainte Geneviève (0783053V),139,34,138,34,134,34,27,8
