ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Aix-En-Provence,Lycée Vauvenargues (0130003H),56,8,4,0,4,0,0,0
Ajaccio,Lycée Laetitia Bonaparte (6200002H),9,0,3,0,3,0,0,0
Angers Cedex 01,Lycée Chevrollier (0490003M),15,1,2,0,2,0,0,0
Armentières,Lycée Gustave Eiffel (0590011S),25,3,4,0,4,0,0,0
Aubervilliers,Lycée Le Corbusier (0930117X),10,3,0,0,0,0,0,0
Baie Mahault/guadeloupe,Lycée Charles Coeffin (9710004C),11,3,0,0,0,0,0,0
Belfort,Lycée Raoul Follereau (0900004R),12,4,0,0,0,0,0,0
Besançon,Lycée Jules Haag (0250011B),10,0,0,0,0,0,0,0
Bordeaux,Lycée Gustave Eiffel (0330028B),48,12,6,1,6,1,1,0
Brest,Lycée La Croix Rouge (0290335G),7,1,2,0,2,0,0,0
Brest Cedex 2,Lycée Vauban (0290012F),18,2,0,0,0,0,0,0
Cachan,Lycée Gustave Eiffel (0940111K),36,7,9,2,9,2,3,1
Caen,Lycée Jules Dumont d'Urville (0142131R),5,0,1,0,1,0,0,0
Chalon-Sur-Saône,Lycée Nicephore Niepce (0710012C),10,0,0,0,0,0,0,0
Champagne-Sur-Seine,Lycée La Fayette (0770920G),9,0,0,0,0,0,0,0
Champigny-Sur-Marne,Lycée Langevin-Wallon (0940113M),7,0,1,0,1,0,0,0
Clichy,Lycée Newton-Enrea (0920136Y),10,0,0,0,0,0,0,0
Cluny,Lycée La Prat's (0710023P),10,0,1,0,1,0,0,0
Dijon,Lycée Gustave Eiffel (0211033J),17,1,1,0,1,0,1,0
Dunkerque,Lycée De L'Europe (0590072H),7,0,0,0,0,0,0,0
Grenoble,Lycée Vaucanson (0380033E),25,3,2,0,2,0,0,0
Le Havre,Lycée Robert Schuman (0760058A),7,0,0,0,0,0,0,0
Le Mans Cedex 1,Lycée Touchard Washington (0720033V),12,0,1,0,1,0,0,0
Lille,Lycée César Baggio (0590121L),30,4,1,0,1,0,0,0
Limoges,Lycée Turgot (0870056N),16,3,2,0,2,0,0,0
Lyon,Lycée La Martinière Monplaisir (0692866R),50,7,19,2,19,2,2,0
Marseille,Lycée Jean Perrin (0130053M),36,3,4,0,4,0,0,0
Massy Cedex,Lycée Parc de Vilgenis (0910727W),5,0,0,0,0,0,0,0
Meaux,Lycée Pierre de Coubertin (0770931U),5,0,0,0,0,0,0,0
Metz,Lycée Louis De Cormontaigne (0573227Y),6,1,1,0,1,0,0,0
Montauban,Lycée Bourdelle (0820021C),10,1,0,0,0,0,0,0
Montluçon,Lycée Paul Constans (0030026M),10,2,0,0,0,0,0,0
Montpellier,Lycée Jean Mermoz (0340042L),15,1,2,0,2,0,0,0
Nancy,Lycée Henri Loritz (0540042C),11,1,1,0,1,0,0,0
Nantes,Lycée Eugène Livet (0440029T),37,4,10,3,10,3,1,1
Nevers,Lycée Jules Renard (0580031U),4,0,4,0,4,0,0,0
Nice,Lycée Les Eucalyptus (0060075Z),35,5,1,0,1,0,0,0
Nimes,Lycée Dhuoda (0300026R),23,3,0,0,0,0,0,0
Nogent Sur Oise,Lycée Marie Curie (0600020W),28,1,5,0,5,0,0,0
Nouméa,Lycée Jules Garnier (9830003L),9,2,1,0,1,0,1,0
Orléans,Lycée Benjamin Franklin (0450051L),13,1,0,0,0,0,0,0
Paris,Lycée Raspail (0750691U),28,4,3,0,3,0,1,0
Paris,Lycée Voltaire (0750675B),6,1,0,0,0,0,0,0
Paris 11e,Lycée Dorian (0750676C),23,7,2,0,2,0,1,0
Paris 16e,Lycée Jean-Baptiste Say (0750700D),39,8,15,4,15,4,4,2
Paris 8e,Lycée Chaptal (0750663N),39,10,10,1,10,1,1,0
Poitiers,Lycée Louis Armand (0860037Y),8,0,0,0,0,0,0,0
Pringy,Lycée Louis Lachenal (0740006E),18,1,7,1,7,1,2,0
Reims Cedex,Lycée Franklin Roosevelt (0510034K),12,2,0,0,0,0,0,0
Rennes,Lycée Joliot-Curie (0350029S),32,3,4,1,4,1,0,0
Rouen,Lycée Blaise Pascal (0760095R),16,1,0,0,0,0,0,0
Rueil-Malmaison,Lycée Passy Buzenval (0920928J),15,2,8,0,8,0,1,0
Saint-Etienne,Lycée Etienne Mimard (0420046X),19,3,1,0,1,0,0,0
Saint-Sylvain D'Anjou,Lycée Saint Aubin La Salle (0492420P),14,5,3,1,3,1,1,0
Ste Clotilde/la Reunion,Lycée Lislet-Geoffroy (9740054R),1,0,0,0,0,0,0,0
Strasbourg,Lycée Louis Couffignal (0670085D),13,3,3,1,3,1,0,0
Tarbes,Lycée Jean Dupuy (0650027B),5,3,0,0,0,0,0,0
Thiers,Lycée Jean Zay (0630069H),7,0,0,0,0,0,0,0
Toulon,Lycée Rouvière (0830056K),17,3,1,0,1,0,0,0
Toulouse,Lycée Déodat de Séverac (0310044E),13,2,3,0,3,0,1,0
Toulouse,Lycée Saint-Joseph (0311145B),2,0,1,0,1,0,0,0
Tours,Lycée J. de Vaucanson (0371418R),20,5,3,0,3,0,2,0
Vannes,Lycée Alain René Lesage (0560051B),18,1,2,0,2,0,0,0
Versailles,Lycée Jules Ferry (0782565P),54,5,11,0,11,0,2,0
Versailles Cedex,Lycée privé Sainte Geneviève (0783053V),31,7,15,1,15,1,3,0
Voiron,Lycée Ferdinand Buisson (0380092U),17,1,3,0,3,0,1,0
