ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Paris 9e,Lycée Condorcet (0750667T),31,10,26,9,25,9,4,2
Paris 13e,ENCPB (0750685M),36,10,32,8,28,7,16,5
Paris 15e,Lycée Buffon (0750693W),44,11,34,6,25,6,7,2
Paris 16e,Lycée Claude Bernard (0750698B),34,10,29,10,25,10,9,4
Paris 16e,Lycée Janson de Sailly (0750699C),74,23,61,20,57,19,19,7
Paris 16e,Lycée Jean-Baptiste Say (0750700D),49,17,40,15,36,14,18,4
Pau,Lycée Louis Barthou (0640055M),31,8,26,8,18,4,6,2
Perpignan,Lycée François Arago (0660010C),38,9,31,6,24,5,7,3
Pointe-à-Pitre,L.G.T.Baimbridge (9710003B),21,4,18,4,18,4,7,3
Poitiers,Lycée Camille Guérin (0860035W),41,7,34,5,30,5,8,2
Quimper,Lycée Auguste Brizeux (0290069T),27,5,20,5,16,5,3,0
Reims,Lycée F. Roosevelt (0510034K),67,12,59,10,41,4,17,1
Rennes,Lycée Chateaubriand (0350710G),42,7,29,4,28,3,8,1
Rennes,Lycée Joliot-Curie (0350029S),30,7,26,6,24,6,6,1
Rennes,Lycée privé Assomption (0350778F),14,2,12,2,7,1,1,0
Rouen,Lycée Pierre Corneille (0760090K),30,3,13,2,12,2,3,1
Saint-Brieuc,Lycée Francois Rabelais (0220056S),23,10,21,9,15,8,6,3
Saint-Cyr-L'Ecole,Lycée Militaire (0780015T),11,2,10,2,9,2,2,1
Saint-Denis,Lycée Paul Eluard (0930125F),28,11,27,11,25,11,15,5
Sainte-Clotilde,Lycée Leconte de Lisle (9740001H),30,5,29,5,29,5,11,2
Saint-Etienne,Lycée Etienne Mimard (0420046X),24,4,22,4,17,2,6,0
Saint-Germain-en-Laye,Lycée Jeanne D'Albret (0782132U),43,11,43,11,43,11,16,3
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),7,1,6,0,5,0,1,0
SAINT-MAUR-DES-FOSSES,Lycée D'Arsonval (0940121W),34,12,30,10,26,8,14,4
Saint-Maur-Des-Fosses,Lycée Marcelin Berthelot (0940120V),85,18,78,16,74,16,23,3
Sceaux,Lycée Lakanal (0920145H),33,4,29,3,27,3,10,1
Sfax,IPEIS (99951111),1,0,0,0,0,0,0,0
Strasbourg,Lycée Kleber (0670080Y),53,10,46,9,44,9,18,3
Strasbourg,Lycée Louis Couffignal (0670085D),31,3,29,2,21,1,12,1
Strasbourg,Lycée Ort (0671636P),23,7,20,7,17,6,6,3
Tanger,Centre Pédagogique Régional (99926911),2,0,1,0,1,0,1,0
