ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AIX-EN-PROVENCE,LYCEE MILITAIRE,35,5,20,3,15,2,11,2
AIX-EN-PROVENCE,VAUVENARGUES,35,4,24,3,20,2,7,1
AJACCIO,LAETITIA BONAPARTE,13,1,10,1,7,1,1,0
AMIENS,THUILLIER,26,2,10,0,9,0,2,0
ANGERS,CHARLES DE FOUCAULD,17,1,13,1,13,1,4,0
ANGERS,HENRI BERGSON,37,10,24,7,22,7,10,3
ANNECY,BERTHOLLET,22,4,21,3,19,3,8,1
ARRAS,ROBESPIERRE,17,5,7,2,7,2,2,1
AUXERRE,JACQUES AMYOT,18,1,8,1,6,1,1,0
AVIGNON,FREDERIC MISTRAL,28,4,11,1,10,1,5,0
BALMA,SALIEGE,41,10,27,6,23,6,7,0
BELFORT,CONDORCET,17,3,8,1,7,1,4,1
BESANCON,VICTOR HUGO,33,7,21,5,16,4,9,4
BORDEAUX,GUSTAVE EIFFEL,56,8,46,5,44,5,23,3
BORDEAUX,MICHEL MONTAIGNE,61,15,57,15,47,9,17,1
BREST,LA CROIX ROUGE,7,2,1,0,0,0,0,0
BREST,NAVAL,29,6,18,3,15,3,10,2
BREST,SAINTE ANNE,20,1,8,1,8,1,5,0
BREST,VAUBAN,44,9,37,8,35,8,14,4
CAEN,SAINTE MARIE,9,0,2,0,2,0,1,0
CAEN,VICTOR HUGO,38,8,31,5,30,5,15,3
CASABLANCA,AL MIZA,8,1,0,0,0,0,0,0
CASABLANCA,ECO SUP GALILEE,12,6,0,0,0,0,0,0
CASABLANCA,LYCEE LA RESIDENCE,5,2,0,0,0,0,0,0
CASABLANCA,MOHAMED V,13,6,0,0,0,0,0,0
CHAMBERY,VAUGELAS,34,6,19,5,16,4,10,2
CHAMPAGNE SUR SEINE,LA FAYETTE,27,6,11,2,9,2,4,1
CLERMONT-FERRAND,BLAISE PASCAL,38,5,29,4,25,4,10,1
CLERMONT-FERRAND,LA FAYETTE,31,3,23,2,22,2,18,1
DIJON,CARNOT,29,4,27,4,24,2,10,1
DIJON,GUSTAVE EIFFEL,31,5,20,2,16,1,8,1
DOUAI,A. CHATELET,42,9,38,7,33,6,6,0
DUNKERQUE,JEAN BART,25,6,11,2,5,1,1,1
EVREUX,ARISTIDE BRIAND,31,2,17,2,13,2,5,1
FORT DE FRANCE,DE BELLEVUE,22,9,4,1,4,1,3,1
GRENOBLE,CHAMPOLLION,77,15,61,12,47,10,16,6
