ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Agadir,Groupe scolaire Al Qalam (99693001),14,5,6,2,2,0,2,0
Agadir,Lycée Reda Slaoui (99926811),2,1,2,1,0,0,0,0
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),12,1,11,1,8,1,3,0
Aix-En-Provence Cedex 5,Lycée Paul Cézanne (0130002G),27,7,25,6,25,6,8,3
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),37,7,29,6,23,5,9,3
Angers Cedex 01,Lycée Henri Bergson (0491966W),20,5,16,5,14,5,4,2
Annecy Cedex,Lycée Berthollet (0740003B),27,7,25,6,16,1,5,1
Antony,Lycée Sainte Marie (0920904H),30,6,29,6,26,5,8,2
Arras,Lycée Robespierre (0620006V),6,1,5,1,2,1,0,0
Autun Cedex,Lycée Militaire National (0711064W),13,0,11,0,11,0,6,0
Beni-Mellal,DAY PREPAS (L0038),4,0,1,0,1,0,1,0
Beni-Mellal,Lycée Technique Mohamed V (99929811),3,0,1,0,1,0,1,0
Besançon,Lycée Victor Hugo (0250007X),42,8,38,7,36,7,10,2
Blois Cedex,Lycée Dessaignes (0410002E),21,5,18,5,18,5,3,1
Bordeaux Cedex,Lycée Camille Jullian (0330023W),31,8,29,8,29,8,5,1
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),30,16,18,11,17,10,2,1
Boulogne-Sur-Mer Cedex,Lycée Mariette (0622949U),23,6,9,3,7,2,6,2
Bourg-En-Bresse,Lycée Lalande (0010013J),36,9,33,9,26,8,15,4
Bourges,Lycée Alain-Fournier (0180005H),10,2,8,2,7,2,5,1
Brest,Lycée Naval (0290063L),8,0,7,0,7,0,1,0
Brest,Lycée Sainte Anne (0290338K),12,4,8,3,6,1,1,0
Brest Cedex 2,Lycée de Kerichen (0290007A),25,8,22,8,19,7,6,1
Caen Cedex 4,Lycée Malherbe (0140013N),76,14,72,13,62,9,16,3
Cannes Cedex,Lycée Stanislas (0060673Z),13,4,13,4,13,4,9,3
Casablanca,Centre privé GALILEE (99927511),15,3,6,1,5,1,4,1
Casablanca,ECOLE YASSAMINE CALIFORNIE (L0004),36,10,20,7,9,4,5,2
Casablanca,ELBILIA SUP (99696011),13,0,8,0,6,0,3,0
Casablanca,ESTEM (E0004),15,1,8,0,5,0,1,0
Casablanca,Groupe scolaire La Résidence (3500055H),22,7,16,5,9,2,5,1
Casablanca,Lycée Al Khansaa (3500050C),15,6,10,5,6,3,4,2
Casablanca,Lycée Mohamed V (99926411),11,5,7,4,5,2,2,1
Castres,Lycée Borde Basse (0810959C),19,4,15,4,13,4,2,0
Chambéry,Lycée Vaugelas (0730013T),16,3,13,3,11,3,4,1
Chartres,Lycée Marceau (0280007F),36,7,32,6,31,5,14,3
Cherbourg-Octeville,Lycée Victor Grignard (0501828R),27,7,27,7,25,6,9,3
Clermont-Ferrand,Lycée Godefroy De Bouillon (0631068U),20,5,17,3,15,3,7,2
Clermont-Ferrand,Lycée La Fayette (0630021F),19,3,15,3,9,2,4,1
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),37,9,24,7,19,7,4,0
Compiègne Cedex,Lycée Pierre d'Ailly (0600014P),22,5,19,4,12,3,6,1
Dijon,Lycée Carnot (0210015C),42,11,41,11,37,11,10,2
Douai,Lycée Albert Chatelet (0590063Y),21,6,17,5,17,5,2,2
Dunkerque Cedex,Lycée Jean Bart (0590071G),12,4,9,2,5,2,1,0
El Jadida,classes préparatoires Ibn Younes (L0007),5,2,1,1,0,0,0,0
Enghien-Les-Bains,Lycée Gustave Monod (0950644J),28,8,22,6,19,4,10,0
Epinal,Lycée Claude Gellee (0880020U),25,6,22,5,21,5,6,0
Evry,Lycée Parc des Loges (0911251R),21,4,16,4,16,4,6,3
Fès,CAP-GE ALKHYYAM (99694011),14,4,2,0,1,0,0,0
Fès,Centre des classes préparatoires Moulay Dris (99926711),3,1,2,0,1,0,1,0
Fès,Etablissement Al Cachy (99695011),50,21,21,9,13,5,9,3
Fontainebleau,Lycée François 1er (0770927P),30,9,29,9,25,8,8,3
Forbach,Lycée Jean Moulin (0570029X),13,2,13,2,11,2,5,2
Fort-De-France Cedex (martinique),Lycée de Bellevue (9720003W),19,6,14,4,12,4,9,2
Grenoble Cedex 1,Lycée Champollion (0380027Y),27,12,24,12,21,12,6,1
Kenitra,Lycée Mohamed VI (99948211),8,4,3,2,1,0,1,0
Khouribga,Centre des classes péparatoires Ibn Abdoun (99699011),2,1,1,0,1,0,0,0
La Flèche Cedex,Prytanée National Militaire (0720896H),6,0,6,0,4,0,1,0
La Rochelle,Lycée Jean Dautet (0170028N),17,3,14,3,12,2,7,2
La Roche-Sur-Yon,Lycée Saint François d'Assise (0851642Y),18,5,17,5,16,4,5,1
Le Havre,Lycée François 1er (0760052U),29,5,29,5,22,4,6,1
Le Mans Cedex 01,Lycée Montesquieu (0720029R),17,2,14,2,11,2,3,0
Le Raincy,Lycée Albert Schweitzer (0930830X),32,12,28,8,21,6,11,3
Libreville,Lycée LEON MBA (99928511),33,8,32,8,29,8,18,5
Lille,Lycée Catholique Saint Pierre (0593117T),1,0,0,0,0,0,0,0
Lille Cedex,Lycée Faidherbe (0590119J),68,13,60,13,47,10,9,3
Limoges Cedex,Lycée Gay-Lussac (0870015U),29,5,26,5,17,2,7,0
Lorient Cedex,Lycée Dupuy De Lôme (0560025Y),13,2,9,1,9,1,2,0
Lyon,Lycée aux Lazaristes (0690522T),5,2,4,1,3,1,0,0
Lyon,Lycée Jean Perrin (0690082P),19,5,18,5,16,5,6,2
Lyon,Lycée La Martinière Monplaisir (0692866R),19,7,15,5,13,4,4,3
Lyon Cedex 06,Lycée du Parc (0690026D),23,7,17,7,15,6,1,0
Mantes-La-Jolie Cedex,Lycée Saint Exupéry (0782539L),22,5,19,5,13,2,6,1
Marrakech,Ibn Ghazi (L0057),15,5,8,2,7,2,2,0
