ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Agadir,Groupe scolaire Al Qalam (99693001),4,1,0,0,0,0,0,0
Agadir,Lycée Reda Slaoui (99926811),53,16,7,3,6,3,1,0
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),11,2,8,2,7,2,0,0
Aix-En-Provence Cedex 5,Lycée Paul Cézanne (0130002G),14,4,10,2,10,2,5,1
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),29,6,15,2,12,2,2,0
Angers Cedex 01,Lycée Henri Bergson (0491966W),18,1,15,1,13,1,5,1
Annecy Cedex,Lycée Berthollet (0740003B),45,8,30,7,22,4,9,2
Antony,Lycée Sainte Marie (0920904H),35,7,24,2,21,2,6,1
Arras,Lycée Robespierre (0620006V),9,3,3,2,2,1,0,0
Autun Cedex,Lycée Militaire National (0711064W),7,1,4,1,4,1,0,0
Benguérir,LYDEX (L0081),78,28,58,19,57,18,21,11
Beni-Mellal,DAY PREPAS (L0038),3,1,0,0,0,0,0,0
Beni-Mellal,Lycée Technique Mohamed V (99929811),16,6,3,0,3,0,0,0
Besançon,Lycée Victor Hugo (0250007X),56,12,50,11,45,10,17,6
Beyrouth,Ecole Supérieure d'ingénieurs (99926311),14,1,0,0,0,0,0,0
Blois Cedex,Lycée Dessaignes (0410002E),21,3,18,3,13,2,8,0
Bordeaux Cedex,Institution Sainte Marie Grand Lebrun (0331503E),26,3,12,2,9,1,5,1
Bordeaux Cedex,Lycée Camille Jullian (0330023W),29,9,25,8,20,7,7,3
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),104,26,98,25,87,23,28,10
Boulogne-Sur-Mer Cedex,Lycée Mariette (0622949U),13,4,7,3,5,3,0,0
Bourg-En-Bresse,Lycée Lalande (0010013J),27,9,5,0,4,0,2,0
Bourges,Lycée Alain-Fournier (0180005H),13,4,1,0,1,0,0,0
Brest,Lycée Naval (0290063L),19,9,15,6,13,6,6,4
Brest,Lycée Sainte Anne (0290338K),11,4,5,2,5,2,1,1
Brest Cedex 2,Lycée de Kerichen (0290007A),68,16,48,14,34,10,8,4
Caen Cedex 4,Lycée Malherbe (0140013N),84,22,60,12,43,8,12,2
Cannes Cedex,Lycée Stanislas (0060673Z),26,2,20,2,16,2,5,0
Casablanca,ECOLE YASSAMINE CALIFORNIE (L0004),14,3,1,0,1,0,0,0
Casablanca,ELBILIA SUP (99696011),11,0,3,0,2,0,1,0
Casablanca,ESTEM (E0004),12,1,4,0,4,0,0,0
Casablanca,Groupe scolaire La Résidence (3500055H),25,6,8,2,8,2,2,0
Casablanca,Lycée Al Khansaa (3500050C),49,15,11,4,8,3,1,1
Casablanca,Lycée Mohamed V (99926411),113,37,45,13,36,10,10,2
Castres,Lycée Borde Basse (0810959C),21,4,14,3,13,3,4,1
Chambéry,Lycée Vaugelas (0730013T),17,5,6,1,4,0,1,0
Chartres,Lycée Marceau (0280007F),23,6,12,1,11,1,3,0
Cherbourg-Octeville,Lycée Victor Grignard (0501828R),41,7,31,6,30,6,9,2
Clermont-Ferrand,Lycée Godefroy De Bouillon (0631068U),14,3,9,3,8,3,2,1
Clermont-Ferrand,Lycée La Fayette (0630021F),21,2,16,2,14,1,4,0
