ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Mantes-La-Jolie Cedex,Lycée Saint Exupéry (0782539L),19,4,7,2,2,1,1,0
Marrakech,CPGE privée Koutoubia-Prépas (99697011),12,3,4,1,1,0,1,0
Marrakech,Ibn Ghazi (L0057),29,10,13,1,7,1,0,0
Marrakech,Marrakech Prépas (99926814),17,8,6,0,1,0,0,0
Marrakech - Menara,Lycée Ibn Timiya (99926511),83,32,54,21,31,8,8,1
Marseille,Lycée Notre Dame de Sion (0131341M),44,10,24,3,18,0,6,0
Marseille Cedex 1,Lycée Thiers (0130040Y),103,28,88,23,82,22,24,5
Maubeuge,Lycée Notre-Dame De Grâce (0592916Z),4,0,0,0,0,0,0,0
Meknès,CARNOT PREPAS (L0006),55,21,31,10,17,6,4,0
Meknès,Lycée Omar Ibn Al Khattab (99928611),54,22,44,15,25,7,6,2
Meknès,Prépa - Sup Ibn Ghazi El Meknassi (99901121),50,22,30,10,16,6,7,3
Melun Cedex,Lycée Jacques Amyot (0770933W),38,8,23,6,17,5,6,2
Metz Cedex 1,Lycée Fabert (0570054Z),72,18,57,15,52,12,28,5
Mohammedia,Lycée Omar Khayam - Mohammadia (99928911),9,2,2,0,0,0,0,0
Mohammedia,Lycée Technique - Mohammadia (99927711),37,13,19,6,13,5,4,2
Montpellier,Lycée Notre Dame de La Merci (0340881Y),28,6,21,4,14,4,9,2
Montpellier Cedex 2,Lycée Joffre (0340038G),70,16,58,13,51,11,17,5
Mulhouse,Lycée Albert Schweitzer (0680031P),57,10,22,5,16,3,2,0
Nabeul,IPEIN (99950811),1,0,0,0,0,0,0,0
Nancy Cedex,Lycée Henri Poincaré (0540038Y),60,9,54,7,45,4,17,0
Nantes,Lycée Saint Stanislas (0440163N),27,9,22,7,20,7,9,2
Nantes Cedex 1,Lycée Clémenceau (0440021J),55,16,50,14,45,12,13,4
Neuilly-Sur-Seine Cedex,Lycée Louis Pasteur (0920142E),70,14,67,14,63,14,5,0
Nice Cedex 1,Lycée Massena (0060030A),68,15,63,15,43,12,14,2
Nimes Cedex,Lycée Alphonse Daudet (0300021K),43,9,21,2,20,2,14,2
Nimes Cedex,Lycée Emmanuel d'Alzon (0300080Z),19,3,7,3,7,3,5,2
Orléans,Lycée Saint Charles (0450110A),2,1,0,0,0,0,0,0
Orléans Cedex 1,Lycée Pothier (0450049J),116,23,67,13,50,9,13,2
Orsay,Lycée Blaise Pascal (0910626L),35,8,31,7,27,6,1,1
Oujda,Lycée Omar Ibn Abdelaziz (99927611),35,13,25,11,19,7,7,3
Oujda,Médiane Sup (99926815),2,0,1,0,0,0,0,0
Oujda,Pythagore Prépas (99700011),18,4,6,2,1,0,1,0
Paris 4e,Lycée Charlemagne (0750652B),81,20,68,19,57,17,16,5
Paris 8e,Lycée Fénelon Sainte-Marie (0753873C),60,6,51,4,40,3,9,1
Paris Cedex 05,Lycée Henri IV (0750654D),33,7,30,6,23,5,2,0
Paris Cedex 05,Lycée Louis Le Grand (0750655E),64,22,52,19,39,17,3,1
Paris Cedex 06,Lycée Saint-Louis (0750658H),128,42,120,39,109,38,21,10
Paris Cedex 06,Lycée Stanislas (0753840S),50,12,40,9,35,8,3,1
Paris Cedex 09,Lycée Jacques Decour (0750668U),37,9,17,2,14,1,7,1
Paris Cedex 12,Lycée Paul Valery (0750679F),21,3,12,3,8,2,2,1
Paris Cedex 16,Lycée Janson de Sailly (0750699C),164,40,147,37,120,35,22,10
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),30,8,16,3,11,1,2,0
Paris 15e,Lycée Buffon (0750693W),20,3,18,3,15,3,6,2
Paris 16e,Lycée Claude Bernard (0750698B),26,9,13,6,11,4,3,1
Paris 6e,Lycée Fénelon (0750660K),82,14,66,11,51,9,14,3
Paris 8e,Lycée Chaptal (0750663N),75,20,61,16,49,12,11,4
Paris 9e,Lycée Condorcet (0750667T),64,14,54,14,44,12,8,2
Pau Cedex,Lycée Louis Barthou (0640055M),34,7,17,2,9,1,2,0
Perpignan,Lycée François Arago (0660010C),26,3,15,2,12,2,6,1
Pointe-à-Pitre Cedex (guadeloupe),Lycée général et technologique de Baimbridge (9710003B),20,7,12,4,9,3,2,0
Poitiers Cedex,Lycée Camille Guérin (0860035W),65,11,60,11,54,8,13,4
Pontoise,Lycée Camille Pissarro (0950649P),25,2,13,0,11,0,3,0
Rabat,Hight Tech (Azhraa) (99927812),8,5,3,2,2,1,0,0
Rabat,Lycée Ibn Al Ghazi (99951011),169,70,89,31,53,17,23,5
Rabat,Lycée Moulay Youssef (99926611),165,61,134,47,102,30,37,11
Rabat,Lycée privé Al Khawarizmi CPGE (99928311),71,16,27,5,14,1,9,1
Rabat,THALES-PREPAS (99948222),7,2,0,0,0,0,0,0
Reims Cedex 2,Lycée Clémenceau (0510031G),96,16,65,13,54,11,18,2
Rennes Cedex 7,Lycée Chateaubriand (0350710G),102,20,96,20,82,18,11,1
Roubaix,Lycée privé Saint Rémi (0592921E),20,8,9,5,8,4,4,2
Rouen Cedex,Lycée Pierre Corneille (0760090K),58,13,53,11,46,10,7,4
Safi,Lycée Moulay Abdellah (99929411),21,7,14,5,9,2,5,0
Saint-Brieuc Cedex,Lycée Francois Rabelais (0220056S),14,5,10,3,7,2,2,0
Saint-Cyr-L'Ecole Cedex,Lycée Militaire de Saint-Cyr (0780015T),22,3,16,1,9,1,5,0
Saint-Denis,Lycée Paul Eluard (0930125F),10,2,5,0,4,0,2,0
Sainte-Clotilde Cedex (la Réunion),Lycée Leconte de Lisle (9740001H),31,14,22,10,17,7,4,1
Saint-Etienne Cedex 1,Lycée Claude Fauriel (0420041S),76,8,57,7,43,5,11,2
Saint-Germain-En-Laye Cedex,Lycée Jeanne D'Albret (0782132U),24,8,18,5,18,5,4,0
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),23,3,19,3,16,3,10,2
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),57,11,47,10,41,8,9,1
Saint-Pierre,Lycée Catholique Saint Charles (9741255W),14,3,4,1,4,1,0,0
Sale,Collège Selmane Al-Farissi (L0002),72,23,43,14,31,11,15,4
Sale - Rabat,Université Internationale de Rabat (U0010),17,7,16,6,15,6,6,3
Savigny-Sur-Orge Cedex,Lycée Jean Baptiste Corot (0910627M),40,5,32,4,26,3,10,1
Sceaux Cedex,Lycée Lakanal (0920145H),42,12,42,12,38,11,16,3
Sfax,IPEIS (99951111),5,1,1,0,0,0,0,0
Sophia Antipolis Cedex,Lycée international de Valbonne (0061642C),71,12,34,0,26,0,6,0
Strasbourg Cedex,Lycée Kleber (0670080Y),134,35,116,27,99,25,38,9
Tanger,GROUPE ASSAFA (SOPHOS) (L0005),10,5,1,0,1,0,0,0
Tanger,Lycée Al Bayrouni (99901131),15,1,4,1,3,1,0,0
Tanger,Lycée Moulay Hassan (99926911),50,20,35,13,24,9,9,1
Taza,Lycée Charif Al Idrissi (3500052E),8,2,8,2,3,1,1,0
Toulon Cedex,Lycée Dumont D'Urville (0830053G),23,3,14,2,9,1,6,0
Toulouse,Lycée Bellevue (0310038Y),38,11,32,9,27,8,9,1
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),86,23,79,22,63,19,24,8
Tourcoing,Lycée Gambetta (0590212K),1,0,0,0,0,0,0,0
Tours Cedex 1,Lycée Descartes (0370035M),88,19,73,16,57,13,16,2
Troyes,Lycée Chrestien De Troyes (0100022V),20,3,11,1,4,0,1,0
Tunis,Esprit-prépa (L0042),71,23,47,9,33,7,14,1
Tunis,IPEI El Manar (99951211),2,0,0,0,0,0,0,0
Tunis,I.P.E.I.T (99922211),17,4,5,1,5,1,2,0
Tunis,IPEST (99926211),29,14,26,13,25,12,12,8
Valence Cedex,Lycée Camille Vernet (0260035X),16,3,7,1,6,1,1,0
Valenciennes Cedex,Lycée Henri Wallon (0590221V),92,11,62,5,51,4,14,3
Vannes,Lycée Alain René Lesage (0560051B),17,2,15,2,12,2,6,1
Vanves Cedex,Lycée Michelet (0920149M),36,7,32,7,29,6,12,3
Versailles Cedex,Lycée Hoche (0782562L),46,13,43,13,36,11,7,1
Versailles Cedex,Lycée Sainte Geneviève (0783053V),47,20,37,16,34,16,3,2
