ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Sainte-Clotilde Cedex (la Réunion),Lycée Leconte de Lisle (9740001H),5,2,0,0,0,0,0,0
Saint-Etienne Cedex 1,Lycée Claude Fauriel (0420041S),5,1,1,0,0,0,0,0
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),27,9,2,0,2,0,1,0
Saint-Quentin,Lycée Pierre de La Ramée (0020049T),2,0,0,0,0,0,0,0
Salon-De-Provence,Lycée de l'Emperi (0130160D),3,0,0,0,0,0,0,0
Savigny-Sur-Orge Cedex,Lycée Jean Baptiste Corot (0910627M),3,0,1,0,0,0,0,0
Sceaux Cedex,Lycée Lakanal (0920145H),42,16,18,4,16,3,3,1
Sophia Antipolis Cedex,Lycée international de Valbonne (0061642C),3,0,0,0,0,0,0,0
Strasbourg Cedex,Lycée Kleber (0670080Y),28,6,14,2,10,1,8,0
Tarbes Cedex,Lycée Théophile Gautier (0650025Z),3,0,0,0,0,0,0,0
Toulon Cedex,Lycée Dumont D'Urville (0830053G),1,0,0,0,0,0,0,0
Toulouse,Lycée Bellevue (0310038Y),9,3,1,0,0,0,0,0
Toulouse,Lycée Déodat de Séverac (0310044E),2,0,0,0,0,0,0,0
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),45,12,17,5,15,5,7,3
Tours Cedex 1,Lycée Descartes (0370035M),16,4,0,0,0,0,0,0
Tulle,Lycée Edmond Perrier (0190032G),2,1,0,0,0,0,0,0
Tunis,IPEST (99926211),20,10,2,0,1,0,0,0
Valenciennes Cedex,Lycée Henri Wallon (0590221V),16,2,1,0,0,0,0,0
Vanves Cedex,Lycée Michelet (0920149M),15,2,2,0,2,0,2,0
Versailles Cedex,Lycée Hoche (0782562L),67,15,37,8,31,6,17,4
Versailles Cedex,Lycée privé Sainte Geneviève (0783053V),128,38,81,21,67,17,38,11
