ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
TOULOUSE,BELLEVUE,30,6,15,0,10,0,5,0
TOULOUSE,DEODAT DE SEVERAC,11,2,4,0,2,0,0,0
BALMA,SALIEGE,54,13,13,2,10,2,5,1
TOULOUSE,PIERRE DE FERMAT,66,12,44,7,37,7,10,2
CAEN,SAINTE MARIE,9,0,0,0,0,0,0,0
AVIGNON,SAINT JOSEPH,10,3,3,0,2,0,0,0
RENNES,ASSOMPTION,4,2,0,0,0,0,0,0
ALBI,LAPEROUSE,1,1,0,0,0,0,0,0
PERIGUEUX,BERTRAN-DE-BORN,1,0,0,0,0,0,0,0
PARIS 04,IPESUP,13,5,11,5,11,5,5,1
LYON,JEAN PERRIN,4,0,0,0,0,0,0,0
PARIS,URANIE,17,3,0,0,0,0,0,0
TARBES,THEOPHILE GAUTIER,2,0,0,0,0,0,0,0
TUNIS,IPEST,1,1,0,0,0,0,0,0
QUIMPER,LYCEE BRIZEUX,7,0,0,0,0,0,0,0
SAINTE CLOTILDE,LECONTE DE LISLE,5,0,0,0,0,0,0,0
FORT DE FRANCE,DE BELLEVUE,4,2,0,0,0,0,0,0
POINTE A PITRE,BAIMBRIDGE,2,0,0,0,0,0,0,0
