ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Paris 17e,Lyce Carnot (0750704H),36,13,30,13,27,12,8,3
Pau,Lyce Louis Barthou (0640055M),43,16,36,14,25,10,8,3
Prigueux,Lyce Bertran de Born (0240024W),25,8,20,6,13,2,3,1
Perpignan,Lyce Franois Arago (0660010C),18,10,17,10,14,8,5,3
Pointe--Pitre,L.G.T.Baimbridge (9710003B),15,9,13,7,12,6,5,2
Poitiers,Lyce Camille Gurin (0860035W),26,12,25,11,22,10,6,2
Quimper,Lyce Auguste Brizeux (0290069T),20,10,18,10,14,7,6,3
Reims,Lyce F. Roosevelt (0510034K),46,16,39,13,34,10,8,3
Rennes,Lyce Chateaubriand (0350710G),42,16,39,15,38,14,4,2
Rennes,Lyce priv Assomption (0350778F),17,6,12,5,9,4,3,1
Rouen,Lyce Pierre Corneille (0760090K),23,3,20,3,18,3,4,0
Saint-Brieuc,Lyce Francois Rabelais (0220056S),14,4,14,4,14,4,5,2
Sainte-Clotilde,Lyce Leconte de Lisle (9740001H),21,11,18,10,15,9,10,7
Saint-Etienne,Lyce Claude Fauriel (0420041S),44,18,40,17,38,16,9,3
Saint-Germain-en-Laye,Lyce Jeanne D'Albret (0782132U),24,13,22,13,19,12,5,3
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),3,1,3,1,2,1,0,0
Saint-Maur-Des-Fosses,Lyce Marcelin Berthelot (0940120V),26,7,22,7,18,5,7,1
Saint-Nazaire,Lyce Aristide Briand (0440069L),19,5,17,5,12,2,5,1
Saint-Quentin,Lyce Pierre de La Rame (0020049T),16,4,8,3,4,2,3,2
Salon-De-Provence,Lyce de l'Emperi (0130160D),33,5,25,4,18,2,9,2
Savigny-Sur-Orge,Lyce Jean Baptiste Corot (0910627M),23,7,23,7,22,6,3,2
Sceaux,Lyce Lakanal (0920145H),35,6,31,6,28,6,6,1
Sfax,IPEIS (99951111),1,0,0,0,0,0,0,0
Strasbourg,Lyce Kleber (0670080Y),64,26,50,22,47,21,17,8
Tarbes,Lyce Thophile Gautier (0650025Z),19,3,17,2,12,0,5,0
Toulon,Lyce Dumont D'Urville (0830053G),48,18,45,18,37,16,16,7
Toulouse,Lyce Bellevue (0310038Y),6,3,6,3,4,2,1,0
Toulouse,Lyce Dodat de Sverac (0310044E),18,12,16,12,12,9,4,2
Toulouse,Lyce Pierre de Fermat (0310036W),21,8,14,5,12,4,4,1
Tourcoing,Lyce Gambetta (0590212K),24,7,19,6,14,3,6,2
Tours,Lyce Descartes (0370035M),40,9,36,9,30,9,7,1
Troyes,Lyce Chrestien De Troyes (0100022V),9,3,1,0,1,0,0,0
Tulle,Lyce Edmond Perrier (0190032G),20,6,18,6,15,4,8,3
Valbonne,C.I.V. Valbonne (0061642C),31,12,28,12,22,9,9,2
Valence,Lyce Camille Vernet (0260035X),15,5,10,5,7,3,5,1
Valenciennes,Lyce Henri Wallon (0590221V),55,20,50,20,49,20,14,5
Vanves,Lyce Michelet (0920149M),20,12,20,12,18,10,4,4
Versailles,Lyce Hoche (0782562L),21,7,20,7,19,7,6,1
Versailles,Lyce Sainte Genevive (0783053V),22,5,14,3,14,3,7,2
