ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Sainte-Clotilde Cedex (la Réunion),Lycée Leconte de Lisle (9740001H),4,2,1,0,1,0,0,0
Saint-Etienne Cedex 1,Lycée Claude Fauriel (0420041S),10,0,2,0,1,0,0,0
Saint-Germain-En-Laye Cedex,Lycée Jeanne D'Albret (0782132U),2,1,0,0,0,0,0,0
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),26,5,4,1,1,0,1,0
Saint-Nazaire,Lycée Aristide Briand (0440069L),2,1,0,0,0,0,0,0
Saint-Quentin,Lycée Pierre de La Ramée (0020049T),1,0,0,0,0,0,0,0
Savigny-Sur-Orge Cedex,Lycée Jean Baptiste Corot (0910627M),4,1,0,0,0,0,0,0
Sceaux Cedex,Lycée Lakanal (0920145H),37,8,11,2,10,1,8,1
Sophia Antipolis Cedex,Lycée international de Valbonne (0061642C),8,3,0,0,0,0,0,0
Strasbourg Cedex,Lycée Kleber (0670080Y),33,12,7,0,4,0,3,0
Tarbes Cedex,Lycée Théophile Gautier (0650025Z),3,0,0,0,0,0,0,0
Toulon Cedex,Lycée Dumont D'Urville (0830053G),4,0,0,0,0,0,0,0
Toulouse,Lycée Bellevue (0310038Y),18,2,2,0,1,0,1,0
Toulouse,Lycée Déodat de Séverac (0310044E),6,4,0,0,0,0,0,0
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),50,9,14,3,13,3,7,1
Tours Cedex 1,Lycée Descartes (0370035M),9,2,3,1,3,1,1,0
Tunis,IPEST (99926211),26,12,1,1,1,1,0,0
Valence Cedex,Lycée Camille Vernet (0260035X),1,0,0,0,0,0,0,0
Valenciennes Cedex,Lycée Henri Wallon (0590221V),14,2,4,0,2,0,2,0
Vanves Cedex,Lycée Michelet (0920149M),17,7,3,2,2,1,1,0
Versailles Cedex,Lycée Hoche (0782562L),62,18,23,5,19,4,13,2
Versailles Cedex,Lycée privé Sainte Geneviève (0783053V),117,29,72,18,70,17,39,11
