ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Albi,Lycée Louis Rascol (0810004P),33,0,33,0,32,0,16,0
Alès,Lycée Jean-Baptiste Dumas - C.T. (0300002P),28,1,28,1,24,1,14,0
AMIENS,Lycée Louis Thuillier (0800009A),24,1,23,1,13,1,7,1
Aubervilliers,Lycée Le Corbusier (0930117X),18,2,11,2,10,2,5,1
Brive-La-Gaillarde,Lycée Georges Cabanis (0190010H),24,1,19,1,15,0,8,0
Cachan,Lycée Gustave Eiffel (0940111K),27,4,26,4,21,3,8,2
Chambéry,Lycée Monge (0730016W),34,1,32,1,29,1,14,1
Clermont-Ferrand,Lycée La Fayette (0630021F),22,0,22,0,21,0,15,0
Colmar,Lycée Blaise Pascal (0680010S),24,1,23,1,21,1,12,0
Dijon,Lycée Gustave Eiffel (0211033J),27,2,27,2,26,2,16,1
FORT-DE-FRANCE,Lycée Joseph Gaillard (9720004X),8,1,3,0,2,0,1,0
La Rochelle,Lycée Léonce Vieljeux (0170029P),29,2,26,2,20,1,12,1
Lorient,Lycée Saint Joseph Lorient (0560181T),26,2,23,2,19,2,10,1
Lyon,Lycée Edouard Branly (0690128P),31,5,22,3,21,3,13,2
Marseille,Lycée Antonin Artaud (0132733A),28,4,22,3,21,3,9,1
Metz,Lycée Louis Vincent (0570058D),18,0,13,0,9,0,4,0
Mohammedia,LNTA (99927711),13,6,8,4,3,2,1,1
Monastir,I.P.E.I (99949911),2,0,0,0,0,0,0,0
Montbéliard,Lycée Viette (0250032Z),27,2,26,2,21,2,11,1
Oujda,Lycée Omar Ben Abdelaziz (99927611),2,0,2,0,1,0,0,0
Paris,Lycée Raspail (0750691U),25,2,23,2,20,2,6,1
Pau,Lycée Saint-Cricq (0640057P),25,5,24,4,20,2,12,2
Rueil-Malmaison,Lycée Richelieu (0920799U),34,2,34,2,34,2,8,2
Safi,Lycée Technique Al Khawarizmi (99929411),16,6,8,2,1,0,1,0
Saint-Brieuc,Lycée Chaptal (0220058U),26,4,25,3,23,3,14,2
Saint-Nazaire,Lycée Aristide Briand (0440069L),20,3,17,3,17,3,12,2
Saint-Orens-De-Gameville,Lycée Pierre-Paul Riquet (0312289V),11,0,10,0,10,0,8,0
Saint-Ouen-L'Aumone,Lycée Jean Perrin (0951104J),35,3,31,3,21,3,14,1
Settat,lycée qualifiant technique (E0003),14,2,9,0,4,0,2,0
Sotteville-Lès-Rouen,Lycée Marcel Sembat (0760110G),23,1,22,1,15,0,6,0
Toulon,Lycée Rouvière (0830056K),18,1,16,0,16,0,8,0
Tourcoing,Lycée Colbert (0590214M),18,2,18,2,14,2,9,1
Troyes,Lycée Les Lombards (0100025Y),27,1,25,1,17,1,12,1
Valenciennes,Lycée Du Hainaut (0590223X),24,1,21,1,15,1,8,0
