ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
SAINTE CLOTILDE,LECONTE DE LISLE,6,2,4,0,4,0,0,0
SAINT-ETIENNE,FAURIEL,47,14,8,2,8,2,3,1
SAINT-NAZAIRE,ARISTIDE BRIAND,2,1,1,0,1,0,1,0
SAINT-QUENTIN,PIERRE DE LA RAMEE,2,0,0,0,0,0,0,0
SALON DE PROVENCE,L'EMPERI,12,3,1,0,1,0,0,0
SAVIGNY SUR ORGE,J. B. COROT,21,6,6,1,5,1,1,0
SCEAUX,LAKANAL,68,22,33,10,29,9,7,4
ST GERMAIN EN LAYE,JEANNE D'ALBRET,13,6,5,1,4,1,3,1
STRASBOURG,KLEBER,75,20,30,8,25,6,7,1
TARBES,THEOPHILE GAUTIER,15,7,0,0,0,0,0,0
TOULON,DUMONT D'URVILLE,18,7,5,2,4,1,0,0
TOULOUSE,BELLEVUE,32,8,13,1,13,1,3,0
TOULOUSE,DEODAT DE SEVERAC,16,5,6,2,6,2,3,1
TOULOUSE,PIERRE DE FERMAT,67,15,52,12,50,11,12,5
TOURCOING,GAMBETTA,12,5,2,2,2,2,0,0
TOURS,DESCARTES,26,8,12,5,10,4,3,2
TROYES,CHRESTIEN DE TROYES,1,0,1,0,0,0,0,0
TULLE,EDMOND PERRIER,2,1,0,0,0,0,0,0
TUNIS,I.P.E.I.T,2,1,0,0,0,0,0,0
TUNIS,IPEST,41,14,29,10,25,9,12,4
VALBONNE,CENTRE INTERNATIONAL,16,7,1,0,0,0,0,0
VALENCE,CAMILLE VERNET,5,2,3,0,1,0,0,0
VALENCIENNES,HENRI WALLON,82,25,41,12,32,9,7,2
VANVES,MICHELET,18,7,5,2,2,0,0,0
VERSAILLES,HOCHE,68,19,50,16,47,15,8,1
VERSAILLES,SAINTE GENEVIEVE,144,36,122,29,116,28,18,8
