ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Nice Cedex 1,Lycée Massena (0060030A),20,5,18,4,18,4,7,4
Nîmes Cedex,Lycée Alphonse Daudet (0300021K),40,9,40,9,40,9,11,5
Nouméa,Lycée Jules Garnier (9830003L),16,7,16,7,16,7,6,2
Ollioules,Lycée Saint Joseph (0830098F),7,2,6,2,3,0,0,0
Orléans Cedex 1,Lycée Pothier (0450049J),44,8,41,7,38,7,10,3
Orsay,Lycée Blaise Pascal (0910626L),12,5,12,5,12,5,3,1
Paris,Lycée Raspail (0750691U),14,3,12,3,11,3,4,1
Paris,Lycée Saint-Louis (0750658H),30,15,17,9,17,9,3,2
Paris,Lycée Janson de Sailly (0750699C),10,4,8,3,8,3,2,2
Paris 8e,Lycée Fénelon Sainte-Marie (0753873C),7,1,4,1,4,1,0,0
Paris Cedex 06,Lycée Stanislas (0753840S),4,1,3,1,3,1,0,0
Paris Cedex 09,Lycée Jacques Decour (0750668U),44,12,41,11,37,9,8,0
Paris Cedex 12,Lycée Paul Valéry (0750679F),35,7,30,6,26,6,6,3
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),28,11,28,11,27,10,13,6
Paris 15e,Lycée Buffon (0750693W),23,7,19,5,19,5,3,1
Paris 16e,Lycée Claude Bernard (0750698B),39,10,36,7,32,6,10,1
Paris 16e,Lycée Jean-Baptiste Say (0750700D),8,2,6,2,5,2,0,0
Paris 8e,Lycée Chaptal (0750663N),20,9,20,9,20,9,4,1
Paris 9e,Lycée Condorcet (0750667T),1,0,1,0,1,0,0,0
Pau Cedex,Lycée Louis Barthou (0640055M),30,12,28,12,26,12,9,4
Perpignan,Lycée François Arago (0660010C),16,8,15,8,13,8,4,3
Pointe-à-Pitre Cedex (guadeloupe),Lycée Baimbridge (9710003B),19,3,18,2,16,2,8,0
Poitiers Cedex,Lycée Camille Guérin (0860035W),30,5,29,5,28,4,12,1
Quimper,Lycée Auguste Brizeux (0290069T),18,2,17,2,13,1,4,0
Rabat,Lycée Ibn Al Ghazi (99951011),27,9,16,4,12,3,6,1
Rabat,Lycée Moulay Youssef (99926611),8,6,2,1,0,0,0,0
Reims Cedex,Lycée Franklin Roosevelt (0510034K),60,12,53,11,43,10,17,4
Remire-Montjoly,Lycée Léon-Gontran Damas (9730196A),17,5,14,4,11,3,6,3
Rennes,Lycée Joliot-Curie (0350029S),17,5,16,4,16,4,2,0
Rennes,Lycée privé Assomption (0350778F),23,4,21,4,21,4,11,3
Rennes Cedex 7,Lycée Chateaubriand (0350710G),21,6,15,4,15,4,7,2
Rouen Cedex,Lycée Pierre Corneille (0760090K),2,1,0,0,0,0,0,0
Saint-Brieuc Cedex,Lycée Francois Rabelais (0220056S),29,11,26,11,24,10,7,1
Saint-Cyr-L'Ecole Cedex,Lycée Militaire de Saint-Cyr (0780015T),3,0,1,0,0,0,0,0
Saint-Denis,Lycée Paul Eluard (0930125F),16,3,15,3,12,3,10,3
Sainte-Clotilde Cedex (la Réunion),Lycée Leconte de Lisle (9740001H),26,3,24,3,20,3,10,1
Saint-Etienne,Lycée Etienne Mimard (0420046X),20,6,19,6,18,6,9,4
Saint-Germain-En-Laye Cedex,Lycée Jeanne D'Albret (0782132U),23,5,23,5,23,5,8,2
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),3,0,3,0,3,0,2,0
Saint-Maur-Des-Fosses,Lycée D'Arsonval (0940121W),17,5,16,4,16,4,8,1
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),27,9,21,6,20,6,4,1
Sophia Antipolis Cedex,Lycée international de Valbonne (0061642C),23,7,23,7,18,7,2,1
Strasbourg,Lycée Louis Couffignal (0670085D),22,6,21,5,18,4,10,3
Strasbourg,Lycée Ort (0671636P),10,4,9,4,8,4,4,2
Strasbourg Cedex,Lycée Kleber (0670080Y),75,29,72,28,67,26,22,9
Tanger,Lycée Moulay Hassan (99926911),10,6,4,3,2,2,1,1
Toulon Cedex,Lycée Dumont D'Urville (0830053G),30,5,29,5,24,3,9,2
Toulouse,Lycée Bellevue (0310038Y),29,8,29,8,28,8,2,0
Toulouse,Lycée Déodat de Séverac (0310044E),33,9,31,9,30,9,4,0
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),1,0,1,0,1,0,0,0
Tours Cedex 1,Lycée Descartes (0370035M),43,11,42,11,35,11,1,1
Troyes,Lycée Chrestien De Troyes (0100022V),32,8,26,8,23,7,12,5
Valence Cedex,Lycée Camille Vernet (0260035X),20,8,18,6,13,3,10,1
Valenciennes Cedex,Lycée Henri Wallon (0590221V),23,3,18,2,15,1,6,1
Vanves Cedex,Lycée Michelet (0920149M),13,6,11,6,11,6,1,0
Versailles,Lycée Jules Ferry (0782565P),14,5,11,5,10,5,4,2
