ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Marrakech,Ibn Ghazi (L0057),6,3,1,0,1,0,1,0
Marrakech,Marrakech Prépas (99926814),1,1,0,0,0,0,0,0
Marrakech,Lycée Ibn Timiya (99926511),66,27,28,7,25,6,2,1
Marseille,Lycée Notre Dame de Sion (0131341M),13,3,0,0,0,0,0,0
Marseille Cedex 1,Lycée Thiers (0130040Y),111,25,57,12,37,8,15,1
Maubeuge,Lycée Notre-Dame De Grâce (0592916Z),12,2,0,0,0,0,0,0
Meknès,CARNOT PREPAS (L0006),9,1,1,0,1,0,0,0
Meknès,First Preparatory Classes of High Schools Private (L0099),1,0,0,0,0,0,0,0
Meknès,Lycée Omar Ibn Al Khattab (99928611),54,15,9,0,7,0,1,0
Melun Cedex,Lycée Jacques Amyot (0770933W),25,3,9,2,4,1,2,0
Metz Cedex 1,Lycée Fabert (0570054Z),48,5,29,3,19,1,6,0
Mohammedia,Lycée Omar Khayyam - Mohammadia (99928911),4,2,0,0,0,0,0,0
Mohammedia,Lycée Technique - Mohammadia (99927711),31,11,1,0,1,0,0,0
Montpellier,Lycée Notre Dame de La Merci (0340881Y),4,0,0,0,0,0,0,0
Montpellier Cedex 2,Lycée Joffre (0340038G),74,12,52,8,37,5,8,0
Mulhouse,Lycée Albert Schweitzer (0680031P),21,6,2,0,0,0,0,0
Nancy Cedex,Lycée Henri Poincaré (0540038Y),47,7,27,3,23,3,8,2
Nantes,Lycée Saint Stanislas (0440163N),31,9,10,1,7,0,1,0
Nantes Cedex 1,Lycée Clémenceau (0440021J),66,13,45,6,34,5,17,3
Neuilly-Sur-Seine Cedex,Lycée Louis Pasteur (0920142E),72,12,52,9,44,8,17,2
Nice Cedex 1,Lycée Massena (0060030A),79,15,50,8,41,4,15,1
Nîmes Cedex,Lycée Alphonse Daudet (0300021K),30,7,19,5,10,4,4,1
Nîmes Cedex,Lycée Emmanuel d'Alzon (0300080Z),15,1,4,0,1,0,0,0
Nouakchott,Institut Préparatoire aux Grandes Ecoles d'Ingénieurs de Nouakchott (IPGEI) (L0084),3,3,0,0,0,0,0,0
Orléans,Lycée Saint Charles (0450110A),3,1,0,0,0,0,0,0
Orléans Cedex 1,Lycée Pothier (0450049J),58,11,36,4,29,2,7,0
Orsay,Lycée Blaise Pascal (0910626L),46,12,43,11,43,11,19,3
Oujda,Lycée Omar Ibn Abdelaziz (99927611),27,3,6,0,6,0,0,0
Oujda,Pythagore Prépas (99700011),8,1,0,0,0,0,0,0
Paris,Lycée Saint-Louis (0750658H),140,38,108,28,88,21,34,12
Paris,Lycée Janson de Sailly (0750699C),148,39,102,25,71,13,24,5
Paris 4e,Lycée Charlemagne (0750652B),78,28,55,19,48,18,22,6
Paris 8e,Lycée Fénelon Sainte-Marie (0753873C),60,9,27,4,18,2,2,1
Paris Cedex 05,Lycée Henri IV (0750654D),82,23,72,21,66,20,16,4
Paris Cedex 05,Lycée Louis Le Grand (0750655E),164,34,139,28,120,24,29,9
Paris Cedex 06,Lycée Stanislas (0753840S),83,15,76,15,70,13,27,4
Paris Cedex 09,Lycée Jacques Decour (0750668U),23,6,12,3,4,2,1,1
Paris Cedex 12,Lycée Paul Valery (0750679F),22,3,3,1,2,0,1,0
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),6,0,4,0,2,0,0,0
Paris 15e,Lycée Buffon (0750693W),23,9,10,3,4,1,2,0
Paris 16e,Lycée Claude Bernard (0750698B),19,6,5,1,3,1,1,0
Paris 6e,Lycée Fénelon (0750660K),64,15,37,6,23,4,10,3
Paris 8e,Lycée Chaptal (0750663N),81,20,44,11,36,8,10,0
Paris 9e,Lycée Condorcet (0750667T),73,17,46,8,29,5,14,3
Pau Cedex,Lycée Louis Barthou (0640055M),17,3,6,1,2,0,1,0
Perpignan,Lycée François Arago (0660010C),13,3,5,1,4,0,3,0
Pointe-à-Pitre Cedex (guadeloupe),Lycée Baimbridge (9710003B),14,6,1,0,0,0,0,0
Poitiers Cedex,Lycée Camille Guérin (0860035W),56,11,28,4,16,2,10,2
Pontoise,Lycée Camille Pissarro (0950649P),12,1,3,1,2,1,2,1
Rabat,Lycée Ibn Al Ghazi (99951011),68,19,16,3,16,3,0,0
Rabat,Lycée Moulay Youssef (99926611),128,33,44,7,39,6,1,0
Rabat,Lycée privé Al Khawarizmi CPGE (99928311),13,2,1,0,1,0,0,0
Reims Cedex 2,Lycée Clémenceau (0510031G),37,6,18,0,11,0,1,0
Rennes Cedex 7,Lycée Chateaubriand (0350710G),81,19,55,14,47,12,27,8
Rodez,Lycée Ferdinand Foch (0120022J),12,3,7,1,4,0,2,0
Roubaix,Lycée privé Saint Rémi (0592921E),7,1,3,0,1,0,0,0
Rouen Cedex,Lycée Pierre Corneille (0760090K),62,16,46,12,41,9,15,3
Safi,Lycée Moulay Abdellah (99929411),16,2,0,0,0,0,0,0
Saint-Brieuc Cedex,Lycée Francois Rabelais (0220056S),17,1,10,0,6,0,4,0
Saint-Cyr-L'Ecole Cedex,Lycée Militaire de Saint-Cyr (0780015T),19,3,12,2,7,2,1,0
Saint-Denis,Lycée Paul Eluard (0930125F),8,2,2,1,2,1,1,0
Sainte-Clotilde Cedex (la Réunion),Lycée Leconte de Lisle (9740001H),18,3,5,0,1,0,0,0
Saint-Etienne Cedex 1,Lycée Claude Fauriel (0420041S),42,13,12,4,7,2,0,0
Saint-Germain-En-Laye Cedex,Lycée Jeanne D'Albret (0782132U),16,2,6,1,6,1,4,0
