ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Mekns,Lyce Omar Ibn El Khattab CPGE (99928611),9,3,1,0,1,0,0,0
Melun,Lyce Jacques Amyot (0770933W),32,9,28,6,25,5,8,0
Metz,Lyce Fabert (0570054Z),33,13,30,12,22,7,3,1
Mohammedia,Omar El Khayyam (99928911),11,4,3,1,2,1,2,1
Monastir,I.P.E.I (99949911),3,2,2,1,2,1,2,1
Montpellier,Lyce Joffre (0340038G),25,8,20,6,17,6,5,2
Montpellier,Lyce Notre Dame de La Merci (0340881Y),22,5,19,5,15,3,5,1
Mulhouse,Lyce Albert Schweitzer (0680031P),45,16,34,11,24,9,9,1
Nancy,Lyce Henri Poincar (0540038Y),32,6,23,5,20,4,3,1
Nantes,Lyce Clmenceau (0440021J),12,5,10,5,9,5,1,0
Nantes,Lyce Saint Stanislas (0440163N),33,4,31,4,26,3,6,1
Neuilly-Sur-Seine,Lyce Louis Pasteur (0920142E),12,2,11,2,11,2,5,1
Nice,Lyce Massena (0060030A),21,5,18,5,16,4,5,2
Nimes,Lyce Alphonse Daudet (0300021K),39,13,32,13,26,9,3,1
Nimes,Lyce Emmanuel d'Alzon (0300080Z),23,5,23,5,17,3,9,0
Orlans,Lyce Pothier (0450049J),55,14,53,14,42,9,5,1
Orlans,Lyce Saint Charles (0450110A),12,2,12,2,6,1,3,1
Orsay,Lyce Blaise Pascal (0910626L),11,4,10,3,9,3,0,0
Oujda,Lyce Omar Ben Abdelaziz (99927611),1,0,0,0,0,0,0,0
Oujda,Pythagore Prpas (99700011),20,1,3,1,2,1,2,1
Paris,Lyce Jacques Decour (0750668U),32,8,25,5,20,4,9,3
Paris,Lyce Paul Valery (0750679F),40,11,34,9,24,5,9,3
Paris,Lyce Stanislas (0753840S),36,5,28,5,27,5,4,1
Paris 4e,Lyce Charlemagne (0750652B),14,8,13,8,12,7,4,2
Paris 5e,Lyce Henri IV (0750654D),6,2,3,2,3,2,1,0
Paris 5e,Lyce Louis Le Grand (0750655E),18,10,13,9,11,7,2,1
Paris 6e,Lyce Fnelon (0750660K),49,20,43,20,37,19,7,4
Paris 6e,Lyce Saint-Louis (0750658H),52,26,31,14,29,13,9,3
Paris 8e,Lyce Chaptal (0750663N),26,8,23,8,14,4,3,0
Paris 8e,Lyce Fnelon Sainte-Marie (0753873C),45,13,41,12,38,10,15,5
Paris 9e,Lyce Condorcet (0750667T),24,7,20,7,20,7,11,4
Paris 13e,ENCPB (0750685M),29,11,29,11,25,10,6,2
Paris 15e,Lyce Buffon (0750693W),13,4,11,4,11,4,6,3
Paris 16e,Lyce Claude Bernard (0750698B),31,11,26,9,19,4,13,4
