ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Nantes,Lycée Saint Stanislas (0440163N),51,12,37,9,26,7,10,3
Nantes Cedex 1,Lycée Clémenceau (0440021J),98,28,93,27,85,27,31,11
Neuilly-Sur-Seine Cedex,Lycée Louis Pasteur (0920142E),30,10,27,10,26,10,3,1
Nice,Lycée Les Eucalyptus (0060075Z),30,10,18,6,12,4,2,1
Nice Cedex 1,Lycée Massena (0060030A),36,12,32,11,32,11,12,6
Nîmes Cedex,Lycée Alphonse Daudet (0300021K),42,11,19,6,16,4,7,1
Nouméa,Lycée Jules Garnier (9830003L),25,6,22,5,21,5,10,1
Ollioules,Lycée Saint Joseph (0830098F),1,0,0,0,0,0,0,0
Orléans Cedex 1,Lycée Pothier (0450049J),60,13,36,7,28,4,5,0
Orsay,Lycée Blaise Pascal (0910626L),39,11,38,11,36,11,10,5
Paris,Lycée Raspail (0750691U),24,4,13,0,10,0,3,0
Paris,Lycée Saint-Louis (0750658H),208,74,193,71,168,62,25,15
Paris,Lycée Janson de Sailly (0750699C),75,22,71,20,55,18,7,2
Paris 8e,Lycée Fénelon Sainte-Marie (0753873C),38,5,36,5,27,4,0,0
Paris Cedex 05,Lycée Louis Le Grand (0750655E),40,11,37,10,18,6,0,0
Paris Cedex 06,Lycée Stanislas (0753840S),28,6,18,5,16,4,2,0
Paris Cedex 09,Lycée Jacques Decour (0750668U),85,20,66,17,54,15,17,3
Paris Cedex 12,Lycée Paul Valery (0750679F),38,7,15,3,12,2,3,0
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),42,6,17,2,14,2,7,2
Paris 15e,Lycée Buffon (0750693W),40,8,23,5,22,5,5,0
Paris 16e,Lycée Claude Bernard (0750698B),64,11,40,8,31,5,7,0
Paris 16e,Lycée Jean-Baptiste Say (0750700D),31,6,31,6,30,6,7,2
Paris 8e,Lycée Chaptal (0750663N),89,28,80,24,73,22,20,9
Paris 9e,Lycée Condorcet (0750667T),35,10,32,9,28,9,1,0
Pau Cedex,Lycée Louis Barthou (0640055M),43,10,32,8,29,8,11,2
Perpignan,Lycée François Arago (0660010C),41,10,30,8,26,8,7,2
Pointe-à-Pitre Cedex (guadeloupe),Lycée Baimbridge (9710003B),26,7,6,1,5,1,2,0
Poitiers Cedex,Lycée Camille Guérin (0860035W),45,9,36,8,35,7,21,5
Quimper,Lycée Auguste Brizeux (0290069T),30,5,19,3,13,2,3,0
Rabat,Lycée Ibn Al Ghazi (99951011),49,16,3,2,2,2,0,0
Rabat,Lycée Moulay Youssef (99926611),26,11,1,0,0,0,0,0
Rabat,Prépa P2i Rabat (L0080),7,2,0,0,0,0,0,0
Reims Cedex,Lycée Franklin Roosevelt (0510034K),81,18,45,10,32,8,8,2
Remire-Montjoly,Lycée Léon-Gontran Damas (9730196A),12,1,6,0,3,0,1,0
Rennes,Lycée Joliot-Curie (0350029S),34,5,32,5,29,4,8,0
Rennes,Lycée privé Assomption (0350778F),17,3,10,2,8,1,2,0
Rennes Cedex 7,Lycée Chateaubriand (0350710G),70,19,69,19,54,17,20,6
Rouen Cedex,Lycée Pierre Corneille (0760090K),41,10,40,10,31,9,7,2
Saint-Brieuc Cedex,Lycée Francois Rabelais (0220056S),33,7,24,5,22,5,7,0
Saint-Cyr-L'Ecole Cedex,Lycée Militaire de Saint-Cyr (0780015T),34,7,31,6,23,4,13,3
Saint-Denis,Lycée Paul Eluard (0930125F),28,10,2,0,1,0,0,0
Sainte-Clotilde Cedex (la Réunion),Lycée Leconte de Lisle (9740001H),26,5,15,0,10,0,3,0
Saint-Etienne,Lycée Etienne Mimard (0420046X),42,7,28,5,21,4,4,0
Saint-Germain-En-Laye Cedex,Lycée Jeanne D'Albret (0782132U),33,9,27,9,21,8,4,0
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),30,7,25,5,23,5,11,2
Saint-Maur-Des-Fosses,Lycée D'Arsonval (0940121W),35,4,20,1,16,1,2,1
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),82,23,75,20,67,18,11,4
Sceaux Cedex,Lycée Lakanal (0920145H),21,6,18,5,18,5,3,0
Sophia Antipolis Cedex,Lycée international de Valbonne (0061642C),39,15,36,14,29,12,11,5
Strasbourg,Lycée Louis Couffignal (0670085D),25,7,18,5,15,4,5,1
Strasbourg,Lycée Ort (0671636P),19,6,6,2,4,1,0,0
Strasbourg Cedex,Lycée Kleber (0670080Y),124,31,111,26,102,25,36,8
Tanger,Lycée Moulay Hassan (99926911),24,10,7,3,1,0,1,0
Toulon Cedex,Lycée Dumont D'Urville (0830053G),33,6,26,3,23,2,9,0
Toulouse,Lycée Bellevue (0310038Y),47,12,45,10,43,10,21,4
Toulouse,Lycée Déodat de Séverac (0310044E),46,5,42,5,40,5,24,3
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),33,11,24,6,20,4,4,1
Tours Cedex 1,Lycée Descartes (0370035M),79,19,68,17,60,16,21,7
Troyes,Lycée Chrestien De Troyes (0100022V),28,4,15,2,9,1,4,0
Tunis,IPEST (99926211),10,4,10,4,10,4,3,2
Valenciennes Cedex,Lycée Henri Wallon (0590221V),48,6,39,4,32,3,10,0
Vanves Cedex,Lycée Michelet (0920149M),33,6,33,6,30,5,5,1
Versailles,Lycée Jules Ferry (0782565P),27,7,18,4,14,4,5,2
Versailles Cedex,Lycée Hoche (0782562L),24,6,17,4,10,3,0,0
Versailles Cedex,Lycée privé Sainte Geneviève (0783053V),2,1,1,0,1,0,0,0
