ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Paris 17e,Lycée Carnot (0750704H),26,10,12,5,6,2,0,0
Pau,Lycée Louis Barthou (0640055M),34,10,8,3,6,2,0,0
Périgueux,Lycée Bertran de Born (0240024W),18,3,0,0,0,0,0,0
Perpignan,Lycée François Arago (0660010C),11,3,1,0,1,0,1,0
Pointe-à-Pitre,L.G.T.Baimbridge (9710003B),23,14,2,1,2,1,0,0
Poitiers,Lycée Camille Guérin (0860035W),40,16,20,9,16,8,4,1
Quimper,Lycée Auguste Brizeux (0290069T),26,10,6,1,5,1,3,1
Reims,Lycée F. Roosevelt (0510034K),30,10,12,1,8,0,2,0
Rennes,Lycée Chateaubriand (0350710G),59,20,40,11,31,10,6,2
Rennes,Lycée privé Assomption (0350778F),7,1,2,0,1,0,0,0
Rouen,Lycée Pierre Corneille (0760090K),88,20,49,9,35,7,9,2
Saint-Brieuc,Lycée Francois Rabelais (0220056S),12,3,1,0,1,0,1,0
Sainte-Clotilde,Lycée Leconte de Lisle (9740001H),14,5,3,1,3,1,0,0
Saint-Etienne,Lycée Claude Fauriel (0420041S),59,17,34,8,28,6,12,4
Saint-Germain-en-Laye,Lycée Jeanne D'Albret (0782132U),17,3,9,1,7,1,3,1
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),8,1,3,1,3,1,0,0
Saint-Maur-Des-Fosses,Lycée Marcelin Berthelot (0940120V),66,26,36,16,25,9,4,2
Saint-Nazaire,Lycée Aristide Briand (0440069L),22,6,3,2,2,2,1,1
Saint-Quentin,Lycée Pierre de La Ramée (0020049T),9,5,0,0,0,0,0,0
Salon-De-Provence,Lycée de l'Emperi (0130160D),12,1,2,0,1,0,0,0
Savigny-Sur-Orge,Lycée Jean Baptiste Corot (0910627M),12,5,6,3,5,2,3,1
Sceaux,Lycée Lakanal (0920145H),64,22,50,15,34,6,6,3
Strasbourg,Lycée Kleber (0670080Y),84,27,45,16,33,12,11,4
Tarbes,Lycée Théophile Gautier (0650025Z),17,11,1,1,1,1,0,0
Toulon,Lycée Dumont D'Urville (0830053G),16,5,7,2,5,2,0,0
Toulouse,Lycée Bellevue (0310038Y),24,7,17,5,13,3,4,1
Toulouse,Lycée Déodat de Séverac (0310044E),20,13,2,1,2,1,0,0
Toulouse,Lycée Pierre de Fermat (0310036W),71,24,61,20,51,14,16,7
Tourcoing,Lycée Gambetta (0590212K),7,2,1,0,0,0,0,0
Tours,Lycée Descartes (0370035M),40,12,18,5,14,3,3,0
Tulle,Lycée Edmond Perrier (0190032G),4,0,0,0,0,0,0,0
Tunis,IPEST (99926211),26,9,24,10,11,4,6,1
Valbonne,C.I.V. Valbonne (0061642C),36,16,6,2,4,1,1,0
Valence,Lycée Camille Vernet (0260035X),8,4,2,1,2,1,1,0
Valenciennes,Lycée Henri Wallon (0590221V),66,19,38,11,28,6,6,1
Vanves,Lycée Michelet (0920149M),25,8,13,2,9,2,3,1
Versailles,Lycée Hoche (0782562L),83,31,73,28,62,22,14,7
Versailles,Lycée Sainte Geneviève (0783053V),141,39,136,36,131,34,20,4
