ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Nantes,Lycée Saint Stanislas (0440163N),5,1,0,0,0,0,0,0
Nantes Cedex 1,Lycée Clémenceau (0440021J),32,4,6,0,4,0,3,0
Neuilly-Sur-Seine Cedex,Lycée Louis Pasteur (0920142E),58,10,11,2,10,2,9,1
Nice Cedex 1,Lycée Massena (0060030A),48,12,11,0,8,0,7,0
Nimes Cedex,Lycée Alphonse Daudet (0300021K),3,0,0,0,0,0,0,0
Nimes Cedex,Lycée Emmanuel d'Alzon (0300080Z),1,1,0,0,0,0,0,0
Orléans,Lycée Saint Charles (0450110A),2,0,0,0,0,0,0,0
Orléans Cedex 1,Lycée Pothier (0450049J),25,2,7,1,4,0,4,0
Orsay,Lycée Blaise Pascal (0910626L),25,3,10,2,9,1,7,1
Oujda,Lycée Omar Ben Abdelaziz (99927611),1,1,0,0,0,0,0,0
Oujda,Pythagore Prépas (99700011),1,0,0,0,0,0,0,0
Paris 4e,Lycée Charlemagne (0750652B),38,6,6,2,5,2,5,2
Paris 8e,Lycée Fénelon Sainte-Marie (0753873C),17,2,0,0,0,0,0,0
Paris Cedex 05,Lycée Henri IV (0750654D),76,16,22,1,16,1,12,1
Paris Cedex 05,Lycée Louis Le Grand (0750655E),183,44,103,14,87,12,74,10
Paris Cedex 06,Lycée Saint-Louis (0750658H),104,14,34,1,25,1,21,0
Paris Cedex 06,Lycée Stanislas (0753840S),55,3,20,1,12,1,9,1
Paris Cedex 09,Lycée Jacques Decour (0750668U),12,2,0,0,0,0,0,0
Paris Cedex 12,Lycée Paul Valery (0750679F),7,0,0,0,0,0,0,0
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),5,0,0,0,0,0,0,0
Paris 15e,Lycée Buffon (0750693W),15,1,0,0,0,0,0,0
Paris 16e,Lycée Claude Bernard (0750698B),2,1,0,0,0,0,0,0
Paris 16e,Lycée Janson de Sailly (0750699C),70,11,12,0,10,0,5,0
Paris 6e,Lycée Fénelon (0750660K),27,2,6,0,5,0,3,0
Paris 8e,Lycée Chaptal (0750663N),30,1,6,0,3,0,3,0
Paris 9e,Lycée Condorcet (0750667T),54,9,13,0,9,0,7,0
Pau Cedex,Lycée Louis Barthou (0640055M),1,0,0,0,0,0,0,0
Perpignan,Lycée François Arago (0660010C),2,0,0,0,0,0,0,0
Pointe-à-Pitre Cedex (guadeloupe),L G T de Baimbridge (9710003B),3,0,0,0,0,0,0,0
Poitiers Cedex,Lycée Camille Guérin (0860035W),28,5,0,0,0,0,0,0
Pontoise,Lycée Camille Pissarro (0950649P),1,0,0,0,0,0,0,0
Rabat,Lycée Ibn Al Ghazi (99951011),17,6,0,0,0,0,0,0
Rabat,Lycée Moulay Youssef (99926611),48,8,6,0,4,0,0,0
Rabat,Lycée privé Al Khawarizmi CPGE (99928311),1,0,0,0,0,0,0,0
Rabat,THALES-PREPAS (99948222),1,0,0,0,0,0,0,0
Reims Cedex 2,Lycée Clémenceau (0510031G),13,4,1,0,1,0,0,0
Rennes Cedex 7,Lycée Chateaubriand (0350710G),42,5,7,0,4,0,4,0
Rouen Cedex,Lycée Pierre Corneille (0760090K),22,4,4,0,3,0,2,0
Safi,Lycée Moulay Abdellah (99929411),2,0,0,0,0,0,0,0
Saint-Brieuc,Lycée Francois Rabelais (0220056S),1,0,0,0,0,0,0,0
Sainte-Clotilde Cedex (la Réunion),Lycée Leconte de Lisle (9740001H),2,0,0,0,0,0,0,0
Saint-Etienne Cedex 1,Lycée Claude Fauriel (0420041S),8,1,0,0,0,0,0,0
Saint-Germain-En-Laye,Lycée Jeanne D'Albret (0782132U),6,1,1,0,1,0,1,0
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),2,0,0,0,0,0,0,0
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),26,6,3,0,2,0,1,0
Sale,Centre Selmane el Farissi (L0002),1,1,0,0,0,0,0,0
Savigny-Sur-Orge Cedex,Lycée Jean Baptiste Corot (0910627M),4,0,0,0,0,0,0,0
Sceaux Cedex,Lycée Lakanal (0920145H),4,2,1,0,1,0,1,0
Sophia Antipolis Cedex,Lycée international de Valbonne (0061642C),19,0,0,0,0,0,0,0
